A;010;20011109 13:27;CDIXON;
B;010;262634;1;20011109 13:27;;;6;DURHAM GR;WALLALONG;2320;7579;M;20010725;20010831;289000;R;R;RESIDENCE;;RA;RR;;7941081;
C;010;262634;1;20011109 13:27;420//1001315;
D;010;262634;1;20011109 13:28;P;;;;;;
D;010;262634;1;20011109 13:28;P;;;;;;
D;010;262634;1;20011109 13:28;V;;;;;;
D;010;262634;1;20011109 13:28;V;;;;;;
B;010;262940;2;20011109 13:28;;;50;ARGYLE AVE;ANNA BAY;2316;480.6;M;20010502;20010725;120000;A;R;RESIDENCE;;GC;AC;;7983464;
C;010;262940;2;20011109 13:28;61//13134;
D;010;262940;2;20011109 13:28;P;;;;;;
D;010;262940;2;20011109 13:28;P;;;;;;
D;010;262940;2;20011109 13:28;V;;;;;;
B;010;262973;3;20011109 13:28;;;;BELLMOUNT CL HOUSE NO: 22/2;ANNA BAY;2316;414;M;20010622;20010817;379000;A;R;RESIDENCE;;GF;AC;;7911687;
C;010;262973;3;20011109 13:28;22//285516;
D;010;262973;3;20011109 13:28;P;;;;;;
D;010;262973;3;20011109 13:28;V;;;;;;
B;010;263103;4;20011109 13:28;;;72;CAMPBELL AVE;ANNA BAY;2316;670.3;M;20010808;20010912;179000;A;R;RESIDENCE;;GC;AC;;7977977;
C;010;263103;4;20011109 13:28;403//13134;
D;010;263103;4;20011109 13:28;P;;;;;;
D;010;263103;4;20011109 13:28;P;;;;;;
D;010;263103;4;20011109 13:28;V;;;;;;
D;010;263103;4;20011109 13:28;V;;;;;;
B;010;263199;5;20011109 13:28;;;9;CASUARINA CL;ANNA BAY;2316;4000;M;20010706;20010803;227500;P;V;VACANT LAND;;EH;AV;;7898150;
C;010;263199;5;20011109 13:28;218//840865;
D;010;263199;5;20011109 13:28;P;;;;;;
D;010;263199;5;20011109 13:28;P;;;;;;
D;010;263199;5;20011109 13:28;V;;;;;;
D;010;263199;5;20011109 13:28;V;;;;;;
B;010;263282;6;20011109 13:28;;2;24;DUNMORE AVE;ANNA BAY;2316;;;20010622;20010720;155000;;R;RESIDENCE;2;;;;7960393;
C;010;263282;6;20011109 13:28;2//39583;
D;010;263282;6;20011109 13:28;P;;;;;;
D;010;263282;6;20011109 13:28;P;;;;;;
D;010;263282;6;20011109 13:28;V;;;;;;
B;010;263506;7;20011109 13:28;;;23;HANSON AVE;ANNA BAY;2316;640.9;M;20010605;20010605;40000;A;R;RESIDENCE;;GE;ACI;;7948026;
C;010;263506;7;20011109 13:28;112//262247;
D;010;263506;7;20011109 13:28;P;;;;;;
D;010;263506;7;20011109 13:28;V;;;;;;
D;010;263506;7;20011109 13:28;V;;;;;;
B;010;263757;8;20011109 13:28;;;5;MORNA POINT RD;ANNA BAY;2316;600.7;M;20010712;20010816;275000;A;R;RESIDENCE;;GC;AC;;7900145;
C;010;263757;8;20011109 13:28;46//13134;
D;010;263757;8;20011109 13:28;P;;;;;;
D;010;263757;8;20011109 13:28;V;;;;;;
B;010;264009;9;20011109 13:28;;;16;SCOTT ST;ANNA BAY;2316;461.6;M;20010822;20010912;220000;A;R;RESIDENCE;;GC;AC;;7944840;
C;010;264009;9;20011109 13:28;118//13134;
D;010;264009;9;20011109 13:28;P;;;;;;
D;010;264009;9;20011109 13:28;P;;;;;;
D;010;264009;9;20011109 13:28;V;;;;;;
B;010;264330;10;20011109 13:28;;;13;KINGSLEY DR;BOAT HARBOUR;2316;851.7;M;20010730;20010919;211000;A;R;RESIDENCE;;GA;AC;;7975295;
C;010;264330;10;20011109 13:28;3/19/251247;
D;010;264330;10;20011109 13:28;P;;;;;;
D;010;264330;10;20011109 13:28;V;;;;;;
D;010;264330;10;20011109 13:28;V;;;;;;
B;010;264413;11;20011109 13:28;;;4;ONE MILE CL;BOAT HARBOUR;2316;674.86;M;20010809;20010920;146000;A;V;VACANT LAND;;GA;AV;;7979971;
C;010;264413;11;20011109 13:28;37//864564;
D;010;264413;11;20011109 13:28;P;;;;;;
D;010;264413;11;20011109 13:28;P;;;;;;
D;010;264413;11;20011109 13:28;V;;;;;;
D;010;264413;11;20011109 13:28;V;;;;;;
B;010;264567;12;20011109 13:28;;;10;BANKSIA CL;MEDOWIE;2318;667.1;M;20010731;20010907;132000;A;R;RESIDENCE;;HM;AC;;7943723;
C;010;264567;12;20011109 13:28;11//260763;
D;010;264567;12;20011109 13:28;P;;;;;;
D;010;264567;12;20011109 13:28;P;;;;;;
D;010;264567;12;20011109 13:28;V;;;;;;
D;010;264567;12;20011109 13:28;V;;;;;;
B;010;265033;13;20011109 13:28;;;32;COACHWOOD DR;MEDOWIE;2318;598;M;20010814;20010911;175000;A;R;RESIDENCE;;HM;AC;;7940757;
C;010;265033;13;20011109 13:28;35//807956;
D;010;265033;13;20011109 13:28;P;;;;;;
D;010;265033;13;20011109 13:28;V;;;;;;
D;010;265033;13;20011109 13:28;V;;;;;;
B;010;265100;14;20011109 13:28;;;51;COOLABAH RD;MEDOWIE;2318;549.6;M;20010813;20010917;140000;A;R;RESIDENCE;;HM;AC;;7981980;
C;010;265100;14;20011109 13:28;54//847643;
D;010;265100;14;20011109 13:28;P;;;;;;
D;010;265100;14;20011109 13:28;P;;;;;;
D;010;265100;14;20011109 13:28;V;;;;;;
B;010;265235;15;20011109 13:28;;;39;DANGAR CCT;MEDOWIE;2318;600;M;20010711;20010830;39000;A;V;VACANT LAND;;HM;AV;;7936976;
C;010;265235;15;20011109 13:28;169//1001851;
D;010;265235;15;20011109 13:28;P;;;;;;
D;010;265235;15;20011109 13:28;V;;;;;;
B;010;265373;16;20011109 13:28;;;4;FERODALE RD;MEDOWIE;2318;1.016;H;20010813;20010905;237000;R;R;RESIDENCE;;YC;AC;;7928130;
C;010;265373;16;20011109 13:28;1//378227;
D;010;265373;16;20011109 13:28;P;;;;;;
D;010;265373;16;20011109 13:28;P;;;;;;
D;010;265373;16;20011109 13:28;V;;;;;;
B;010;265458;17;20011109 13:28;;;73;FERODALE RD;MEDOWIE;2318;615;M;20010518;20010803;98000;A;R;RESIDENCE;;HM;AC;;7904109;
C;010;265458;17;20011109 13:28;221//246837;
D;010;265458;17;20011109 13:28;P;;;;;;
D;010;265458;17;20011109 13:28;V;;;;;;
D;010;265458;17;20011109 13:28;V;;;;;;
B;010;265639;18;20011109 13:28;;;51;GREY GUM AVE;MEDOWIE;2318;625.4;M;20010706;20010824;140000;A;R;RESIDENCE;;HM;AC;;7965312;
C;010;265639;18;20011109 13:28;214//246947;
D;010;265639;18;20011109 13:28;P;;;;;;
D;010;265639;18;20011109 13:28;P;;;;;;
D;010;265639;18;20011109 13:28;V;;;;;;
B;010;265743;19;20011109 13:28;;;96;JAMES ST;MEDOWIE;2318;9140;M;20010716;20010820;295000;R;R;RESIDENCE;;YC;AC;;7925646;
C;010;265743;19;20011109 13:28;120//248738;
D;010;265743;19;20011109 13:28;P;;;;;;
D;010;265743;19;20011109 13:28;P;;;;;;
D;010;265743;19;20011109 13:28;V;;;;;;
B;010;265751;20;20011109 13:28;;;80;JAMES ST;MEDOWIE;2318;8122;M;20010720;20010823;330000;R;R;RESIDENCE;;YB;RR;;7905690;
C;010;265751;20;20011109 13:28;112//248738;
D;010;265751;20;20011109 13:28;P;;;;;;
D;010;265751;20;20011109 13:28;P;;;;;;
D;010;265751;20;20011109 13:28;V;;;;;;
B;010;265832;21;20011109 13:28;;;49;KINDLEBARK DR;MEDOWIE;2318;827.3;M;20010712;20010823;45990;A;V;VACANT LAND;;HM;AV;;7919861;
C;010;265832;21;20011109 13:28;25//730472;
D;010;265832;21;20011109 13:28;P;;;;;;
D;010;265832;21;20011109 13:28;P;;;;;;
D;010;265832;21;20011109 13:28;V;;;;;;
B;010;265841;22;20011109 13:28;;;67;KINDLEBARK DR;MEDOWIE;2318;714.9;M;20010705;20010705;103000;A;R;RESIDENCE;;HM;AC;;7939070;
C;010;265841;22;20011109 13:28;34//730472;
D;010;265841;22;20011109 13:28;P;;;;;;
D;010;265841;22;20011109 13:28;P;;;;;;
D;010;265841;22;20011109 13:28;V;;;;;;
D;010;265841;22;20011109 13:28;V;;;;;;
B;010;265873;23;20011109 13:28;;;68;KINDLEBARK DR;MEDOWIE;2318;602.7;M;20010710;20010906;38000;A;V;VACANT LAND;;HM;AV;;7929955;
C;010;265873;23;20011109 13:28;45//730472;
D;010;265873;23;20011109 13:28;P;;;;;;
D;010;265873;23;20011109 13:28;V;;;;;;
D;010;265873;23;20011109 13:28;V;;;;;;
B;010;266056;24;20011109 13:28;;;10;KUNZEA CL;MEDOWIE;2318;606.5;M;20010808;20010907;162000;A;R;RESIDENCE;;HM;AC;;7945020;
C;010;266056;24;20011109 13:28;48//833110;
D;010;266056;24;20011109 13:28;P;;;;;;
D;010;266056;24;20011109 13:28;P;;;;;;
D;010;266056;24;20011109 13:28;V;;;;;;
