A;005;20011109 13:27;CDIXON;
B;005;172145;1;20011109 13:27;;1;40;ADAM AVE;RUTHERFORD;2320;;;20010730;20010730;140000;;R;RESIDENCE;1;;;;7897319;
C;005;172145;1;20011109 13:27;1//SP 64506;
D;005;172145;1;20011109 13:27;P;;;;;;
D;005;172145;1;20011109 13:27;V;;;;;;
D;005;172145;1;20011109 13:27;V;;;;;;
D;005;172145;1;20011109 13:27;V;;;;;;
D;005;172145;1;20011109 13:27;V;;;;;;
D;005;172145;1;20011109 13:27;V;;;;;;
D;005;172145;1;20011109 13:27;V;;;;;;
D;005;172145;1;20011109 13:27;V;;;;;;
B;005;172640;2;20011109 13:27;;;17;ANNETTE CL;WOODBERRY;2322;653;M;20010731;20010914;133000;A;R;RESIDENCE;;GN;AC;;7983450;
C;005;172640;2;20011109 13:27;9//264446;
D;005;172640;2;20011109 13:27;P;;;;;;
D;005;172640;2;20011109 13:27;P;;;;;;
D;005;172640;2;20011109 13:27;V;;;;;;
B;005;172753;3;20011109 13:27;;1;33;ARNOLD CRES;THORNTON;2322;;;20010809;20010813;126000;;R;RESIDENCE;1;;;;7982256;
C;005;172753;3;20011109 13:27;1//SP 52226;
D;005;172753;3;20011109 13:27;P;;;;;;
D;005;172753;3;20011109 13:27;P;;;;;;
D;005;172753;3;20011109 13:27;V;;;;;;
D;005;172753;3;20011109 13:27;V;;;;;;
B;005;172819;4;20011109 13:27;;;;ASHLAND CL;RUTHERFORD;2320;592.7;M;20010802;20010906;119500;A;R;RESIDENCE;;EG;AC;;7947079;
C;005;172819;4;20011109 13:27;191//263513;
D;005;172819;4;20011109 13:27;P;;;;;;
D;005;172819;4;20011109 13:27;P;;;;;;
D;005;172819;4;20011109 13:27;V;;;;;;
D;005;172819;4;20011109 13:27;V;;;;;;
B;005;172919;5;20011109 13:27;;;9;BAIRDS CL;RUTHERFORD;2320;900.1;M;20010711;20010816;49000;A;V;VACANT LAND;;EL;AV;;7904383;
C;005;172919;5;20011109 13:27;204//1001120;
D;005;172919;5;20011109 13:27;P;;;;;;
D;005;172919;5;20011109 13:27;P;;;;;;
D;005;172919;5;20011109 13:27;V;;;;;;
B;005;172935;6;20011109 13:27;;;8;BAIRDS CL;RUTHERFORD;2320;767.9;M;20010713;20010816;49000;A;V;VACANT LAND;;EL;AV;;7904435;
C;005;172935;6;20011109 13:27;220//1001120;
D;005;172935;6;20011109 13:27;P;;;;;;
D;005;172935;6;20011109 13:27;P;;;;;;
D;005;172935;6;20011109 13:27;V;;;;;;
B;005;172987;7;20011109 13:27;;;12;BALI CL;ASHTONFIELD;2323;818;M;20010627;20010813;239000;A;R;RESIDENCE;;HA;AC;;7922260;
C;005;172987;7;20011109 13:27;307//262987;
D;005;172987;7;20011109 13:27;P;;;;;;
D;005;172987;7;20011109 13:27;P;;;;;;
D;005;172987;7;20011109 13:27;V;;;;;;
