A;012;20011109 12:41;CDIXON;
B;012;296199;1;20011109 12:41;;;18;ARDERSIER DR;SINGLETON;2330;1159;M;20010730;20010903;75500;A;V;VACANT LAND;;AL;AV;;7917918;
C;012;296199;1;20011109 12:41;23//826963;
D;012;296199;1;20011109 12:41;P;;;;;;
D;012;296199;1;20011109 12:41;V;;;;;;
D;012;296199;1;20011109 12:41;V;;;;;;
B;012;296378;2;20011109 12:41;;;26;BATHURST ST;SINGLETON;2330;404.7;M;20010713;20010817;130000;A;R;RESIDENCE;;AL;AC;;7940233;
C;012;296378;2;20011109 12:41;1//797069;
D;012;296378;2;20011109 12:41;P;;;;;;
D;012;296378;2;20011109 12:41;V;;;;;;
B;012;296540;3;20011109 12:41;;;5;BLAXLAND AVE;SINGLETON HEIGHTS;2330;676.6;M;20010806;20010831;77000;A;R;RESIDENCE;;AG;AC;;7913745;
C;012;296540;3;20011109 12:41;38//243382;
D;012;296540;3;20011109 12:41;P;;;;;;
D;012;296540;3;20011109 12:41;V;;;;;;
D;012;296540;3;20011109 12:41;V;;;;;;
B;012;296607;4;20011109 12:41;;8;23;MITCHELL AVE;SINGLETON HEIGHTS;2330;;;20010815;20010919;53500;;3;;8;;;;7966520;
C;012;296607;4;20011109 12:41;8//14709;
D;012;296607;4;20011109 12:41;P;;;;;;
D;012;296607;4;20011109 12:41;V;;;;;;
D;012;296607;4;20011109 12:41;V;;;;;;
B;012;296708;5;20011109 12:41;;;11 A;BOONAL ST;SINGLETON;2330;585.3;M;20010726;20010830;150000;A;R;RESIDENCE;;AH;AC;;7908682;
C;012;296708;5;20011109 12:41;2//585504;
D;012;296708;5;20011109 12:41;P;;;;;;
D;012;296708;5;20011109 12:41;V;;;;;;
D;012;296708;5;20011109 12:41;V;;;;;;
B;012;296761;6;20011109 12:41;;4;5;BOUNDARY ST;SINGLETON;2330;;;20010726;20010903;106000;;3;UNIT;4;;;;7948362;
C;012;296761;6;20011109 12:41;4//SP 49880;
D;012;296761;6;20011109 12:41;P;;;;;;
D;012;296761;6;20011109 12:41;V;;;;;;
