A;011;20011109 12:41;CDIXON;
B;011;291748;1;20011109 12:41;;;;PARK ST;MOONAN FLAT;2337;2023;M;20010718;20010829;117000;A;R;RESIDENCE;;VM;AC;;7906959;
C;011;291748;1;20011109 12:41;5/6/758700;
D;011;291748;1;20011109 12:41;P;;;;;;
D;011;291748;1;20011109 12:41;V;;;;;;
B;011;291933;2;20011109 12:41;;;;GATELEYS RD;SCONE;2337;3278;H;20001109;20010316;2050000;R;R;RESIDENCE;;GC;RG;;7554649;
C;011;291933;2;20011109 12:41;3//209275 1, 3//209488 161//506731 100, 101, 102, 103, 112, 113, 116, ;
C;011;291933;2;20011109 12:41;117, PT 118, 119, 12, 122, 123, 124, PT 128, 136, 137, 138, 143, 144, ;
C;011;291933;2;20011109 12:41;PT 20, 21, 22, 24, 25, 27, 28, 29, PT 30, 31, PT 43, PT 46, 49, 53, 54;
C;011;291933;2;20011109 12:41;, 58, 59, 60, 61, 62, 63, 64, PT 71, PT 72, PT 73, PT 74, 75, 76, 77, ;
C;011;291933;2;20011109 12:41;8, PT 84, PT 85, 86, 87, 89, 90, PT 94, 97, 98, 99//750948 1, PT 115, ;
C;011;291933;2;20011109 12:41;PT 116, 117, 120, PT 128, PT 129, 131, 147, 148, 149, 256, 257, 258, 2;
C;011;291933;2;20011109 12:41;59, 265, 266, 267, 61//750965 Enclosure Permit 51111 LOTS 2 3 DP 21994;
C;011;291933;2;20011109 12:41; LOT 382 DP 789454;
D;011;291933;2;20011109 12:41;P;;;;;;
D;011;291933;2;20011109 12:41;P;;;;;;
D;011;291933;2;20011109 12:41;V;;;;;;
B;011;291940;3;20011109 12:41;;;;GATELEYS RD;SCONE;2337;57.26;H;20001109;20010316;205000;R;3;FARM;;GC;RR;;7606521;
C;011;291940;3;20011109 12:41;102//750933;
D;011;291940;3;20011109 12:41;P;;;;;;
D;011;291940;3;20011109 12:41;P;;;;;;
D;011;291940;3;20011109 12:41;V;;;;;;
B;011;292145;4;20011109 12:41;;;458;MIDDLEBROOK RD;SCONE;2337;2.06;H;20010803;20010913;76000;R;V;VACANT LAND;;HS;RV;;7969455;
C;011;292145;4;20011109 12:41;23//836282;
D;011;292145;4;20011109 12:41;P;;;;;;
D;011;292145;4;20011109 12:41;P;;;;;;
