A;004;20011109 13:29;CDIXON;
C;004;97823;18;20011109 13:29;230//562905;
D;004;97823;18;20011109 13:29;P;;;;;;
D;004;97823;18;20011109 13:29;P;;;;;;
D;004;97823;18;20011109 13:29;V;;;;;;
D;004;97823;18;20011109 13:29;V;;;;;;
B;004;97898;19;20011109 13:29;;;42;HASTINGS RD;BALMORAL(RATHMINES);2283;368.3;M;20010809;20010920;142000;A;R;RESIDENCE;;MC;AC;;7973080;
C;004;97898;19;20011109 13:29;1451//877517;
D;004;97898;19;20011109 13:29;P;;;;;;
D;004;97898;19;20011109 13:29;V;;;;;;
D;004;97898;19;20011109 13:29;V;;;;;;
B;004;98031;20;20011109 13:29;;;93 B;SEALAND RD;FISHING POINT;2283;371.9;M;20010723;20010831;165000;A;R;RESIDENCE;;MG;AC;;7920078;
C;004;98031;20;20011109 13:29;311//846804;
D;004;98031;20;20011109 13:29;P;;;;;;
D;004;98031;20;20011109 13:29;V;;;;;;
B;004;98119;21;20011109 13:29;;;36;ALBERT ST;BELMONT;2280;581.7;M;20010622;20010727;151000;A;R;RESIDENCE;;JA;AC;;7897991;
C;004;98119;21;20011109 13:29;42//13771;
D;004;98119;21;20011109 13:29;P;;;;;;
D;004;98119;21;20011109 13:29;V;;;;;;
D;004;98119;21;20011109 13:29;V;;;;;;
B;004;98169;22;20011109 13:29;;;31;ALICK ST;BELMONT;2280;809.4;M;20010713;20010822;289000;B;R;RESIDENCE;;TA;AC;;7978674;
C;004;98169;22;20011109 13:29;16/N/2856;
D;004;98169;22;20011109 13:29;P;;;;;;
D;004;98169;22;20011109 13:29;P;;;;;;
D;004;98169;22;20011109 13:29;V;;;;;;
D;004;98169;22;20011109 13:29;V;;;;;;
B;004;98384;23;20011109 13:29;;;33;BANGALLA ST;BELMONT NORTH;2280;860;M;20010622;20010720;190000;A;R;RESIDENCE;;JE;AC;;7852451;
C;004;98384;23;20011109 13:29;38//239325;
D;004;98384;23;20011109 13:29;P;;;;;;
D;004;98384;23;20011109 13:29;P;;;;;;
D;004;98384;23;20011109 13:29;V;;;;;;
D;004;98384;23;20011109 13:29;V;;;;;;
B;004;98481;24;20011109 13:29;;;7;BELLEVUE RD;BELMONT;2280;512.2;M;20001212;20010319;269400;A;3;FLATS;;JC;AM;;7586805;
C;004;98481;24;20011109 13:29;1//212603;
D;004;98481;24;20011109 13:29;P;;;;;;
D;004;98481;24;20011109 13:29;P;;;;;;
D;004;98481;24;20011109 13:29;V;;;;;;
B;004;98585;25;20011109 13:29;;;10;BRANDT CL;BELMONT;2280;689.1;M;20010629;20010820;295000;A;R;RESIDENCE;;ZJ;AC;;7904019;
C;004;98585;25;20011109 13:29;17//253148;
D;004;98585;25;20011109 13:29;P;;;;;;
D;004;98585;25;20011109 13:29;P;;;;;;
D;004;98585;25;20011109 13:29;V;;;;;;
D;004;98585;25;20011109 13:29;V;;;;;;
B;004;98690;26;20011109 13:29;;;20;BUTTABA AVE;BELMONT NORTH;2280;;;20010419;20010523;131000;A;R;RESIDENCE;;JE;AC;;7666807;
C;004;98690;26;20011109 13:29;15/N/16392;
D;004;98690;26;20011109 13:29;P;;;;;;
D;004;98690;26;20011109 13:29;P;;;;;;
D;004;98690;26;20011109 13:29;V;;;;;;
D;004;98690;26;20011109 13:29;V;;;;;;
B;004;98951;27;20011109 13:29;;;24;CLARA ST;BELMONT SOUTH;2280;;;20010815;20010914;155000;A;R;RESIDENCE;;JH;AC;;7966776;
C;004;98951;27;20011109 13:29;8//21771;
D;004;98951;27;20011109 13:29;P;;;;;;
D;004;98951;27;20011109 13:29;P;;;;;;
D;004;98951;27;20011109 13:29;V;;;;;;
B;004;99085;28;20011109 13:29;;;23;CROWN ST;BELMONT;2280;682.9;M;20010720;20010824;160000;A;R;RESIDENCE;;JA;AC;;7937039;
C;004;99085;28;20011109 13:29;37//15770;
D;004;99085;28;20011109 13:29;P;;;;;;
D;004;99085;28;20011109 13:29;V;;;;;;
D;004;99085;28;20011109 13:29;V;;;;;;
B;004;99590;29;20011109 13:29;;;74;EVANS ST;BELMONT;2280;836.2;M;20010719;20010816;150000;A;R;RESIDENCE;;JA;AC;;7900411;
C;004;99590;29;20011109 13:29;25/B/9711;
D;004;99590;29;20011109 13:29;P;;;;;;
D;004;99590;29;20011109 13:29;V;;;;;;
D;004;99590;29;20011109 13:29;V;;;;;;
B;004;99662;30;20011109 13:29;;;69;EVANS ST;BELMONT;2280;;;20010717;20010821;142500;A;R;RESIDENCE;;JA;AC;;7913920;
C;004;99662;30;20011109 13:29;C//354354;
D;004;99662;30;20011109 13:29;P;;;;;;
D;004;99662;30;20011109 13:29;P;;;;;;
D;004;99662;30;20011109 13:29;V;;;;;;
B;004;99924;31;20011109 13:29;;3;;GEN ST HOUSE NO: UNIT4/5;BELMONT;2280;;;20010726;20010824;155000;;R;RESIDENCE;3;;;;7908049;
C;004;99924;31;20011109 13:29;3//SP 48071;
D;004;99924;31;20011109 13:29;P;;;;;;
D;004;99924;31;20011109 13:29;V;;;;;;
B;004;100093;32;20011109 13:29;;6;18;GLOVER ST;BELMONT;2280;;;20010522;20010629;171000;;R;RESIDENCE;6;;;;7942393;
C;004;100093;32;20011109 13:29;6//SP 57935;
D;004;100093;32;20011109 13:29;P;;;;;;
D;004;100093;32;20011109 13:29;V;;;;;;
B;004;100278;33;20011109 13:29;;;13;GREENWOOD AVE;BELMONT;2280;607;M;20010822;20010924;235000;A;R;RESIDENCE;;JB;AC;;7977670;
C;004;100278;33;20011109 13:29;18//231799;
D;004;100278;33;20011109 13:29;P;;;;;;
D;004;100278;33;20011109 13:29;P;;;;;;
D;004;100278;33;20011109 13:29;V;;;;;;
D;004;100278;33;20011109 13:29;V;;;;;;
B;004;100585;34;20011109 13:29;;;26;HARRY ST;BELMONT SOUTH;2280;809.4;M;20010814;20010914;135000;A;R;RESIDENCE;;JJ;AC;;7969230;
C;004;100585;34;20011109 13:29;16/I/1925;
D;004;100585;34;20011109 13:29;P;;;;;;
D;004;100585;34;20011109 13:29;P;;;;;;
D;004;100585;34;20011109 13:29;V;;;;;;
B;004;100684;35;20011109 13:29;;;43;HERBERT ST;BELMONT;2280;809.4;M;20010410;20010516;150700;B;R;RESIDENCE;;TA;AC;;7636163;
C;004;100684;35;20011109 13:29;34, 35/I/2374;
D;004;100684;35;20011109 13:29;P;;;;;;
D;004;100684;35;20011109 13:29;V;;;;;;
D;004;100684;35;20011109 13:29;V;;;;;;
B;004;100697;36;20011109 13:29;;;17;HERBERT ST;BELMONT;2280;404.7;M;20010322;20010419;106000;B;R;RESIDENCE;;TA;AC;;7577001;
C;004;100697;36;20011109 13:29;48/1/2374;
D;004;100697;36;20011109 13:29;P;;;;;;
D;004;100697;36;20011109 13:29;V;;;;;;
B;004;100714;37;20011109 13:29;;;14;HERON PL;BELMONT;2280;728.6;M;20010802;20010813;145000;A;V;VACANT LAND;;JB;AV;;7908655;
C;004;100714;37;20011109 13:29;816//1010553;
D;004;100714;37;20011109 13:29;P;;;;;;
D;004;100714;37;20011109 13:29;V;;;;;;
D;004;100714;37;20011109 13:29;V;;;;;;
B;004;101379;38;20011109 13:29;;;59;LEWERS ST;BELMONT;2280;746.1;M;20010615;20010720;129000;A;R;RESIDENCE;;JA;AC;;7809384;
C;004;101379;38;20011109 13:29;149//15770;
D;004;101379;38;20011109 13:29;P;;;;;;
D;004;101379;38;20011109 13:29;P;;;;;;
D;004;101379;38;20011109 13:29;V;;;;;;
D;004;101379;38;20011109 13:29;V;;;;;;
B;004;101385;39;20011109 13:29;;;47;LEWERS ST;BELMONT;2280;701.9;M;20010419;20010524;144000;A;R;RESIDENCE;;JA;AC;;7664749;
C;004;101385;39;20011109 13:29;155//15770;
D;004;101385;39;20011109 13:29;P;;;;;;
D;004;101385;39;20011109 13:29;V;;;;;;
B;004;101546;40;20011109 13:29;;2;7;MACQUARIE ST;BELMONT;2280;;;20010809;20010823;182500;;R;RESIDENCE;2;;;;7917476;
C;004;101546;40;20011109 13:29;2//SP 64400;
D;004;101546;40;20011109 13:29;P;;;;;;
D;004;101546;40;20011109 13:29;P;;;;;;
D;004;101546;40;20011109 13:29;V;;;;;;
D;004;101546;40;20011109 13:29;V;;;;;;
B;004;101669;41;20011109 13:29;;;5;MARRIOT ST;BELMONT SOUTH;2280;;;20010428;20010614;159000;A;R;RESIDENCE;;JH;AC;;7782841;
C;004;101669;41;20011109 13:29;12/D/1925;
D;004;101669;41;20011109 13:29;P;;;;;;
D;004;101669;41;20011109 13:29;P;;;;;;
D;004;101669;41;20011109 13:29;V;;;;;;
B;004;101690;42;20011109 13:29;;;5;MATELOT PL;BELMONT;2280;333.6;M;20010814;20010911;180000;A;R;RESIDENCE;;JB;AC;;7963191;
C;004;101690;42;20011109 13:29;401//1000901;
D;004;101690;42;20011109 13:29;P;;;;;;
D;004;101690;42;20011109 13:29;V;;;;;;
B;004;101695;43;20011109 13:29;;;15;MATELOT PL;BELMONT;2280;634;M;20010803;20010907;85000;A;V;VACANT LAND;;JB;AV;;7937266;
C;004;101695;43;20011109 13:29;36//879395;
