A;007;20011109 12:40;CDIXON;
B;007;195088;1;20011109 12:40;;;;;MUSWELLBROOK;2333;10.12;H;20010913;20010913;1934000;P;3;WINERY;;PL;RP;;7980970;
C;007;195088;1;20011109 12:40;13//548913;
D;007;195088;1;20011109 12:40;P;;;;;;
D;007;195088;1;20011109 12:40;V;;;;;;
B;007;195089;2;20011109 12:40;;;;;MUSWELLBROOK;2333;32.21;H;20010913;20010913;1934000;P;3;WINERY;;PL;RP;;7980970;
C;007;195089;2;20011109 12:40;13, 14//252956 14//548913;
D;007;195089;2;20011109 12:40;P;;;;;;
D;007;195089;2;20011109 12:40;V;;;;;;
B;007;195159;3;20011109 12:40;;;;;MUSWELLBROOK;2333;50.36;H;20010622;20010914;300000;P;3;FARM;;PK;RR;;7952940;
C;007;195159;3;20011109 12:40;119//613480;
D;007;195159;3;20011109 12:40;P;;;;;;
D;007;195159;3;20011109 12:40;P;;;;;;
D;007;195159;3;20011109 12:40;V;;;;;;
B;007;195206;4;20011109 12:40;;;;;MUSWELLBROOK;2333;10.17;H;20010704;20010803;225000;R;R;RESIDENCE;;RK;AC;;7917884;
C;007;195206;4;20011109 12:40;3//258743;
D;007;195206;4;20011109 12:40;P;;;;;;
D;007;195206;4;20011109 12:40;V;;;;;;
D;007;195206;4;20011109 12:40;V;;;;;;
B;007;195296;5;20011109 12:40;;;;;MUSWELLBROOK;2333;22.66;H;20010523;20010523;150000;P;3;FARMING LAND;;RG;RR;;7655472;
C;007;195296;5;20011109 12:40;1//406678;
D;007;195296;5;20011109 12:40;P;;;;;;
D;007;195296;5;20011109 12:40;V;;;;;;
D;007;195296;5;20011109 12:40;V;;;;;;
B;007;195562;6;20011109 12:40;;;17;ALMOND ST;DENMAN;2328;1305;M;20010717;20010919;155000;A;R;RESIDENCE;;DF;AC;;7967913;
C;007;195562;6;20011109 12:40;10//743606;
D;007;195562;6;20011109 12:40;P;;;;;;
D;007;195562;6;20011109 12:40;P;;;;;;
