A;002;20011109 15:19;CDIXON;
B;002;20881;1;20011109 15:19;;;;;;;1009;M;20010709;20010820;29000;A;V;VACANT LAND;;AC;;;7901692;
C;002;20881;1;20011109 15:19;21//247705;
D;002;20881;1;20011109 15:19;P;;;;;;
D;002;20881;1;20011109 15:19;V;;;;;;
D;002;20881;1;20011109 15:19;V;;;;;;
D;002;20881;1;20011109 15:19;V;;;;;;
B;002;20961;2;20011109 15:19;;;77;KING ST;CLARENCE TOWN;2321;2023;M;20010816;20010919;89000;A;R;RESIDENCE;;AC;AC;;7983340;
C;002;20961;2;20011109 15:19;19/21/758250;
D;002;20961;2;20011109 15:19;P;;;;;;
D;002;20961;2;20011109 15:19;P;;;;;;
D;002;20961;2;20011109 15:19;V;;;;;;
D;002;20961;2;20011109 15:19;V;;;;;;
B;002;21194;3;20011109 15:19;;;;SHERIFF ST;CLARENCE TOWN;2321;1.843;H;20010719;20010823;72500;R;V;VACANT LAND;;RB;;;7950238;
C;002;21194;3;20011109 15:19;61//1018223;
D;002;21194;3;20011109 15:19;P;;;;;;
D;002;21194;3;20011109 15:19;P;;;;;;
D;002;21194;3;20011109 15:19;V;;;;;;
D;002;21194;3;20011109 15:19;V;;;;;;
D;002;21194;3;20011109 15:19;V;;;;;;
D;002;21194;3;20011109 15:19;V;;;;;;
D;002;21194;3;20011109 15:19;V;;;;;;
D;002;21194;3;20011109 15:19;V;;;;;;
B;002;21265;4;20011109 15:19;;;78;ABELARD ST;DUNGOG;2420;975.1;M;20010727;20010831;176000;A;R;RESIDENCE;;AD;;;7937258;
C;002;21265;4;20011109 15:19;185//263468;
D;002;21265;4;20011109 15:19;P;;;;;;
D;002;21265;4;20011109 15:19;V;;;;;;
B;002;21334;5;20011109 15:19;;;2;BROWN ST;DUNGOG;2420;999.9;M;20010711;20010817;67000;A;V;VACANT LAND;;AD;;;7923537;
C;002;21334;5;20011109 15:19;71//598246;
D;002;21334;5;20011109 15:19;P;;;;;;
D;002;21334;5;20011109 15:19;P;;;;;;
D;002;21334;5;20011109 15:19;V;;;;;;
B;002;21353;6;20011109 15:19;;;73;BROWN ST;DUNGOG;2420;607;M;20010602;20010717;76000;A;R;RESIDENCE;;AD;AC;;7813300;
C;002;21353;6;20011109 15:19;21//538557;
D;002;21353;6;20011109 15:19;P;;;;;;
D;002;21353;6;20011109 15:19;P;;;;;;
D;002;21353;6;20011109 15:19;V;;;;;;
B;002;21386;7;20011109 15:19;;;36;CHAPMAN ST;DUNGOG;2420;1609.56;M;20010820;20010910;60000;A;R;RESIDENCE;;AD;RR;;7976534;
C;002;21386;7;20011109 15:19;A, B//388978;
D;002;21386;7;20011109 15:19;P;;;;;;
D;002;21386;7;20011109 15:19;V;;;;;;
B;002;21526;8;20011109 15:19;;;;DOWLING ST;DUNGOG;2420;2630;M;20010302;20010530;460000;B;3;COMMERCIAL;;BA;BS;;7659116;
C;002;21526;8;20011109 15:19;PT 11, PT 12//65510 1//998639;
D;002;21526;8;20011109 15:19;P;;;;;;
D;002;21526;8;20011109 15:19;P;;;;;;
D;002;21526;8;20011109 15:19;V;;;;;;
D;002;21526;8;20011109 15:19;V;;;;;;
B;002;21549;9;20011109 15:19;;;223;DOWLING ST;DUNGOG;2420;1340;M;20010716;20010831;290000;B;3;SHOP;;BA;;;7974771;
C;002;21549;9;20011109 15:19;3, 4//10216;
D;002;21549;9;20011109 15:19;P;;;;;;
D;002;21549;9;20011109 15:19;V;;;;;;
B;002;21614;10;20011109 15:19;;;101;ELOIZA ST;DUNGOG;2420;1100;M;20010725;20010905;152500;A;R;RESIDENCE;;AD;;;7966216;
C;002;21614;10;20011109 15:19;71//512574;
D;002;21614;10;20011109 15:19;P;;;;;;
D;002;21614;10;20011109 15:19;V;;;;;;
D;002;21614;10;20011109 15:19;V;;;;;;
B;002;21653;11;20011109 15:19;;;81;FOSTERTON RD;DUNGOG;2420;6195;M;20010710;20010824;244000;A;R;RESIDENCE;;AD;;;7902795;
C;002;21653;11;20011109 15:19;109//1006661;
D;002;21653;11;20011109 15:19;P;;;;;;
D;002;21653;11;20011109 15:19;V;;;;;;
D;002;21653;11;20011109 15:19;V;;;;;;
B;002;21661;12;20011109 15:19;;;67;FOSTERTON RD;DUNGOG;2420;2182;M;20010705;20010817;110000;A;R;RESIDENCE;;AD;;;7936199;
C;002;21661;12;20011109 15:19;10//9066 11//456331;
D;002;21661;12;20011109 15:19;P;;;;;;
D;002;21661;12;20011109 15:19;P;;;;;;
D;002;21661;12;20011109 15:19;V;;;;;;
B;002;22191;13;20011109 15:19;;;4;SIMMONDS LANE;DUNGOG;2420;1008;M;20010507;20010524;82000;A;R;RESIDENCE;;AD;AC;;7673792;
C;002;22191;13;20011109 15:19;2//355411;
D;002;22191;13;20011109 15:19;P;;;;;;
D;002;22191;13;20011109 15:19;V;;;;;;
B;002;22478;14;20011109 15:19;;;50;DURHAM RD;EAST GRESFORD;2311;735.8;M;20010519;20010629;60000;A;R;RESIDENCE;;AG;;;7965631;
C;002;22478;14;20011109 15:19;10//38414;
D;002;22478;14;20011109 15:19;P;;;;;;
D;002;22478;14;20011109 15:19;V;;;;;;
D;002;22478;14;20011109 15:19;V;;;;;;
B;002;22826;15;20011109 15:19;;;253;DUNGOG RD;MARTINS CREEK;2420;13.95;H;20010525;20010716;190000;R;3;FARM/RURAL;;RC;;;7921992;
C;002;22826;15;20011109 15:19;201//843397;
D;002;22826;15;20011109 15:19;P;;;;;;
D;002;22826;15;20011109 15:19;P;;;;;;
D;002;22826;15;20011109 15:19;V;;;;;;
D;002;22826;15;20011109 15:19;V;;;;;;
B;002;22881;16;20011109 15:19;;;28;WAKAYA CL;VACY;2421;1.307;H;20010725;20010905;260000;R;R;RESIDENCE;;RH;;;7937911;
C;002;22881;16;20011109 15:19;25//712070;
D;002;22881;16;20011109 15:19;P;;;;;;
D;002;22881;16;20011109 15:19;V;;;;;;
D;002;22881;16;20011109 15:19;V;;;;;;
B;002;23192;17;20011109 15:19;;;;SUGARLOAF RD;DUNGOG;2420;3.883;H;20000815;20010815;90000;R;R;RESIDENCE;;RK;;;7919187;
C;002;23192;17;20011109 15:19;7//1013706;
D;002;23192;17;20011109 15:19;P;;;;;;
D;002;23192;17;20011109 15:19;P;;;;;;
D;002;23192;17;20011109 15:19;V;;;;;;
D;002;23192;17;20011109 15:19;V;;;;;;
B;002;23329;18;20011109 15:19;;;;FINGAL PH PORS VIA;DUNGOG;2420;10;H;20010815;20010919;180000;R;R;RESIDENCE;;RC;RR;;7979475;
C;002;23329;18;20011109 15:19;97//746774;
D;002;23329;18;20011109 15:19;P;;;;;;
D;002;23329;18;20011109 15:19;P;;;;;;
D;002;23329;18;20011109 15:19;V;;;;;;
B;002;23340;19;20011109 15:19;;;;;;;10.51;H;20010511;20010613;125000;R;R;RESIDENCE;;RP;;;7895639;
C;002;23340;19;20011109 15:19;7//238328;
D;002;23340;19;20011109 15:19;P;;;;;;
D;002;23340;19;20011109 15:19;P;;;;;;
D;002;23340;19;20011109 15:19;V;;;;;;
D;002;23340;19;20011109 15:19;V;;;;;;
B;002;23399;20;20011109 15:19;;;;;;;39.36;H;20010813;20010919;75000;R;V;VACANT LAND;;RC;;;7967833;
C;002;23399;20;20011109 15:19;11//753169;
D;002;23399;20;20011109 15:19;P;;;;;;
D;002;23399;20;20011109 15:19;P;;;;;;
D;002;23399;20;20011109 15:19;V;;;;;;
B;002;23470;21;20011109 15:19;;;794;ALISON RD;ALISON;2420;4.856;H;20010728;20010907;238000;R;R;RESIDENCE;;RP;;;7937247;
C;002;23470;21;20011109 15:19;29, 31//6253;
D;002;23470;21;20011109 15:19;P;;;;;;
D;002;23470;21;20011109 15:19;P;;;;;;
D;002;23470;21;20011109 15:19;V;;;;;;
D;002;23470;21;20011109 15:19;V;;;;;;
B;002;23613;22;20011109 15:19;;;;GRESFORD RD;VACY;2421;2.723;H;20010823;20010919;82000;R;V;VACANT LAND;;RH;RV;;7976243;
C;002;23613;22;20011109 15:19;42//869206;
D;002;23613;22;20011109 15:19;P;;;;;;
D;002;23613;22;20011109 15:19;P;;;;;;
D;002;23613;22;20011109 15:19;V;;;;;;
B;002;23773;23;20011109 15:19;;;334;GLEN MARTIN RD;GLEN MARTIN;2321;5.63;H;20010726;20010903;219000;R;R;RESIDENCE;;RB;;;7922894;
C;002;23773;23;20011109 15:19;256//705956;
D;002;23773;23;20011109 15:19;P;;;;;;
D;002;23773;23;20011109 15:19;V;;;;;;
B;002;23837;24;20011109 15:19;;;;GLEN MARTIN RD;CLARENCE TOWN;2321;9.251;H;20010704;20010831;129000;R;V;VACANT LAND;;RB;;;7932136;
C;002;23837;24;20011109 15:19;7//285645;
D;002;23837;24;20011109 15:19;P;;;;;;
D;002;23837;24;20011109 15:19;P;;;;;;
D;002;23837;24;20011109 15:19;P;;;;;;
D;002;23837;24;20011109 15:19;P;;;;;;
D;002;23837;24;20011109 15:19;V;;;;;;
B;002;23865;25;20011109 15:19;;;;HOUGHTON PH PORS VIA;DUNGOG;2420;4.193;H;20010724;20010905;239900;R;R;RESIDENCE;;RH;RR;;7980361;
C;002;23865;25;20011109 15:19;22//776533;
D;002;23865;25;20011109 15:19;P;;;;;;
D;002;23865;25;20011109 15:19;P;;;;;;
D;002;23865;25;20011109 15:19;V;;;;;;
B;002;24261;26;20011109 15:19;;;;SALISBURY RD;BENDOLBA;2420;;;20010730;20010919;87000;R;R;RESIDENCE;;RJ;RR;;7976986;
C;002;24261;26;20011109 15:19;2//374827;
D;002;24261;26;20011109 15:19;P;;;;;;
D;002;24261;26;20011109 15:19;V;;;;;;
D;002;24261;26;20011109 15:19;V;;;;;;
B;002;24306;27;20011109 15:19;;;;;;;10.22;H;20010409;20010614;255000;R;R;RESIDENCE;;RC;RRI;;7711992;
C;002;24306;27;20011109 15:19;;
D;002;24306;27;20011109 15:19;P;;;;;;
D;002;24306;27;20011109 15:19;V;;;;;;
D;002;24306;27;20011109 15:19;V;;;;;;
D;002;24306;27;20011109 15:19;V;;;;;;
B;002;24407;28;20011109 15:19;;;;FOSTERTON VIA;DUNGOG;2420;176;H;20010712;20010808;250000;R;3;FARM;;RE;;;7912501;
C;002;24407;28;20011109 15:19;14, 54//753206;
D;002;24407;28;20011109 15:19;P;;;;;;
D;002;24407;28;20011109 15:19;V;;;;;;
D;002;24407;28;20011109 15:19;V;;;;;;
