A;001;20011109 13:26;CDIXON;
B;001;368;1;20011109 13:26;;;29;COMERFORD CL;ABERDARE;2325;726.3;M;20010731;20010912;225000;A;R;RESIDENCE;;GA;AC;;7943808;
C;001;368;1;20011109 13:26;15//706134;
D;001;368;1;20011109 13:26;P;;;;;;
D;001;368;1;20011109 13:26;P;;;;;;
D;001;368;1;20011109 13:26;V;;;;;;
B;001;390;2;20011109 13:26;;;24;COMERFORD CL;ABERDARE;2325;813.4;M;20010813;20010903;129000;A;R;RESIDENCE;;GA;AC;;7933540;
C;001;390;2;20011109 13:26;37//706134;
D;001;390;2;20011109 13:26;P;;;;;;
D;001;390;2;20011109 13:26;P;;;;;;
D;001;390;2;20011109 13:26;V;;;;;;
B;001;431;3;20011109 13:26;;;74;CONGEWAI ST;ABERDARE;2325;;;20010806;20010903;85000;A;R;RESIDENCE;;GA;AC;;7935063;
C;001;431;3;20011109 13:26;26/17/758002;
D;001;431;3;20011109 13:26;P;;;;;;
D;001;431;3;20011109 13:26;P;;;;;;
D;001;431;3;20011109 13:26;V;;;;;;
D;001;431;3;20011109 13:26;V;;;;;;
B;001;561;4;20011109 13:26;;1;;COOPER ST;ABERDARE;2325;;;20010824;20010919;163000;;3;SHOP;1;;;;7981978;
C;001;561;4;20011109 13:26;1//42432;
D;001;561;4;20011109 13:26;P;;;;;;
D;001;561;4;20011109 13:26;P;;;;;;
D;001;561;4;20011109 13:26;V;;;;;;
D;001;561;4;20011109 13:26;V;;;;;;
B;001;606;5;20011109 13:26;;;12;CUMBERLAND ST;CESSNOCK;2325;;;20010726;20010830;135000;B;R;RESIDENCE;;CB;BS;;7963982;
C;001;606;5;20011109 13:26;3/D/4633;
D;001;606;5;20011109 13:26;P;;;;;;
D;001;606;5;20011109 13:26;V;;;;;;
D;001;606;5;20011109 13:26;V;;;;;;
B;001;626;6;20011109 13:26;;;49;CUMBERLAND ST;CESSNOCK;2325;;;20010720;20010903;135000;B;R;RESIDENCE;;CB;BS;;7973365;
C;001;626;6;20011109 13:26;1//361751;
D;001;626;6;20011109 13:26;P;;;;;;
D;001;626;6;20011109 13:26;V;;;;;;
D;001;626;6;20011109 13:26;V;;;;;;
B;001;627;7;20011109 13:26;;;51;CUMBERLAND ST;CESSNOCK;2325;682.9;M;20010625;20010807;92000;B;R;RESIDENCE;;CB;AC;;7914941;
C;001;627;7;20011109 13:26;2//384173;
D;001;627;7;20011109 13:26;P;;;;;;
D;001;627;7;20011109 13:26;V;;;;;;
B;001;856;8;20011109 13:26;;;45;HALL ST;CESSNOCK;2325;809.4;M;20010709;20010817;84000;A;R;RESIDENCE;;GB;AC;;7921049;
C;001;856;8;20011109 13:26;21/E/4269;
D;001;856;8;20011109 13:26;P;;;;;;
D;001;856;8;20011109 13:26;V;;;;;;
B;001;944;9;20011109 13:26;;;19;HIGH ST;CESSNOCK;2325;;;20010824;20010830;133000;A;R;RESIDENCE;;GB;AC;;7917294;
C;001;944;9;20011109 13:26;36/C/4528;
D;001;944;9;20011109 13:26;P;;;;;;
D;001;944;9;20011109 13:26;V;;;;;;
B;001;1008;10;20011109 13:26;;;7;JEFFRIES ST;CESSNOCK;2325;809;M;20000824;20010924;118000;A;R;RESIDENCE;;GB;AC;;7982109;
C;001;1008;10;20011109 13:26;16/B/4308;
D;001;1008;10;20011109 13:26;P;;;;;;
D;001;1008;10;20011109 13:26;V;;;;;;
D;001;1008;10;20011109 13:26;V;;;;;;
B;001;1129;11;20011109 13:26;;;2;MCFARLANE ST;CESSNOCK;2325;;;20010726;20010816;59000;A;R;RESIDENCE;;GB;AC;;7908373;
C;001;1129;11;20011109 13:26;3//303677;
D;001;1129;11;20011109 13:26;P;;;;;;
D;001;1129;11;20011109 13:26;V;;;;;;
B;001;1407;12;20011109 13:26;;;91;NORTHCOTE ST;ABERDARE;2325;1012;M;20010723;20010907;67000;A;R;RESIDENCE;;GA;AC;;7953678;
C;001;1407;12;20011109 13:26;4/32/758002;
D;001;1407;12;20011109 13:26;P;;;;;;
D;001;1407;12;20011109 13:26;V;;;;;;
B;001;1458;13;20011109 13:26;;;17;OAKEY CREEK RD;POKOLBIN;2320;3981;M;20010612;20010904;200000;A;R;RESIDENCE;;GT;AC;;7918911;
C;001;1458;13;20011109 13:26;17//270158;
D;001;1458;13;20011109 13:26;P;;;;;;
D;001;1458;13;20011109 13:26;V;;;;;;
D;001;1458;13;20011109 13:26;V;;;;;;
B;001;1488;14;20011109 13:26;;;;OAKEY CREEK RD;CESSNOCK;2325;4367;M;20010810;20010831;335000;A;R;RESIDENCE;;GT;AC;;7919634;
C;001;1488;14;20011109 13:26;47//270158;
D;001;1488;14;20011109 13:26;P;;;;;;
D;001;1488;14;20011109 13:26;V;;;;;;
B;001;1640;15;20011109 13:26;;;49;RAWSON ST;ABERDARE;2325;;;20010208;20010403;59000;A;R;RESIDENCE;;GA;AC;;7526354;
C;001;1640;15;20011109 13:26;5/39/758002;
D;001;1640;15;20011109 13:26;P;;;;;;
D;001;1640;15;20011109 13:26;V;;;;;;
B;001;1647;16;20011109 13:26;;;63;RAWSON ST;ABERDARE;2325;1012;M;20010216;20010316;118000;A;R;RESIDENCE;;GA;AC;;7511737;
C;001;1647;16;20011109 13:26;2/38/785002;
D;001;1647;16;20011109 13:26;P;;;;;;
D;001;1647;16;20011109 13:26;V;;;;;;
B;001;1731;17;20011109 13:26;;;22;REGENT ST;CESSNOCK;2325;;;20010619;20010829;187000;A;R;RESIDENCE;;GB;AC;;7929371;
C;001;1731;17;20011109 13:26;35/C/4528;
D;001;1731;17;20011109 13:26;P;;;;;;
D;001;1731;17;20011109 13:26;V;;;;;;
B;001;1771;18;20011109 13:26;;;1;SIXTH ST;CESSNOCK;2325;;;20010530;20010629;105000;A;R;RESIDENCE;;GB;AC;;7916952;
C;001;1771;18;20011109 13:26;6/F/4308;
D;001;1771;18;20011109 13:26;P;;;;;;
D;001;1771;18;20011109 13:26;V;;;;;;
D;001;1771;18;20011109 13:26;V;;;;;;
B;001;1788;19;20011109 13:26;;;24;VERNON ST;CESSNOCK;2325;;;20010730;20010903;100000;A;R;RESIDENCE;;GA;AC;;7916982;
C;001;1788;19;20011109 13:26;16/3/758002;
D;001;1788;19;20011109 13:26;P;;;;;;
D;001;1788;19;20011109 13:26;V;;;;;;
D;001;1788;19;20011109 13:26;V;;;;;;
B;001;1812;20;20011109 13:26;;;246;VINCENT ST;CESSNOCK;2325;474.2;M;20010716;20010831;87000;A;R;RESIDENCE;;GB;AC;;7926109;
C;001;1812;20;20011109 13:26;11//517933;
D;001;1812;20;20011109 13:26;P;;;;;;
D;001;1812;20;20011109 13:26;V;;;;;;
B;001;1949;21;20011109 13:26;;;221;VINCENT ST;CESSNOCK;2325;;;20010725;20010903;750000;B;3;HOTEL;;CC;BH;;7928869;
C;001;1949;21;20011109 13:26;1, 2/D/4653;
D;001;1949;21;20011109 13:26;P;;;;;;
D;001;1949;21;20011109 13:26;P;;;;;;
D;001;1949;21;20011109 13:26;P;;;;;;
D;001;1949;21;20011109 13:26;P;;;;;;
D;001;1949;21;20011109 13:26;V;;;;;;
D;001;1949;21;20011109 13:26;V;;;;;;
B;001;2068;22;20011109 13:26;;;81;CESSNOCK RD;ABERMAIN;2326;;;20010803;20010831;75500;A;R;RESIDENCE;;HA;AC;;7913899;
C;001;2068;22;20011109 13:26;18/C/4748;
D;001;2068;22;20011109 13:26;P;;;;;;
D;001;2068;22;20011109 13:26;P;;;;;;
D;001;2068;22;20011109 13:26;V;;;;;;
B;001;2281;23;20011109 13:26;;;20;ELIZABETH ST;ABERMAIN;2326;527.3;M;20010713;20010906;75000;A;R;RESIDENCE;;HA;AC;;7936429;
C;001;2281;23;20011109 13:26;1//715934;
D;001;2281;23;20011109 13:26;P;;;;;;
D;001;2281;23;20011109 13:26;V;;;;;;
D;001;2281;23;20011109 13:26;V;;;;;;
B;001;2342;24;20011109 13:26;;;112;HARLE ST;ABERMAIN;2326;722.4;M;20010515;20010702;76500;A;R;RESIDENCE;;HA;AC;;7790550;
C;001;2342;24;20011109 13:26;102//740708;
D;001;2342;24;20011109 13:26;P;;;;;;
D;001;2342;24;20011109 13:26;P;;;;;;
D;001;2342;24;20011109 13:26;V;;;;;;
B;001;2354;25;20011109 13:26;;;82;HARLE ST;ABERMAIN;2326;;;20010613;20010815;70060;A;R;RESIDENCE;;HA;AC;;7924016;
C;001;2354;25;20011109 13:26;2/C/4748;
D;001;2354;25;20011109 13:26;P;;;;;;
D;001;2354;25;20011109 13:26;V;;;;;;
D;001;2354;25;20011109 13:26;V;;;;;;
B;001;2362;26;20011109 13:26;;;62;HARLE ST;ABERMAIN;2326;;;20010823;20010921;155000;A;R;RESIDENCE;;HA;AC;;7983095;
C;001;2362;26;20011109 13:26;8/C/4748;
D;001;2362;26;20011109 13:26;P;;;;;;
D;001;2362;26;20011109 13:26;P;;;;;;
D;001;2362;26;20011109 13:26;V;;;;;;
B;001;2450;27;20011109 13:26;;;163;HARLE ST;ABERMAIN;2326;;;20010614;20010730;65000;A;R;RESIDENCE;;HA;AC;;7941186;
C;001;2450;27;20011109 13:26;5/F/4748;
D;001;2450;27;20011109 13:26;P;;;;;;
D;001;2450;27;20011109 13:26;P;;;;;;
D;001;2450;27;20011109 13:26;V;;;;;;
B;001;2659;28;20011109 13:26;;;31;MELBOURNE ST;ABERMAIN;2326;;;20010724;20010817;115000;A;R;RESIDENCE;;HA;AC;;7909791;
C;001;2659;28;20011109 13:26;7/6/758004;
D;001;2659;28;20011109 13:26;P;;;;;;
D;001;2659;28;20011109 13:26;P;;;;;;
D;001;2659;28;20011109 13:26;V;;;;;;
B;001;2700;29;20011109 13:26;;;70;TAMWORTH ST;ABERMAIN;2326;1012;M;20010704;20010720;120000;A;R;RESIDENCE;;HA;AC;;7802132;
C;001;2700;29;20011109 13:26;12//624875;
D;001;2700;29;20011109 13:26;P;;;;;;
D;001;2700;29;20011109 13:26;P;;;;;;
D;001;2700;29;20011109 13:26;V;;;;;;
B;001;2749;30;20011109 13:26;;;53;TAMWORTH ST;ABERMAIN;2326;;;20010810;20010914;62500;A;R;RESIDENCE;;HA;AC;;7970915;
C;001;2749;30;20011109 13:26;B//302657;
D;001;2749;30;20011109 13:26;P;;;;;;
D;001;2749;30;20011109 13:26;P;;;;;;
D;001;2749;30;20011109 13:26;V;;;;;;
B;001;2911;31;20011109 13:26;;;19;KNOX ST;ABERNETHY;2325;;;20010730;20010827;70000;A;R;RESIDENCE;;FG;AC;;7943985;
C;001;2911;31;20011109 13:26;1/10/758005;
D;001;2911;31;20011109 13:26;P;;;;;;
D;001;2911;31;20011109 13:26;P;;;;;;
D;001;2911;31;20011109 13:26;V;;;;;;
B;001;2958;32;20011109 13:26;;;46;HELENA ST;ELLALONG;2325;3541;M;20010123;20010403;31000;A;V;VACANT LAND;;FD;AV;;7526520;
C;001;2958;32;20011109 13:26;6/2/758382;
D;001;2958;32;20011109 13:26;P;;;;;;
D;001;2958;32;20011109 13:26;P;;;;;;
D;001;2958;32;20011109 13:26;V;;;;;;
B;001;3019;33;20011109 13:26;;;11;MULBRING ST;ELLALONG;2325;1897;M;20010529;20010622;28500;A;V;VACANT LAND;;FD;AV;;7751805;
C;001;3019;33;20011109 13:26;5/8/758382;
D;001;3019;33;20011109 13:26;P;;;;;;
D;001;3019;33;20011109 13:26;P;;;;;;
D;001;3019;33;20011109 13:26;V;;;;;;
B;001;3409;34;20011109 13:26;;;39;KALINGO ST;BELLBIRD;2325;1416;M;20010717;20010824;30500;A;V;VACANT LAND;;GN;AV;;7902173;
C;001;3409;34;20011109 13:26;16/G/6264;
D;001;3409;34;20011109 13:26;P;;;;;;
D;001;3409;34;20011109 13:26;V;;;;;;
D;001;3409;34;20011109 13:26;V;;;;;;
B;001;3735;35;20011109 13:26;;;105;KEELENDI RD;BELLBIRD HEIGHTS;2325;;;20010813;20010907;120000;A;R;RESIDENCE;;GN;AC;;7937381;
C;001;3735;35;20011109 13:26;71//14509;
D;001;3735;35;20011109 13:26;P;;;;;;
D;001;3735;35;20011109 13:26;V;;;;;;
D;001;3735;35;20011109 13:26;V;;;;;;
B;001;3818;36;20011109 13:26;;;29;PRINCE ST;BELLBIRD;2325;;;20010726;20010903;50000;A;R;RESIDENCE;;GN;AC;;7917146;
C;001;3818;36;20011109 13:26;17/D/7856;
D;001;3818;36;20011109 13:26;P;;;;;;
D;001;3818;36;20011109 13:26;V;;;;;;
B;001;3858;37;20011109 13:26;;;8;ABBOTSFORD ST;BELLBIRD;2325;814.1;M;20010604;20010706;175000;A;R;RESIDENCE;;GN;AC;;7925711;
C;001;3858;37;20011109 13:26;20/K/6264;
D;001;3858;37;20011109 13:26;P;;;;;;
D;001;3858;37;20011109 13:26;P;;;;;;
D;001;3858;37;20011109 13:26;V;;;;;;
B;001;3859;38;20011109 13:26;;;23;RUBY ST;BELLBIRD;2325;1639;M;20010212;20010326;160000;A;R;RESIDENCE;;GN;AC;;7582825;
C;001;3859;38;20011109 13:26;1//613669;
D;001;3859;38;20011109 13:26;P;;;;;;
D;001;3859;38;20011109 13:26;P;;;;;;
D;001;3859;38;20011109 13:26;V;;;;;;
B;001;3879;39;20011109 13:26;;;63;RUBY ST;BELLBIRD;2325;697.9;M;20010702;20010814;80000;A;R;RESIDENCE;;GN;AC;;7906733;
C;001;3879;39;20011109 13:26;1//596809;
D;001;3879;39;20011109 13:26;P;;;;;;
D;001;3879;39;20011109 13:26;V;;;;;;
B;001;3915;40;20011109 13:26;;;21;TENNANT ST;BELLBIRD;2325;;;20010725;20010824;144000;A;R;RESIDENCE;;GN;AC;;7976814;
C;001;3915;40;20011109 13:26;8/6/7266;
D;001;3915;40;20011109 13:26;P;;;;;;
D;001;3915;40;20011109 13:26;P;;;;;;
D;001;3915;40;20011109 13:26;V;;;;;;
