A;003;20011109 15:05;CDIXON;
B;003;25424;1;20011109 15:05;;;24;ADELAIDE ST;EAST GOSFORD;2250;69.6;M;20010711;20010822;220000;B;3;SHOP;;CL;;;7913437;
C;003;25424;1;20011109 15:05;5//502725;
D;003;25424;1;20011109 15:05;P;;;;;;
D;003;25424;1;20011109 15:05;P;;;;;;
D;003;25424;1;20011109 15:05;V;;;;;;
D;003;25424;1;20011109 15:05;V;;;;;;
D;003;25424;1;20011109 15:05;V;;;;;;
B;003;25425;2;20011109 15:05;;;22;ADELAIDE ST;EAST GOSFORD;2250;69.6;M;20010711;20010822;220000;B;3;SHOP;;CL;;;7913437;
C;003;25425;2;20011109 15:05;4//502725;
D;003;25425;2;20011109 15:05;P;;;;;;
D;003;25425;2;20011109 15:05;P;;;;;;
D;003;25425;2;20011109 15:05;V;;;;;;
D;003;25425;2;20011109 15:05;V;;;;;;
D;003;25425;2;20011109 15:05;V;;;;;;
D;003;25425;2;20011109 15:05;V;;;;;;
B;003;25426;3;20011109 15:05;;;20;ADELAIDE ST;EAST GOSFORD;2250;69.6;M;20010711;20010822;220000;B;3;SHOP;;CL;;;7913437;
C;003;25426;3;20011109 15:05;3//502725;
D;003;25426;3;20011109 15:05;P;;;;;;
D;003;25426;3;20011109 15:05;P;;;;;;
D;003;25426;3;20011109 15:05;V;;;;;;
D;003;25426;3;20011109 15:05;V;;;;;;
D;003;25426;3;20011109 15:05;V;;;;;;
D;003;25426;3;20011109 15:05;V;;;;;;
B;003;25502;4;20011109 15:05;;;2;AGATE AVE;PEARL BEACH;2256;727.2;M;20010726;20010831;760000;A;R;RESIDENCE;;FV;;;7913291;
C;003;25502;4;20011109 15:05;201//14817;
D;003;25502;4;20011109 15:05;P;;;;;;
D;003;25502;4;20011109 15:05;V;;;;;;
D;003;25502;4;20011109 15:05;V;;;;;;
B;003;25644;5;20011109 15:05;;;12;ALAN ST;NIAGARA PARK;2250;603.9;M;20010620;20010904;177000;A;R;RESIDENCE;;GK;;;7932945;
C;003;25644;5;20011109 15:05;2//264500;
D;003;25644;5;20011109 15:05;P;;;;;;
D;003;25644;5;20011109 15:05;P;;;;;;
D;003;25644;5;20011109 15:05;V;;;;;;
D;003;25644;5;20011109 15:05;V;;;;;;
