A;008;20011109 13:31;CDIXON;
B;008;201592;1;20011109 13:31;;;38;ACACIA AVE;WARATAH WEST;2298;739.8;M;19570604;20010809;5450;A;R;RESIDENCE;;JP;ACI;;7950960;
C;008;201592;1;20011109 13:31;5//22565;
D;008;201592;1;20011109 13:31;P;;;;;;
D;008;201592;1;20011109 13:31;P;;;;;;
D;008;201592;1;20011109 13:31;V;;;;;;
B;008;201682;2;20011109 13:31;;;15;ACKERON ST;MAYFIELD;2304;493.2;M;20010710;20010809;177500;A;R;RESIDENCE;;JX;AC;;7931733;
C;008;201682;2;20011109 13:31;363//95385;
D;008;201682;2;20011109 13:31;P;;;;;;
D;008;201682;2;20011109 13:31;P;;;;;;
D;008;201682;2;20011109 13:31;V;;;;;;
D;008;201682;2;20011109 13:31;V;;;;;;
B;008;201714;3;20011109 13:31;;;30 A;ADA ST;WARATAH;2298;343.5;M;20010628;20010727;185000;A;V;VACANT LAND;;JQ;AV;;7854514;
C;008;201714;3;20011109 13:31;11//1001364;
D;008;201714;3;20011109 13:31;P;;;;;;
D;008;201714;3;20011109 13:31;P;;;;;;
D;008;201714;3;20011109 13:31;V;;;;;;
B;008;201782;4;20011109 13:31;;;44;ADDISON RD;NEW LAMBTON;2305;1461;M;20010327;20010504;230000;A;R;RESIDENCE;;FG;AC;;7614376;
C;008;201782;4;20011109 13:31;13//15207;
D;008;201782;4;20011109 13:31;P;;;;;;
D;008;201782;4;20011109 13:31;P;;;;;;
D;008;201782;4;20011109 13:31;V;;;;;;
B;008;202005;5;20011109 13:31;;;35;AJAX CL;MARYLAND;2287;690.8;M;20010723;20010803;245000;A;R;RESIDENCE;;AA;AC;;7928174;
C;008;202005;5;20011109 13:31;66//805266;
D;008;202005;5;20011109 13:31;P;;;;;;
D;008;202005;5;20011109 13:31;P;;;;;;
D;008;202005;5;20011109 13:31;V;;;;;;
D;008;202005;5;20011109 13:31;V;;;;;;
B;008;202365;6;20011109 13:31;;;3;ALFRED ST;NEWCASTLE EAST;2300;75.9;M;20010731;20010904;252000;A;R;RESIDENCE;;KF;AC;;7959400;
C;008;202365;6;20011109 13:31;9//656941;
D;008;202365;6;20011109 13:31;P;;;;;;
D;008;202365;6;20011109 13:31;V;;;;;;
B;008;202796;7;20011109 13:31;;2;13;ALLWORTH ST;MEREWETHER;2291;;;20010808;20010912;262500;;R;RESIDENCE;2;;;;7956162;
C;008;202796;7;20011109 13:31;2//39742;
D;008;202796;7;20011109 13:31;P;;;;;;
D;008;202796;7;20011109 13:31;V;;;;;;
B;008;202921;8;20011109 13:31;;20;3;BRITANIA BVDE;FLETCHER;2287;630;M;20010704;20010904;285000;A;R;RESIDENCE;;AP;AC;;7917003;
C;008;202921;8;20011109 13:31;20//869101;
D;008;202921;8;20011109 13:31;P;;;;;;
D;008;202921;8;20011109 13:31;P;;;;;;
D;008;202921;8;20011109 13:31;V;;;;;;
B;008;202935;9;20011109 13:31;;;19;COUNTY DR;FLETCHER;2287;1194;M;20010801;20010829;50000;A;V;VACANT LAND;;AP;AV;;7938974;
C;008;202935;9;20011109 13:31;121//883472;
D;008;202935;9;20011109 13:31;P;;;;;;
D;008;202935;9;20011109 13:31;V;;;;;;
B;008;203195;10;20011109 13:31;;10;30;ANDRETTA AVE;ELERMORE VALE;2287;;;20010809;20010918;182500;;R;RESIDENCE;10;;;;7970830;
C;008;203195;10;20011109 13:31;10//SP 48451;
D;008;203195;10;20011109 13:31;P;;;;;;
D;008;203195;10;20011109 13:31;P;;;;;;
D;008;203195;10;20011109 13:31;V;;;;;;
B;008;203252;11;20011109 13:31;;;3;ANGALA CL;MARYLAND;2287;703;M;20010723;20010831;159500;A;R;RESIDENCE;;AA;AC;;7939246;
C;008;203252;11;20011109 13:31;3033//811356;
D;008;203252;11;20011109 13:31;P;;;;;;
D;008;203252;11;20011109 13:31;V;;;;;;
B;008;203345;12;20011109 13:31;;;7;ANGOPHORA DR;WARABROOK;2304;9116;M;20010824;20010824;435000;B;V;VACANT LAND;;LN;BV;;7925595;
C;008;203345;12;20011109 13:31;35//806784;
D;008;203345;12;20011109 13:31;P;;;;;;
D;008;203345;12;20011109 13:31;P;;;;;;
D;008;203345;12;20011109 13:31;V;;;;;;
B;008;203514;13;20011109 13:31;;;28;ANTILL ST;MAYFIELD;2304;;;20010730;20010903;139000;A;R;RESIDENCE;;JD;AC;;7939362;
C;008;203514;13;20011109 13:31;32//37394;
D;008;203514;13;20011109 13:31;P;;;;;;
D;008;203514;13;20011109 13:31;P;;;;;;
D;008;203514;13;20011109 13:31;V;;;;;;
D;008;203514;13;20011109 13:31;V;;;;;;
B;008;203541;14;20011109 13:31;;2;12;ANZAC PDE;NEWCASTLE;2300;;;20010606;20010629;113500;;R;RESIDENCE;2;;;;7980471;
C;008;203541;14;20011109 13:31;2//5723;
D;008;203541;14;20011109 13:31;P;;;;;;
D;008;203541;14;20011109 13:31;V;;;;;;
B;008;203585;15;20011109 13:31;;;37;AQUARIUS AVE;ELERMORE VALE;2287;590.2;M;20010716;20010820;156500;A;V;VACANT LAND;;AL;AC;;7916413;
C;008;203585;15;20011109 13:31;130//259927;
D;008;203585;15;20011109 13:31;P;;;;;;
D;008;203585;15;20011109 13:31;P;;;;;;
D;008;203585;15;20011109 13:31;V;;;;;;
B;008;204122;16;20011109 13:31;;;18;ASHFORD PDE;MEREWETHER HEIGHTS;2291;493.2;M;20010601;20010817;315000;A;R;RESIDENCE;;HM;AC;;7906568;
C;008;204122;16;20011109 13:31;25//211871;
D;008;204122;16;20011109 13:31;P;;;;;;
D;008;204122;16;20011109 13:31;V;;;;;;
B;008;204229;17;20011109 13:31;;;4;ASTLEY ST W;GEORGETOWN;2298;;;20010726;20010829;140000;A;R;RESIDENCE;;JS;AC;;7913323;
C;008;204229;17;20011109 13:31;36//10630;
D;008;204229;17;20011109 13:31;P;;;;;;
D;008;204229;17;20011109 13:31;P;;;;;;
D;008;204229;17;20011109 13:31;V;;;;;;
B;008;204258;18;20011109 13:31;;;7;ATHLONE WAY;NEWCASTLE;2300;899.6;M;20010813;20010917;65000;A;V;VACANT LAND;;AA;;;7965211;
C;008;204258;18;20011109 13:31;1402//1018235;
D;008;204258;18;20011109 13:31;P;;;;;;
D;008;204258;18;20011109 13:31;P;;;;;;
D;008;204258;18;20011109 13:31;V;;;;;;
B;008;204259;19;20011109 13:31;;;9;ATHLONE WAY;NEWCASTLE;2300;976.9;M;20010716;20010813;69500;A;V;VACANT LAND;;AA;;;7942145;
C;008;204259;19;20011109 13:31;1403//1018235;
D;008;204259;19;20011109 13:31;P;;;;;;
D;008;204259;19;20011109 13:31;P;;;;;;
D;008;204259;19;20011109 13:31;V;;;;;;
B;008;204261;20;20011109 13:31;;;15;ATHLONE WAY;NEWCASTLE;2300;1698;M;20010704;20010905;75000;A;V;VACANT LAND;;AA;;;7955057;
C;008;204261;20;20011109 13:31;1405//1018235;
D;008;204261;20;20011109 13:31;P;;;;;;
D;008;204261;20;20011109 13:31;V;;;;;;
B;008;204263;21;20011109 13:31;;;8;ATHLONE WAY;NEWCASTLE;2300;1513;M;20010720;20010827;67000;A;V;VACANT LAND;;AA;AV;;7905361;
C;008;204263;21;20011109 13:31;1407//1018235;
D;008;204263;21;20011109 13:31;P;;;;;;
D;008;204263;21;20011109 13:31;P;;;;;;
D;008;204263;21;20011109 13:31;V;;;;;;
B;008;204264;22;20011109 13:31;;;4;ATHLONE WAY;NEWCASTLE;2300;1204;M;20010806;20010907;69000;A;V;VACANT LAND;;AA;;;7942048;
C;008;204264;22;20011109 13:31;1408//1018235;
D;008;204264;22;20011109 13:31;P;;;;;;
D;008;204264;22;20011109 13:31;P;;;;;;
D;008;204264;22;20011109 13:31;V;;;;;;
B;008;204377;23;20011109 13:31;;;22;AVONDALE RD;NEW LAMBTON;2305;;;20010314;20010412;194000;A;R;RESIDENCE;;FD;AC;;7571110;
C;008;204377;23;20011109 13:31;B//333207;
D;008;204377;23;20011109 13:31;P;;;;;;
D;008;204377;23;20011109 13:31;P;;;;;;
D;008;204377;23;20011109 13:31;V;;;;;;
D;008;204377;23;20011109 13:31;V;;;;;;
B;008;204414;24;20011109 13:31;;;25;AYRSHIRE CRES;SANDGATE;2304;4711;M;20010831;20010831;250000;I;V;VACANT LAND;;GB;IV;;7983351;
C;008;204414;24;20011109 13:31;2//870601;
D;008;204414;24;20011109 13:31;P;;;;;;
