A;001;20011109 09:22;CDIXON;
B;001;166;1;20011109 09:22;;;117;ABERDARE RD;ABERDARE;2325;611.1;M;20010621;20010629;24000;A;V;VACANT LAND;;GA;AV;;7735644;
C;001;166;1;20011109 09:22;7//812615;
D;001;166;1;20011109 09:22;P;;;;;;
D;001;166;1;20011109 09:22;V;;;;;;
B;001;209;2;20011109 09:22;;;6;BRIDGE ST;CESSNOCK;2325;809.4;M;20010516;20010627;75000;B;R;RESIDENCE;;CB;AC;;7755857;
C;001;209;2;20011109 09:22;10/A/4269;
D;001;209;2;20011109 09:22;P;;;;;;
D;001;209;2;20011109 09:22;V;;;;;;
D;001;209;2;20011109 09:22;V;;;;;;
B;001;261;3;20011109 09:22;;;44;CESSNOCK ST;ABERDARE;2325;;;20010718;20010718;30000;A;R;RESIDENCE;;GA;ACI;;7801808;
C;001;261;3;20011109 09:22;17/47/758002;
D;001;261;3;20011109 09:22;P;;;;;;
D;001;261;3;20011109 09:22;V;;;;;;
D;001;261;3;20011109 09:22;V;;;;;;
B;001;590;4;20011109 09:22;;4;36;CUMBERLAND ST;CESSNOCK;2325;;;20010531;20010716;89000;;R;RESIDENCE;4;;;;7786536;
C;001;590;4;20011109 09:22;4//SP 18967;
D;001;590;4;20011109 09:22;P;;;;;;
D;001;590;4;20011109 09:22;V;;;;;;
B;001;796;5;20011109 09:22;;;32;GRETA ST;ABERDARE;2325;;;20010524;20010705;70000;A;R;RESIDENCE;;GA;AC;;7762577;
C;001;796;5;20011109 09:22;13/43/758002;
D;001;796;5;20011109 09:22;P;;;;;;
D;001;796;5;20011109 09:22;V;;;;;;
B;001;1033;6;20011109 09:22;;;4;KING ST;CESSNOCK;2325;;;20000408;20000512;72500;A;R;RESIDENCE;;GB;AC;;7811858;
C;001;1033;6;20011109 09:22;1//355400 1//973715;
D;001;1033;6;20011109 09:22;P;;;;;;
D;001;1033;6;20011109 09:22;V;;;;;;
B;001;1186;7;20011109 09:22;;;7;MELBOURNE ST;ABERDARE;2325;1012;M;20010522;20010622;45000;A;R;RESIDENCE;;GA;AC;;7750713;
C;001;1186;7;20011109 09:22;5/14/758002;
D;001;1186;7;20011109 09:22;P;;;;;;
D;001;1186;7;20011109 09:22;V;;;;;;
D;001;1186;7;20011109 09:22;V;;;;;;
B;001;1343;8;20011109 09:22;;;40;NORTHCOTE ST;ABERDARE;2325;1012;M;20010510;20010629;75000;A;R;RESIDENCE;;GA;AC;;7751077;
C;001;1343;8;20011109 09:22;13/26/758002;
D;001;1343;8;20011109 09:22;P;;;;;;
D;001;1343;8;20011109 09:22;V;;;;;;
B;001;1465;9;20011109 09:22;;;;OAKEY CREEK RD;CESSNOCK;2325;4303;M;20010320;20010629;165000;A;V;VACANT LAND;;GT;AV;;7731820;
C;001;1465;9;20011109 09:22;21//270158;
D;001;1465;9;20011109 09:22;P;;;;;;
D;001;1465;9;20011109 09:22;V;;;;;;
B;001;1950;10;20011109 09:22;;;223;VINCENT ST;CESSNOCK;2325;2448;M;20010323;20010504;455000;B;R;RESIDENCE;;CC;BS;;7768203;
C;001;1950;10;20011109 09:22;10//788757;
D;001;1950;10;20011109 09:22;P;;;;;;
D;001;1950;10;20011109 09:22;P;;;;;;
D;001;1950;10;20011109 09:22;V;;;;;;
D;001;1950;10;20011109 09:22;V;;;;;;
B;001;2041;11;20011109 09:22;;;74;ARMIDALE ST;ABERMAIN;2326;943.2;M;20010606;20010629;95000;A;R;RESIDENCE;;HA;AC;;7797580;
C;001;2041;11;20011109 09:22;40//733177;
D;001;2041;11;20011109 09:22;P;;;;;;
D;001;2041;11;20011109 09:22;V;;;;;;
D;001;2041;11;20011109 09:22;V;;;;;;
B;001;2153;12;20011109 09:22;;;26;CHARLES ST;ABERMAIN;2326;404.7;M;20010223;20010406;48000;A;R;RESIDENCE;;HA;AC;;7749147;
C;001;2153;12;20011109 09:22;1//783128;
D;001;2153;12;20011109 09:22;P;;;;;;
D;001;2153;12;20011109 09:22;P;;;;;;
D;001;2153;12;20011109 09:22;V;;;;;;
B;001;2193;13;20011109 09:22;;;11;CHARLES ST;ABERMAIN;2326;404.7;M;20010514;20010702;82500;A;R;RESIDENCE;;HA;AC;;7742501;
C;001;2193;13;20011109 09:22;1//708887;
D;001;2193;13;20011109 09:22;P;;;;;;
D;001;2193;13;20011109 09:22;P;;;;;;
D;001;2193;13;20011109 09:22;V;;;;;;
B;001;2237;14;20011109 09:22;;;22;COOMA ST;ABERMAIN;2326;1012;M;20010529;20010718;90000;A;R;RESIDENCE;;HA;AC;;7799987;
C;001;2237;14;20011109 09:22;605//755231;
D;001;2237;14;20011109 09:22;P;;;;;;
D;001;2237;14;20011109 09:22;V;;;;;;
B;001;2289;15;20011109 09:22;;;25;ELIZABETH ST;ABERMAIN;2326;799.3;M;20010504;20010709;92000;A;R;RESIDENCE;;HA;AC;;7766180;
C;001;2289;15;20011109 09:22;1//198082;
D;001;2289;15;20011109 09:22;P;;;;;;
D;001;2289;15;20011109 09:22;P;;;;;;
D;001;2289;15;20011109 09:22;V;;;;;;
B;001;2386;16;20011109 09:22;;;21;HARLE ST;WESTON;2326;;;20010702;20010723;110000;A;R;RESIDENCE;;HA;AC;;7807085;
C;001;2386;16;20011109 09:22;15/E/4748;
D;001;2386;16;20011109 09:22;P;;;;;;
D;001;2386;16;20011109 09:22;P;;;;;;
D;001;2386;16;20011109 09:22;V;;;;;;
B;001;2404;17;20011109 09:22;;;63;HARLE ST;ABERMAIN;2326;;;20010606;20010723;35000;A;R;RESIDENCE;;HA;AC;;7808633;
C;001;2404;17;20011109 09:22;60/F/4748;
D;001;2404;17;20011109 09:22;P;;;;;;
D;001;2404;17;20011109 09:22;V;;;;;;
B;001;3554;18;20011109 09:22;;;72;KENDALL ST;BELLBIRD;2325;1012;M;20010516;20010627;130000;A;R;RESIDENCE;;GN;AC;;7751739;
C;001;3554;18;20011109 09:22;15/11/6821;
D;001;3554;18;20011109 09:22;P;;;;;;
D;001;3554;18;20011109 09:22;V;;;;;;
B;001;3703;19;20011109 09:22;;;107;MATHIESON ST;BELLBIRD HEIGHTS;2325;;;20010504;20010614;95000;A;R;RESIDENCE;;GN;AC;;7755620;
C;001;3703;19;20011109 09:22;72//12366;
D;001;3703;19;20011109 09:22;P;;;;;;
D;001;3703;19;20011109 09:22;V;;;;;;
D;001;3703;19;20011109 09:22;V;;;;;;
D;001;3703;19;20011109 09:22;V;;;;;;
D;001;3703;19;20011109 09:22;V;;;;;;
B;001;3786;20;20011109 09:22;;;36;PRINCE ST;BELLBIRD;2325;;;20010510;20010621;65000;A;R;RESIDENCE;;GN;AC;;7732779;
C;001;3786;20;20011109 09:22;8/E/7856;
D;001;3786;20;20011109 09:22;P;;;;;;
