A;004;20011109 09:26;CDIXON;
B;004;96262;1;20011109 09:26;;;39;GLADE ST;ARCADIA VALE;2283;771.4;M;20010312;20010423;167500;A;R;RESIDENCE;;ME;AC;;7636017;
C;004;96262;1;20011109 09:26;507//13129;
D;004;96262;1;20011109 09:26;P;;;;;;
D;004;96262;1;20011109 09:26;P;;;;;;
D;004;96262;1;20011109 09:26;V;;;;;;
B;004;96320;2;20011109 09:26;;;45;MACQUARIE ST;ARCADIA VALE;2283;;;20010606;20010724;220000;A;R;RESIDENCE;;ME;AC;;7805480;
C;004;96320;2;20011109 09:26;619//13129;
D;004;96320;2;20011109 09:26;P;;;;;;
D;004;96320;2;20011109 09:26;P;;;;;;
D;004;96320;2;20011109 09:26;V;;;;;;
D;004;96320;2;20011109 09:26;V;;;;;;
B;004;96331;3;20011109 09:26;;;67;MACQUARIE ST;ARCADIA VALE;2283;;;20010531;20010712;197000;A;R;RESIDENCE;;ME;AC;;7779966;
C;004;96331;3;20011109 09:26;630//13129;
D;004;96331;3;20011109 09:26;P;;;;;;
D;004;96331;3;20011109 09:26;P;;;;;;
D;004;96331;3;20011109 09:26;V;;;;;;
D;004;96331;3;20011109 09:26;V;;;;;;
B;004;96373;4;20011109 09:26;;;17;PARK ST;ARCADIA VALE;2283;632.3;M;20010604;20010629;90000;A;V;VACANT LAND;;ME;AV;;7740888;
C;004;96373;4;20011109 09:26;339//13129;
D;004;96373;4;20011109 09:26;P;;;;;;
D;004;96373;4;20011109 09:26;P;;;;;;
D;004;96373;4;20011109 09:26;V;;;;;;
B;004;96456;5;20011109 09:26;;;487;LAKE RD;ARGENTON;2284;;;20010315;20010509;90000;A;R;RESIDENCE;;CA;AC;;7764814;
C;004;96456;5;20011109 09:26;7/1/12348;
D;004;96456;5;20011109 09:26;P;;;;;;
D;004;96456;5;20011109 09:26;V;;;;;;
B;004;96690;6;20011109 09:26;;;91;MONTGOMERY ST;ARGENTON;2284;499.6;M;20010517;20010713;130000;A;R;RESIDENCE;;CB;AC;;7798830;
C;004;96690;6;20011109 09:26;13A/K/18577;
D;004;96690;6;20011109 09:26;P;;;;;;
D;004;96690;6;20011109 09:26;P;;;;;;
D;004;96690;6;20011109 09:26;V;;;;;;
D;004;96690;6;20011109 09:26;V;;;;;;
