A;005;20011109 09:23;CDIXON;
B;005;171975;1;20011109 09:23;;;361;ABERGLASSLYN RD;ABERGLASSLYN;2320;5812;M;20001222;20010706;90000;R;V;VACANT LAND;;DA;RV;;7801667;
C;005;171975;1;20011109 09:23;32//1004654;
D;005;171975;1;20011109 09:23;P;;;;;;
D;005;171975;1;20011109 09:23;P;;;;;;
D;005;171975;1;20011109 09:23;V;;;;;;
B;005;171986;2;20011109 09:23;;;297;ABERGLASSLYN RD;ABERGLASSLYN;2320;4499;M;20010523;20010705;90000;R;V;VACANT LAND;;LC;;;7767496;
C;005;171986;2;20011109 09:23;10//1016707;
D;005;171986;2;20011109 09:23;P;;;;;;
D;005;171986;2;20011109 09:23;P;;;;;;
D;005;171986;2;20011109 09:23;V;;;;;;
B;005;171992;3;20011109 09:23;;;265;ABERGLASSLYN RD;ABERGLASSLYN;2320;3947;M;20010508;20010621;93000;R;R;RESIDENCE;;LC;RV;;7806770;
C;005;171992;3;20011109 09:23;6//1016707;
D;005;171992;3;20011109 09:23;P;;;;;;
D;005;171992;3;20011109 09:23;P;;;;;;
D;005;171992;3;20011109 09:23;V;;;;;;
B;005;171995;4;20011109 09:23;;;231;ABERGLASSLYN RD;ABERGLASSLYN;2320;4095;M;20010224;20010326;90000;R;V;VACANT LAND;;LC;;;7769385;
C;005;171995;4;20011109 09:23;4//1016707;
D;005;171995;4;20011109 09:23;P;;;;;;
D;005;171995;4;20011109 09:23;P;;;;;;
D;005;171995;4;20011109 09:23;V;;;;;;
B;005;172199;5;20011109 09:23;;;21;ADAMS ST;MAITLAND;2320;954.8;M;20010517;20010629;195000;A;R;RESIDENCE;;EF;;;7750298;
C;005;172199;5;20011109 09:23;5/A/1333;
D;005;172199;5;20011109 09:23;P;;;;;;
D;005;172199;5;20011109 09:23;P;;;;;;
D;005;172199;5;20011109 09:23;V;;;;;;
D;005;172199;5;20011109 09:23;V;;;;;;
B;005;172312;6;20011109 09:23;;;1;ADELONG CL;RUTHERFORD;2320;800;M;20010608;20010713;52000;A;V;VACANT LAND;;EL;;;7793163;
C;005;172312;6;20011109 09:23;510//860039;
D;005;172312;6;20011109 09:23;P;;;;;;
D;005;172312;6;20011109 09:23;V;;;;;;
B;005;172457;7;20011109 09:23;;;3;ALLAN ST;LORN;2320;916.9;M;20010503;20010628;287000;A;R;RESIDENCE;;GB;;;7785204;
C;005;172457;7;20011109 09:23;113, 114//456844;
D;005;172457;7;20011109 09:23;P;;;;;;
D;005;172457;7;20011109 09:23;P;;;;;;
D;005;172457;7;20011109 09:23;V;;;;;;
B;005;172934;8;20011109 09:23;;;10;BAIRDS CL;RUTHERFORD;2320;731.2;M;20010509;20010627;49000;A;V;VACANT LAND;;EL;;;7773970;
C;005;172934;8;20011109 09:23;219//1001120;
D;005;172934;8;20011109 09:23;P;;;;;;
D;005;172934;8;20011109 09:23;P;;;;;;
D;005;172934;8;20011109 09:23;V;;;;;;
B;005;172955;9;20011109 09:23;;;42;BAKER DR;TENAMBIT;2323;691.9;M;20010522;20010626;221000;A;R;RESIDENCE;;HE;;;7760902;
C;005;172955;9;20011109 09:23;20//808422;
D;005;172955;9;20011109 09:23;P;;;;;;
D;005;172955;9;20011109 09:23;P;;;;;;
D;005;172955;9;20011109 09:23;V;;;;;;
B;005;172969;10;20011109 09:23;;;20;BAKER DR;TENAMBIT;2323;322.1;M;20010518;20010702;126000;A;R;RESIDENCE;;HE;;;7740770;
C;005;172969;10;20011109 09:23;90//835888;
D;005;172969;10;20011109 09:23;P;;;;;;
D;005;172969;10;20011109 09:23;V;;;;;;
D;005;172969;10;20011109 09:23;V;;;;;;
B;005;173020;11;20011109 09:23;;;35;BALLYDOYLE DR;ASHTONFIELD;2323;904.6;M;20010222;20010613;76000;A;V;VACANT LAND;;HA;;;7741876;
C;005;173020;11;20011109 09:23;1014//1005150;
D;005;173020;11;20011109 09:23;P;;;;;;
D;005;173020;11;20011109 09:23;V;;;;;;
B;005;173037;12;20011109 09:23;;;14;BALLYDOYLE DR;ASHTONFIELD;2323;923;M;20010524;20010625;74000;A;V;VACANT LAND;;HA;;;7743776;
C;005;173037;12;20011109 09:23;1034//1005150;
D;005;173037;12;20011109 09:23;P;;;;;;
D;005;173037;12;20011109 09:23;P;;;;;;
D;005;173037;12;20011109 09:23;V;;;;;;
B;005;173068;13;20011109 09:23;;;63;BANKS ST;EAST MAITLAND;2323;923.2;M;20010514;20010625;163000;A;R;RESIDENCE;;HG;;;7765604;
C;005;173068;13;20011109 09:23;1//505764;
D;005;173068;13;20011109 09:23;P;;;;;;
D;005;173068;13;20011109 09:23;V;;;;;;
B;005;173135;14;20011109 09:23;;;9;BARLOW CL;THORNTON;2322;557.6;M;20010607;20010712;152500;A;R;RESIDENCE;;GM;;;7771560;
C;005;173135;14;20011109 09:23;692//263110;
D;005;173135;14;20011109 09:23;P;;;;;;
D;005;173135;14;20011109 09:23;P;;;;;;
D;005;173135;14;20011109 09:23;V;;;;;;
D;005;173135;14;20011109 09:23;V;;;;;;
B;005;173444;15;20011109 09:23;;;10;BETULA AVE;LARGS;2320;843.4;M;20010228;20010625;218000;A;R;RESIDENCE;;GD;;;7731532;
C;005;173444;15;20011109 09:23;32//814684;
D;005;173444;15;20011109 09:23;P;;;;;;
D;005;173444;15;20011109 09:23;P;;;;;;
D;005;173444;15;20011109 09:23;V;;;;;;
B;005;173554;16;20011109 09:23;;;22;BLAKEWELL RD;THORNTON;2322;612;M;20010521;20010625;153000;A;R;RESIDENCE;;GM;;;7741874;
C;005;173554;16;20011109 09:23;880//719518;
D;005;173554;16;20011109 09:23;P;;;;;;
D;005;173554;16;20011109 09:23;P;;;;;;
D;005;173554;16;20011109 09:23;V;;;;;;
B;005;173599;17;20011109 09:23;;;82;BLIGH ST;TELARAH;2320;;;20010531;20010628;75000;A;R;RESIDENCE;;EA;;;7742105;
C;005;173599;17;20011109 09:23;10, 11/L/5763;
D;005;173599;17;20011109 09:23;P;;;;;;
D;005;173599;17;20011109 09:23;P;;;;;;
D;005;173599;17;20011109 09:23;V;;;;;;
B;005;173691;18;20011109 09:23;;;44;BOLWARRA RD;BOLWARRA;2320;1034;M;20010524;20010625;264950;A;R;RESIDENCE;;GC;;;7738343;
C;005;173691;18;20011109 09:23;4//787909;
D;005;173691;18;20011109 09:23;P;;;;;;
D;005;173691;18;20011109 09:23;P;;;;;;
D;005;173691;18;20011109 09:23;V;;;;;;
D;005;173691;18;20011109 09:23;V;;;;;;
B;005;173717;19;20011109 09:23;;;16;BONAR ST;MAITLAND;2320;537.5;M;20010501;20010626;135000;A;R;RESIDENCE;;EF;;;7771032;
C;005;173717;19;20011109 09:23;12//37290;
D;005;173717;19;20011109 09:23;P;;;;;;
D;005;173717;19;20011109 09:23;V;;;;;;
D;005;173717;19;20011109 09:23;V;;;;;;
B;005;173903;20;20011109 09:23;;;13;BRETON CL;TENAMBIT;2323;881.3;M;20010607;20010607;243000;A;R;RESIDENCE;;HE;;;7789839;
C;005;173903;20;20011109 09:23;19/117/249465;
D;005;173903;20;20011109 09:23;P;;;;;;
D;005;173903;20;20011109 09:23;P;;;;;;
D;005;173903;20;20011109 09:23;V;;;;;;
B;005;174064;21;20011109 09:23;;;5;BRISBANE ST;LORN;2320;;;20010504;20010619;320000;A;R;RESIDENCE;;GB;;;7786101;
C;005;174064;21;20011109 09:23;20/A/976486;
D;005;174064;21;20011109 09:23;P;;;;;;
D;005;174064;21;20011109 09:23;V;;;;;;
B;005;174108;22;20011109 09:23;;;12;BRONWYN ST;TELARAH;2320;;;20010612;20010710;75000;A;R;RESIDENCE;;EA;AC;;7801952;
C;005;174108;22;20011109 09:23;6/6/5183;
D;005;174108;22;20011109 09:23;P;;;;;;
D;005;174108;22;20011109 09:23;V;;;;;;
B;005;174143;23;20011109 09:23;;;101;BROOKS ST;RUTHERFORD;2320;575.4;M;20010614;20010713;102500;A;R;RESIDENCE;;EB;AC;;7804367;
C;005;174143;23;20011109 09:23;88//13259;
D;005;174143;23;20011109 09:23;P;;;;;;
D;005;174143;23;20011109 09:23;P;;;;;;
D;005;174143;23;20011109 09:23;V;;;;;;
B;005;174523;24;20011109 09:23;;;123;BUDGEREE DR;ABERGLASSLYN;2320;800;M;20010611;20010703;43500;A;R;RESIDENCE;;EL;;;7763015;
C;005;174523;24;20011109 09:23;229//1006543;
D;005;174523;24;20011109 09:23;P;;;;;;
D;005;174523;24;20011109 09:23;V;;;;;;
B;005;174524;25;20011109 09:23;;;121;BUDGEREE DR;ABERGLASSLYN;2320;800;M;20010509;20010622;43500;A;V;VACANT LAND;;EL;;;7734106;
C;005;174524;25;20011109 09:23;230//1006543;
D;005;174524;25;20011109 09:23;P;;;;;;
D;005;174524;25;20011109 09:23;P;;;;;;
D;005;174524;25;20011109 09:23;V;;;;;;
B;005;174705;26;20011109 09:23;;;49;BURG ST;EAST MAITLAND;2323;;;20010604;20010622;95000;A;R;RESIDENCE;;HG;;;7741727;
C;005;174705;26;20011109 09:23;1//506102;
D;005;174705;26;20011109 09:23;P;;;;;;
D;005;174705;26;20011109 09:23;P;;;;;;
D;005;174705;26;20011109 09:23;V;;;;;;
B;005;174904;27;20011109 09:23;;;6;CALLISTEMON CL;METFORD;2323;555;M;20010525;20010705;140000;A;R;RESIDENCE;;HB;;;7771464;
C;005;174904;27;20011109 09:23;313//834213;
D;005;174904;27;20011109 09:23;P;;;;;;
D;005;174904;27;20011109 09:23;P;;;;;;
D;005;174904;27;20011109 09:23;V;;;;;;
D;005;174904;27;20011109 09:23;V;;;;;;
B;005;174929;28;20011109 09:23;;;19;CAMILLA CL;WINDELLA;2320;5173;M;20010509;20010603;210000;R;R;RESIDENCE;;LD;;;7768696;
C;005;174929;28;20011109 09:23;79//718652;
D;005;174929;28;20011109 09:23;P;;;;;;
D;005;174929;28;20011109 09:23;P;;;;;;
D;005;174929;28;20011109 09:23;V;;;;;;
B;005;175078;29;20011109 09:23;;;4;CAPPER ST;RUTHERFORD;2320;556.4;M;20010531;20010713;105000;A;R;RESIDENCE;;EB;AC;;7802443;
C;005;175078;29;20011109 09:23;131//13259;
D;005;175078;29;20011109 09:23;P;;;;;;
D;005;175078;29;20011109 09:23;V;;;;;;
B;005;175146;30;20011109 09:23;;;25;CARLISLE PL;MORPETH;2321;794.7;M;20010330;20010702;250000;A;R;RESIDENCE;;GH;;;7755995;
C;005;175146;30;20011109 09:23;134//865219;
D;005;175146;30;20011109 09:23;P;;;;;;
D;005;175146;30;20011109 09:23;P;;;;;;
D;005;175146;30;20011109 09:23;V;;;;;;
D;005;175146;30;20011109 09:23;V;;;;;;
B;005;175158;31;20011109 09:23;;;1;CARLISLE AVE;MORPETH;2321;781.2;M;20010518;20010627;187000;A;R;RESIDENCE;;GH;;;7783963;
C;005;175158;31;20011109 09:23;146//865219;
D;005;175158;31;20011109 09:23;P;;;;;;
D;005;175158;31;20011109 09:23;P;;;;;;
D;005;175158;31;20011109 09:23;V;;;;;;
B;005;175324;32;20011109 09:23;;;10;CASUARINA CRES;METFORD;2323;468.2;M;20010605;20010625;40500;A;V;VACANT LAND;;HB;;;7778729;
C;005;175324;32;20011109 09:23;344//834213;
D;005;175324;32;20011109 09:23;P;;;;;;
D;005;175324;32;20011109 09:23;V;;;;;;
B;005;175326;33;20011109 09:23;;;14;CASUARINA CRES;METFORD;2323;468.7;M;20010529;20010620;40500;A;V;VACANT LAND;;HB;;;7736378;
C;005;175326;33;20011109 09:23;346//834213;
D;005;175326;33;20011109 09:23;P;;;;;;
D;005;175326;33;20011109 09:23;V;;;;;;
B;005;175384;34;20011109 09:23;;;;CATHERINE ST;MAITLAND;2320;238.7;M;20010420;20010524;116000;A;R;RESIDENCE;;EH;;;7732246;
C;005;175384;34;20011109 09:23;2//848386;
D;005;175384;34;20011109 09:23;P;;;;;;
D;005;175384;34;20011109 09:23;V;;;;;;
B;005;175732;35;20011109 09:23;;;42;CHELMSFORD DR;METFORD;2323;668.9;M;20010531;20010622;130000;A;R;RESIDENCE;;HB;;;7734441;
C;005;175732;35;20011109 09:23;160//243854;
D;005;175732;35;20011109 09:23;P;;;;;;
D;005;175732;35;20011109 09:23;P;;;;;;
D;005;175732;35;20011109 09:23;V;;;;;;
D;005;175732;35;20011109 09:23;V;;;;;;
B;005;175877;36;20011109 09:23;;;1;CHRISTINE CL;RUTHERFORD;2320;950.3;M;20010525;20010705;210000;A;R;RESIDENCE;;EL;;;7755686;
C;005;175877;36;20011109 09:23;48//809355;
D;005;175877;36;20011109 09:23;P;;;;;;
D;005;175877;36;20011109 09:23;P;;;;;;
D;005;175877;36;20011109 09:23;V;;;;;;
B;005;176092;37;20011109 09:23;;;26;CLIFT ST;MAITLAND;2320;;;20010514;20010627;95000;A;R;RESIDENCE;;EC;;;7738400;
C;005;176092;37;20011109 09:23;C//362226;
D;005;176092;37;20011109 09:23;P;;;;;;
D;005;176092;37;20011109 09:23;P;;;;;;
D;005;176092;37;20011109 09:23;V;;;;;;
D;005;176092;37;20011109 09:23;V;;;;;;
B;005;176132;38;20011109 09:23;;;24 A;CLOSE ST;MORPETH;2321;272.4;M;20010511;20010628;100000;A;R;RESIDENCE;;GH;;;7738123;
C;005;176132;38;20011109 09:23;101//862698;
D;005;176132;38;20011109 09:23;P;;;;;;
D;005;176132;38;20011109 09:23;V;;;;;;
B;005;176217;39;20011109 09:23;;;31;COBURN CIRCIUT;METFORD;2323;465.9;M;20010612;20010704;36000;A;V;VACANT LAND;;HB;;;7778366;
C;005;176217;39;20011109 09:23;8406//848936;
D;005;176217;39;20011109 09:23;P;;;;;;
D;005;176217;39;20011109 09:23;V;;;;;;
B;005;176218;40;20011109 09:23;;;33;COBURN CIRCIUT;METFORD;2323;459;M;20010531;20010620;36000;A;V;VACANT LAND;;HB;;;7727448;
C;005;176218;40;20011109 09:23;8407//848936;
D;005;176218;40;20011109 09:23;P;;;;;;
D;005;176218;40;20011109 09:23;V;;;;;;
B;005;176511;41;20011109 09:23;;;33;CRAWFORD AVE;TENAMBIT;2323;606.6;M;20010517;20010628;131000;A;R;RESIDENCE;;HE;;;7740709;
C;005;176511;41;20011109 09:23;43//259021;
D;005;176511;41;20011109 09:23;P;;;;;;
D;005;176511;41;20011109 09:23;P;;;;;;
D;005;176511;41;20011109 09:23;V;;;;;;
B;005;176616;42;20011109 09:23;;5;28;CUMBERLAND ST;EAST MAITLAND;2323;;;20010323;20010511;65000;;R;RESIDENCE;5;;;;7736823;
C;005;176616;42;20011109 09:23;5//18468;
D;005;176616;42;20011109 09:23;P;;;;;;
D;005;176616;42;20011109 09:23;P;;;;;;
D;005;176616;42;20011109 09:23;V;;;;;;
B;005;176663;43;20011109 09:23;;;23;CURLEW CRES;WOODBERRY;2322;461.6;M;20010607;20010718;112000;A;R;RESIDENCE;;GP;;;7794716;
C;005;176663;43;20011109 09:23;196//241302;
D;005;176663;43;20011109 09:23;P;;;;;;
D;005;176663;43;20011109 09:23;V;;;;;;
B;005;176793;44;20011109 09:23;;;14;CYPRESS GR;ABERGLASSLYN;2320;4024;M;20010522;20010705;108000;R;R;RESIDENCE;;LC;;;7756618;
C;005;176793;44;20011109 09:23;203//841523;
D;005;176793;44;20011109 09:23;P;;;;;;
D;005;176793;44;20011109 09:23;P;;;;;;
D;005;176793;44;20011109 09:23;V;;;;;;
D;005;176793;44;20011109 09:23;V;;;;;;
B;005;176846;45;20011109 09:23;;;25;DALWOOD ST;WOODBERRY;2322;537.5;M;20010530;20010725;87750;A;R;RESIDENCE;;GP;AC;;7812499;
C;005;176846;45;20011109 09:23;13//237230;
D;005;176846;45;20011109 09:23;P;;;;;;
D;005;176846;45;20011109 09:23;V;;;;;;
B;005;176927;46;20011109 09:23;;9;27;DAY ST;EAST MAITLAND;2323;;;20010516;20010713;95000;;R;RESIDENCE;9;;;;7785077;
C;005;176927;46;20011109 09:23;9//SP 44231;
D;005;176927;46;20011109 09:23;P;;;;;;
D;005;176927;46;20011109 09:23;V;;;;;;
D;005;176927;46;20011109 09:23;V;;;;;;
B;005;176964;47;20011109 09:23;;;23;DEE ST;RUTHERFORD;2320;978.8;M;20010410;20010522;145000;A;R;RESIDENCE;;EB;;;7732096;
C;005;176964;47;20011109 09:23;3//13259 B//378685;
D;005;176964;47;20011109 09:23;P;;;;;;
D;005;176964;47;20011109 09:23;P;;;;;;
D;005;176964;47;20011109 09:23;V;;;;;;
B;005;177029;48;20011109 09:23;;;16;DENMAN ST;MAITLAND;2320;316.2;M;20010508;20010619;75000;A;R;RESIDENCE;;EH;;;7731014;
C;005;177029;48;20011109 09:23;6//447838;
D;005;177029;48;20011109 09:23;P;;;;;;
D;005;177029;48;20011109 09:23;P;;;;;;
D;005;177029;48;20011109 09:23;V;;;;;;
B;005;177097;49;20011109 09:23;;;136;DENTON PARK DR;RUTHERFORD;2320;587.1;M;20010404;20010504;194000;A;R;RESIDENCE;;EL;;;7760924;
C;005;177097;49;20011109 09:23;335//831949;
D;005;177097;49;20011109 09:23;P;;;;;;
D;005;177097;49;20011109 09:23;P;;;;;;
D;005;177097;49;20011109 09:23;V;;;;;;
B;005;177135;50;20011109 09:23;;;54;DENTON PARK DR;RUTHERFORD;2320;690.7;M;20010523;20010718;48000;A;V;VACANT LAND;;EL;;;7796437;
C;005;177135;50;20011109 09:23;902//862776;
D;005;177135;50;20011109 09:23;P;;;;;;
D;005;177135;50;20011109 09:23;P;;;;;;
D;005;177135;50;20011109 09:23;V;;;;;;
B;005;177186;51;20011109 09:23;;;69;DENTON PARK DR;RUTHERFORD;2320;720.8;M;20010502;20010629;147500;A;R;RESIDENCE;;EL;;;7777588;
C;005;177186;51;20011109 09:23;932//862777;
D;005;177186;51;20011109 09:23;P;;;;;;
D;005;177186;51;20011109 09:23;P;;;;;;
D;005;177186;51;20011109 09:23;V;;;;;;
B;005;177276;52;20011109 09:23;;;3;DINTER CL;EAST MAITLAND;2323;588.6;M;20010608;20010709;127000;A;R;RESIDENCE;;HE;;;7779560;
C;005;177276;52;20011109 09:23;22//599732;
D;005;177276;52;20011109 09:23;P;;;;;;
D;005;177276;52;20011109 09:23;P;;;;;;
D;005;177276;52;20011109 09:23;V;;;;;;
B;005;177364;53;20011109 09:23;;;40;DRUMMOND AVE;LARGS;2320;1100;M;20010531;20010711;72000;A;V;VACANT LAND;;GD;;;7774237;
C;005;177364;53;20011109 09:23;310//1007445;
D;005;177364;53;20011109 09:23;P;;;;;;
D;005;177364;53;20011109 09:23;P;;;;;;
D;005;177364;53;20011109 09:23;V;;;;;;
B;005;177772;54;20011109 09:23;;;61;EDWARDS AVE;THORNTON;2322;631.5;M;20001218;20010709;60000;A;V;VACANT LAND;;GF;;;7781923;
C;005;177772;54;20011109 09:23;6114//876513;
D;005;177772;54;20011109 09:23;P;;;;;;
D;005;177772;54;20011109 09:23;V;;;;;;
B;005;177772;55;20011109 09:23;;;61;EDWARDS AVE;THORNTON;2322;631.5;M;20010528;20010709;230000;A;R;RESIDENCE;;GF;;;7781924;
C;005;177772;55;20011109 09:23;6114//876513;
D;005;177772;55;20011109 09:23;P;;;;;;
D;005;177772;55;20011109 09:23;V;;;;;;
B;005;177938;56;20011109 09:23;;;36;ENDEAVOUR ST;RUTHERFORD;2320;638.5;M;20010705;20010713;139000;A;R;RESIDENCE;;EC;;;7782637;
C;005;177938;56;20011109 09:23;148//249673;
D;005;177938;56;20011109 09:23;P;;;;;;
D;005;177938;56;20011109 09:23;V;;;;;;
B;005;178003;57;20011109 09:23;;;42;EUCALYPTUS CRES;METFORD;2323;565.7;M;20010514;20010608;105000;A;R;RESIDENCE;;HB;;;7734442;
C;005;178003;57;20011109 09:23;2150//804582;
D;005;178003;57;20011109 09:23;P;;;;;;
D;005;178003;57;20011109 09:23;P;;;;;;
D;005;178003;57;20011109 09:23;V;;;;;;
D;005;178003;57;20011109 09:23;V;;;;;;
B;005;178019;58;20011109 09:23;;;15;EUCALYPTUS CRES;METFORD;2323;598.8;M;20010516;20010620;115500;A;R;RESIDENCE;;HB;;;7738101;
C;005;178019;58;20011109 09:23;2132//804582;
D;005;178019;58;20011109 09:23;P;;;;;;
D;005;178019;58;20011109 09:23;V;;;;;;
B;005;178157;59;20011109 09:23;;;11;EVELYN CRES;THORNTON;2322;581.6;M;20010131;20010223;87450;A;R;RESIDENCE;;GM;;;7733668;
C;005;178157;59;20011109 09:23;421//260916;
D;005;178157;59;20011109 09:23;P;;;;;;
D;005;178157;59;20011109 09:23;P;;;;;;
D;005;178157;59;20011109 09:23;V;;;;;;
D;005;178157;59;20011109 09:23;V;;;;;;
B;005;178191;60;20011109 09:23;;;11;FAHEY ST;RUTHERFORD;2320;727.2;M;20010420;20010514;136000;A;R;RESIDENCE;;EB;;;7758829;
C;005;178191;60;20011109 09:23;11//235661;
D;005;178191;60;20011109 09:23;P;;;;;;
D;005;178191;60;20011109 09:23;P;;;;;;
D;005;178191;60;20011109 09:23;V;;;;;;
