A;003;20011109 09:40;CDIXON;
B;003;25266;1;20011109 09:40;;;6;ABELIA PL;UMINA;2257;486.9;M;20010516;20010621;235000;A;R;RESIDENCE;;GG;;;7770987;
C;003;25266;1;20011109 09:40;162//241876;
D;003;25266;1;20011109 09:40;P;;;;;;
D;003;25266;1;20011109 09:40;V;;;;;;
B;003;25302;2;20011109 09:40;;;9;ADAM ST;NARARA;2250;537.5;M;20010511;20010629;190000;A;R;RESIDENCE;;GK;;;7777411;
C;003;25302;2;20011109 09:40;19//230193;
D;003;25302;2;20011109 09:40;P;;;;;;
D;003;25302;2;20011109 09:40;P;;;;;;
D;003;25302;2;20011109 09:40;V;;;;;;
B;003;25335;3;20011109 09:40;;;80;ADELAIDE AVE;UMINA;2257;708.2;M;20010625;20010703;215000;A;R;RESIDENCE;;FU;;;7811994;
C;003;25335;3;20011109 09:40;288A//417446;
D;003;25335;3;20011109 09:40;P;;;;;;
D;003;25335;3;20011109 09:40;V;;;;;;
D;003;25335;3;20011109 09:40;V;;;;;;
B;003;25549;4;20011109 09:40;;;7;AIRLY RD;UMINA;2257;632.3;M;20000630;20010629;200000;A;R;RESIDENCE;;GG;;;7737965;
C;003;25549;4;20011109 09:40;189//10633;
D;003;25549;4;20011109 09:40;P;;;;;;
D;003;25549;4;20011109 09:40;V;;;;;;
B;003;25626;5;20011109 09:40;;;48;ALAN ST;NIAGARA PARK;2250;952;M;20010525;20010706;255000;A;R;RESIDENCE;;GK;;;7749551;
C;003;25626;5;20011109 09:40;20//264500;
D;003;25626;5;20011109 09:40;P;;;;;;
D;003;25626;5;20011109 09:40;V;;;;;;
D;003;25626;5;20011109 09:40;V;;;;;;
B;003;25655;6;20011109 09:40;;;19;ALANNA ST;TERRIGAL;2260;581.7;M;20010520;20010627;345000;A;R;RESIDENCE;;FQ;;;7774491;
C;003;25655;6;20011109 09:40;11//237777;
D;003;25655;6;20011109 09:40;P;;;;;;
D;003;25655;6;20011109 09:40;V;;;;;;
B;003;25771;7;20011109 09:40;;;90;ALBANY ST;POINT FREDERICK;2250;853.6;M;20010427;20010620;420000;A;R;RESIDENCE;;GH;;;7799198;
C;003;25771;7;20011109 09:40;14//10778;
