A;010;20011109 09:23;CDIXON;
B;010;262631;1;20011109 09:24;;;;DURHAM GR;WALLALONG;2320;8266;M;20010514;20010619;90000;R;V;VACANT LAND;;RA;RV;;7754834;
C;010;262631;1;20011109 09:24;412//1001315;
D;010;262631;1;20011109 09:24;P;;;;;;
D;010;262631;1;20011109 09:24;P;;;;;;
D;010;262631;1;20011109 09:24;V;;;;;;
B;010;262745;2;20011109 09:24;;;;MORPETH VIEWS;WALLALONG;2320;4100;M;20010509;20010613;79000;A;V;VACANT LAND;;HX;AV;;7762909;
C;010;262745;2;20011109 09:24;15//1006527;
D;010;262745;2;20011109 09:24;P;;;;;;
D;010;262745;2;20011109 09:24;P;;;;;;
D;010;262745;2;20011109 09:24;V;;;;;;
B;010;263092;3;20011109 09:24;;;50;CAMPBELL AVE;ANNA BAY;2316;885.2;M;20010316;20010504;189000;A;R;RESIDENCE;;GC;AC;;7731341;
C;010;263092;3;20011109 09:24;297//13134;
D;010;263092;3;20011109 09:24;P;;;;;;
D;010;263092;3;20011109 09:24;P;;;;;;
D;010;263092;3;20011109 09:24;V;;;;;;
B;010;263121;4;20011109 09:24;;;63;CAMPBELL AVE;ANNA BAY;2316;347.3;M;20010328;20010525;128000;A;R;RESIDENCE;;GC;AC;;7802472;
C;010;263121;4;20011109 09:24;5042//1012709;
D;010;263121;4;20011109 09:24;P;;;;;;
D;010;263121;4;20011109 09:24;V;;;;;;
B;010;263153;5;20011109 09:24;;7;3 A;CAMPBELL AVE;ANNA BAY;2316;;;20010620;20010718;178500;;3;TOWN HOUSE;7;;;;7797779;
C;010;263153;5;20011109 09:24;7//SP 53166;
D;010;263153;5;20011109 09:24;P;;;;;;
D;010;263153;5;20011109 09:24;V;;;;;;
B;010;263889;6;20011109 09:24;;;167;OLD MAIN RD;ANNA BAY;2316;603.5;M;20010522;20010622;107500;A;V;VACANT LAND;;GC;AV;;7738091;
C;010;263889;6;20011109 09:24;1//1007826;
D;010;263889;6;20011109 09:24;P;;;;;;
D;010;263889;6;20011109 09:24;P;;;;;;
D;010;263889;6;20011109 09:24;V;;;;;;
D;010;263889;6;20011109 09:24;V;;;;;;
B;010;264078;7;20011109 09:24;;;76;BLANCH ST;BOAT HARBOUR;2316;648.25;M;20010604;20010717;95000;A;R;RESIDENCE;;GA;;;7795749;
C;010;264078;7;20011109 09:24;3//864564;
D;010;264078;7;20011109 09:24;P;;;;;;
D;010;264078;7;20011109 09:24;P;;;;;;
D;010;264078;7;20011109 09:24;V;;;;;;
D;010;264078;7;20011109 09:24;V;;;;;;
B;010;264173;8;20011109 09:24;;;5;CASTAWAY CL;BOAT HARBOUR;2316;6137;M;20010514;20010626;198000;R;V;VACANT LAND;;RW;RV;;7768394;
C;010;264173;8;20011109 09:24;3//1015409;
D;010;264173;8;20011109 09:24;P;;;;;;
D;010;264173;8;20011109 09:24;P;;;;;;
D;010;264173;8;20011109 09:24;V;;;;;;
B;010;264269;9;20011109 09:24;;;28;HAWKES WAY;BOAT HARBOUR;2316;677.9;M;20010612;20010711;238000;A;R;RESIDENCE;;GA;AC;;7800773;
C;010;264269;9;20011109 09:24;57//846545;
D;010;264269;9;20011109 09:24;P;;;;;;
D;010;264269;9;20011109 09:24;P;;;;;;
D;010;264269;9;20011109 09:24;V;;;;;;
B;010;264598;10;20011109 09:24;;;27;BARRINGUM CL;MEDOWIE;2318;726.9;M;20010511;20010629;46000;A;V;VACANT LAND;;HM;AV;;7771401;
C;010;264598;10;20011109 09:24;49//815722;
D;010;264598;10;20011109 09:24;P;;;;;;
D;010;264598;10;20011109 09:24;P;;;;;;
D;010;264598;10;20011109 09:24;V;;;;;;
D;010;264598;10;20011109 09:24;V;;;;;;
B;010;264688;11;20011109 09:24;;;29;BOTTLE BRUSH AVE;MEDOWIE;2318;;;20010409;20010628;98000;A;R;RESIDENCE;;HM;AC;;7750288;
C;010;264688;11;20011109 09:24;45//239682;
D;010;264688;11;20011109 09:24;P;;;;;;
D;010;264688;11;20011109 09:24;P;;;;;;
D;010;264688;11;20011109 09:24;V;;;;;;
D;010;264688;11;20011109 09:24;V;;;;;;
B;010;264814;12;20011109 09:24;;;39;BRUSH BOX AVE;MEDOWIE;2318;634;M;20010510;20010618;112000;A;R;RESIDENCE;;HM;AC;;7767242;
C;010;264814;12;20011109 09:24;43//264064;
D;010;264814;12;20011109 09:24;P;;;;;;
D;010;264814;12;20011109 09:24;V;;;;;;
D;010;264814;12;20011109 09:24;V;;;;;;
B;010;264823;13;20011109 09:24;;;34;BRUSH BOX AVE;MEDOWIE;2318;624.5;M;20010531;20010705;120000;A;R;RESIDENCE;;HM;AC;;7764205;
C;010;264823;13;20011109 09:24;39//264064;
D;010;264823;13;20011109 09:24;P;;;;;;
D;010;264823;13;20011109 09:24;V;;;;;;
D;010;264823;13;20011109 09:24;V;;;;;;
B;010;264870;14;20011109 09:24;;;27;CASUARINA AVE;MEDOWIE;2318;737.7;M;20010523;20010621;125000;A;R;RESIDENCE;;HM;AC;;7759341;
C;010;264870;14;20011109 09:24;298//246837;
D;010;264870;14;20011109 09:24;P;;;;;;
D;010;264870;14;20011109 09:24;P;;;;;;
D;010;264870;14;20011109 09:24;V;;;;;;
B;010;265134;15;20011109 09:24;;;5;CORAL AVE;MEDOWIE;2318;912.5;M;20010612;20010706;134000;A;R;RESIDENCE;;HM;AC;;7752365;
C;010;265134;15;20011109 09:24;321//246837;
D;010;265134;15;20011109 09:24;P;;;;;;
D;010;265134;15;20011109 09:24;V;;;;;;
D;010;265134;15;20011109 09:24;V;;;;;;
B;010;265218;16;20011109 09:24;;;3;DANGAR CRC;MEDOWIE;2318;775.7;M;20010530;20010706;36000;A;V;VACANT LAND;;HM;AV;;7752280;
C;010;265218;16;20011109 09:24;132//882638;
D;010;265218;16;20011109 09:24;P;;;;;;
D;010;265218;16;20011109 09:24;P;;;;;;
D;010;265218;16;20011109 09:24;V;;;;;;
B;010;265265;17;20011109 09:24;;;4;EAGLE CL;MEDOWIE;2318;2162;M;20010517;20010629;81000;R;V;VACANT LAND;;YA;RV;;7792602;
C;010;265265;17;20011109 09:24;119//1014528;
D;010;265265;17;20011109 09:24;P;;;;;;
D;010;265265;17;20011109 09:24;P;;;;;;
D;010;265265;17;20011109 09:24;V;;;;;;
