A;002;20011109 09:53;CDIXON;
B;002;21093;1;20011109 09:53;;;127;QUEEN ST;CLARENCE TOWN;2321;1151;M;20010528;20010629;125000;A;R;RESIDENCE;;AC;AC;;7764113;
C;002;21093;1;20011109 09:53;2//775022;
D;002;21093;1;20011109 09:53;P;;;;;;
D;002;21093;1;20011109 09:53;P;;;;;;
D;002;21093;1;20011109 09:53;V;;;;;;
D;002;21093;1;20011109 09:53;V;;;;;;
D;002;21093;1;20011109 09:53;V;;;;;;
B;002;21373;2;20011109 09:53;;;8;CARLTON AVE;DUNGOG;2420;1024;M;20010601;20010629;157000;A;R;RESIDENCE;;AD;AC;;7747365;
C;002;21373;2;20011109 09:53;6//22750;
D;002;21373;2;20011109 09:53;P;;;;;;
D;002;21373;2;20011109 09:53;P;;;;;;
D;002;21373;2;20011109 09:53;V;;;;;;
B;002;21974;3;20011109 09:53;;;;MACKAY ST;DUNGOG;2420;1.323;H;20010404;20010629;250000;R;R;RESIDENCE;;RT;RR;;7773373;
C;002;21974;3;20011109 09:53;186//752457;
D;002;21974;3;20011109 09:53;P;;;;;;
D;002;21974;3;20011109 09:53;P;;;;;;
D;002;21974;3;20011109 09:53;V;;;;;;
B;002;22074;4;20011109 09:53;;;;MOORE ST;DUNGOG;2420;766.4;M;20010509;20010613;16000;A;V;VACANT LAND;;AD;AV;;7726759;
C;002;22074;4;20011109 09:53;7//262544;
D;002;22074;4;20011109 09:53;P;;;;;;
D;002;22074;4;20011109 09:53;V;;;;;;
D;002;22074;4;20011109 09:53;V;;;;;;
B;002;22218;5;20011109 09:53;;;;WADE ST;DUNGOG;2420;2.007;H;20010215;20010315;250000;R;R;RESIDENCE;;RT;RR;;7738508;
C;002;22218;5;20011109 09:53;15//806666;
D;002;22218;5;20011109 09:53;P;;;;;;
D;002;22218;5;20011109 09:53;P;;;;;;
D;002;22218;5;20011109 09:53;V;;;;;;
B;002;22295;6;20011109 09:53;;;7;GEORGE ST;PATERSON;2421;952.1;M;20010608;20010713;117500;A;R;RESIDENCE;;AP;AC;;7809751;
C;002;22295;6;20011109 09:53;42//732972;
D;002;22295;6;20011109 09:53;P;;;;;;
D;002;22295;6;20011109 09:53;P;;;;;;
D;002;22295;6;20011109 09:53;P;;;;;;
D;002;22295;6;20011109 09:53;P;;;;;;
D;002;22295;6;20011109 09:53;V;;;;;;
