A;012;20011109 09:31;CDIXON;
B;012;296060;1;20011109 09:31;;;6;ACACIA CCT;HUNTERVIEW;2330;706;M;20010522;20010629;165500;A;R;RESIDENCE;;AV;AC;;7771339;
C;012;296060;1;20011109 09:31;1003//633756;
D;012;296060;1;20011109 09:31;P;;;;;;
D;012;296060;1;20011109 09:31;V;;;;;;
B;012;296061;2;20011109 09:31;;;4;ACACIA CCT;HUNTERVIEW;2330;692;M;20010523;20010620;118000;A;R;RESIDENCE;;AV;AC;;7778426;
C;012;296061;2;20011109 09:31;1002//633756;
D;012;296061;2;20011109 09:31;P;;;;;;
D;012;296061;2;20011109 09:31;P;;;;;;
D;012;296061;2;20011109 09:31;V;;;;;;
D;012;296061;2;20011109 09:31;V;;;;;;
B;012;296172;3;20011109 09:31;;;21;ANDREW ST;SINGLETON;2330;760.2;M;20010523;20010626;105000;A;R;RESIDENCE;;AH;AC;;7780926;
C;012;296172;3;20011109 09:31;1//195500;
D;012;296172;3;20011109 09:31;P;;;;;;
D;012;296172;3;20011109 09:31;V;;;;;;
B;012;296471;4;20011109 09:31;;;5;BERRY PL;SINGLETON HEIGHTS;2330;1348;M;20010620;20010717;276300;A;R;RESIDENCE;;AA;AC;;7813631;
C;012;296471;4;20011109 09:31;1620//862153;
D;012;296471;4;20011109 09:31;P;;;;;;
D;012;296471;4;20011109 09:31;V;;;;;;
D;012;296471;4;20011109 09:31;V;;;;;;
B;012;296473;5;20011109 09:31;;;7;BERRY PL;SINGLETON HEIGHTS;2330;1061;M;20010607;20010719;227000;A;R;RESIDENCE;;AA;AC;;7791238;
C;012;296473;5;20011109 09:31;1618//862153;
D;012;296473;5;20011109 09:31;P;;;;;;
D;012;296473;5;20011109 09:31;V;;;;;;
D;012;296473;5;20011109 09:31;V;;;;;;
B;012;296699;6;20011109 09:31;;5;11;BOONAL ST;SINGLETON;2330;;;20010626;20010713;62500;;R;RESIDENCE;5;;;;7786665;
C;012;296699;6;20011109 09:31;5//19434;
D;012;296699;6;20011109 09:31;P;;;;;;
D;012;296699;6;20011109 09:31;V;;;;;;
B;012;297388;7;20011109 09:31;;;34;CHURCH ST;SINGLETON;2330;733.5;M;20010614;20010726;136000;A;R;RESIDENCE;;AH;AC;;7809497;
C;012;297388;7;20011109 09:31;36//38404;
D;012;297388;7;20011109 09:31;P;;;;;;
D;012;297388;7;20011109 09:31;P;;;;;;
D;012;297388;7;20011109 09:31;V;;;;;;
B;012;297489;8;20011109 09:31;;;16;CRANSTON - WEST AVE;REDBOURNBERRY;2330;834.7;M;20010528;20010702;181500;A;R;RESIDENCE;;AL;AC;;7803180;
C;012;297489;8;20011109 09:31;29//243597;
D;012;297489;8;20011109 09:31;P;;;;;;
D;012;297489;8;20011109 09:31;P;;;;;;
D;012;297489;8;20011109 09:31;V;;;;;;
D;012;297489;8;20011109 09:31;V;;;;;;
B;012;297543;9;20011109 09:31;;;20;CUNNINGHAM PDE;SINGLETON HEIGHTS;2330;745.5;M;20010522;20010619;158500;A;R;RESIDENCE;;AA;AC;;7734299;
C;012;297543;9;20011109 09:31;117//253252;
D;012;297543;9;20011109 09:31;P;;;;;;
D;012;297543;9;20011109 09:31;P;;;;;;
D;012;297543;9;20011109 09:31;V;;;;;;
D;012;297543;9;20011109 09:31;V;;;;;;
B;012;297547;10;20011109 09:31;;;10;FOREST AVE;SINGLETON HEIGHTS;2330;678;M;20010409;20010530;118000;A;R;RESIDENCE;;AA;AC;;7751070;
C;012;297547;10;20011109 09:31;127//253252;
D;012;297547;10;20011109 09:31;P;;;;;;
D;012;297547;10;20011109 09:31;V;;;;;;
B;012;297550;11;20011109 09:31;;;4;CUNNINGHAM PDE;SINGLETON HEIGHTS;2330;675.1;M;20010515;20010614;174000;A;R;RESIDENCE;;AA;AC;;7753392;
C;012;297550;11;20011109 09:31;143//253252;
D;012;297550;11;20011109 09:31;P;;;;;;
D;012;297550;11;20011109 09:31;P;;;;;;
D;012;297550;11;20011109 09:31;V;;;;;;
B;012;297768;12;20011109 09:31;;;26;DOMINION AVE;HUNTERVIEW;2330;1000;M;20010530;20010711;50000;A;V;VACANT LAND;;AV;AC;;7773388;
C;012;297768;12;20011109 09:31;314//1001495;
D;012;297768;12;20011109 09:31;P;;;;;;
D;012;297768;12;20011109 09:31;V;;;;;;
B;012;297769;13;20011109 09:31;;;24;DOMINION AVE;HUNTERVIEW;2330;1001;M;20010319;20010523;45000;A;V;VACANT LAND;;AV;AV;;7795996;
C;012;297769;13;20011109 09:31;315//1001495;
D;012;297769;13;20011109 09:31;P;;;;;;
D;012;297769;13;20011109 09:31;P;;;;;;
D;012;297769;13;20011109 09:31;V;;;;;;
B;012;297954;14;20011109 09:31;;;18;ENTERPRISE CRES;SINGLETON;2330;3898;M;20010606;20010711;48000;I;V;VACANT LAND;;FM;IV;;7782026;
C;012;297954;14;20011109 09:31;407//879464;
D;012;297954;14;20011109 09:31;P;;;;;;
D;012;297954;14;20011109 09:31;P;;;;;;
D;012;297954;14;20011109 09:31;V;;;;;;
D;012;297954;14;20011109 09:31;V;;;;;;
B;012;298093;15;20011109 09:31;;;38;GARDNER CCT;SINGLETON HEIGHTS;2330;1077;M;20010615;20010705;175000;A;R;RESIDENCE;;AA;AC;;7766184;
C;012;298093;15;20011109 09:31;853//262536;
D;012;298093;15;20011109 09:31;P;;;;;;
D;012;298093;15;20011109 09:31;P;;;;;;
D;012;298093;15;20011109 09:31;V;;;;;;
B;012;298100;16;20011109 09:31;;;58;GARDNER CCT;SINGLETON HEIGHTS;2330;765;M;20010504;20010613;245000;A;R;RESIDENCE;;AA;AC;;7743605;
C;012;298100;16;20011109 09:31;923//263524;
D;012;298100;16;20011109 09:31;P;;;;;;
D;012;298100;16;20011109 09:31;V;;;;;;
B;012;298158;17;20011109 09:31;;;127;GARDNER CCT;SINGLETON HEIGHTS;2330;755.3;M;20010601;20010706;190000;A;R;RESIDENCE;;AA;AC;;7805759;
C;012;298158;17;20011109 09:31;202//817181;
D;012;298158;17;20011109 09:31;P;;;;;;
D;012;298158;17;20011109 09:31;P;;;;;;
D;012;298158;17;20011109 09:31;V;;;;;;
D;012;298158;17;20011109 09:31;V;;;;;;
B;012;298244;18;20011109 09:31;;;3;GENTLE CL;HUNTERVIEW;2330;1146;M;20010515;20010625;235000;A;R;RESIDENCE;;AV;AC;;7755038;
C;012;298244;18;20011109 09:31;217//864381;
D;012;298244;18;20011109 09:31;P;;;;;;
D;012;298244;18;20011109 09:31;V;;;;;;
D;012;298244;18;20011109 09:31;V;;;;;;
B;012;298432;19;20011109 09:31;;;5;GOULD CL;HUNTERVIEW;2330;1014;M;20010525;20010706;230000;A;R;RESIDENCE;;AV;AC;;7802430;
C;012;298432;19;20011109 09:31;25//851164;
D;012;298432;19;20011109 09:31;P;;;;;;
D;012;298432;19;20011109 09:31;P;;;;;;
D;012;298432;19;20011109 09:31;V;;;;;;
B;012;298517;20;20011109 09:31;;;13;HALLETT PL;DARLINGTON;2330;936;M;20010515;20010626;160000;A;R;RESIDENCE;;AD;AC;;7766556;
C;012;298517;20;20011109 09:31;342//260388;
D;012;298517;20;20011109 09:31;P;;;;;;
D;012;298517;20;20011109 09:31;P;;;;;;
D;012;298517;20;20011109 09:31;V;;;;;;
B;012;298590;21;20011109 09:31;;;7;HEATHER PL;SINGLETON HEIGHTS;2330;986;M;20010419;20010525;145000;A;R;RESIDENCE;;AA;AC;;7800735;
C;012;298590;21;20011109 09:31;1//825019;
D;012;298590;21;20011109 09:31;P;;;;;;
D;012;298590;21;20011109 09:31;P;;;;;;
D;012;298590;21;20011109 09:31;V;;;;;;
B;012;298848;22;20011109 09:32;;;7;JASON CL;HUNTERVIEW;2330;786.3;M;20010613;20010629;127000;A;R;RESIDENCE;;AV;AC;;7753962;
C;012;298848;22;20011109 09:32;212//827411;
D;012;298848;22;20011109 09:32;P;;;;;;
D;012;298848;22;20011109 09:32;P;;;;;;
D;012;298848;22;20011109 09:32;V;;;;;;
B;012;299026;23;20011109 09:32;;1;14;KELSO ST;SINGLETON;2330;;;20010612;20010717;79000;;R;RESIDENCE;1;;;;7792635;
C;012;299026;23;20011109 09:32;1//18250;
D;012;299026;23;20011109 09:32;P;;;;;;
D;012;299026;23;20011109 09:32;P;;;;;;
D;012;299026;23;20011109 09:32;V;;;;;;
B;012;299209;24;20011109 09:32;;;48;LACHLAN AVE;SINGLETON HEIGHTS;2330;755.3;M;20010530;20010711;117500;A;R;RESIDENCE;;AA;AC;;7777676;
C;012;299209;24;20011109 09:32;13//739201;
D;012;299209;24;20011109 09:32;P;;;;;;
D;012;299209;24;20011109 09:32;V;;;;;;
B;012;299267;25;20011109 09:32;;;11;LACHLAN AVE;SINGLETON HEIGHTS;2330;1209;M;20010503;20010622;109000;A;R;RESIDENCE;;AA;AC;;7733771;
C;012;299267;25;20011109 09:32;517//261606;
D;012;299267;25;20011109 09:32;P;;;;;;
D;012;299267;25;20011109 09:32;P;;;;;;
D;012;299267;25;20011109 09:32;V;;;;;;
B;012;299318;26;20011109 09:32;;;72;LAWSON AVE;SINGLETON HEIGHTS;2330;663.9;M;20010615;20010716;129000;A;R;RESIDENCE;;AG;AC;;7791261;
C;012;299318;26;20011109 09:32;111//241680;
D;012;299318;26;20011109 09:32;P;;;;;;
D;012;299318;26;20011109 09:32;P;;;;;;
D;012;299318;26;20011109 09:32;V;;;;;;
B;012;299325;27;20011109 09:32;;;86;LAWSON AVE;SINGLETON HEIGHTS;2330;720.8;M;20010601;20010706;156000;A;R;RESIDENCE;;AG;AC;;7762790;
C;012;299325;27;20011109 09:32;118//241680;
D;012;299325;27;20011109 09:32;P;;;;;;
D;012;299325;27;20011109 09:32;P;;;;;;
D;012;299325;27;20011109 09:32;V;;;;;;
D;012;299325;27;20011109 09:32;V;;;;;;
B;012;299603;28;20011109 09:32;;;3;MARSHALL AVE;SINGLETON HEIGHTS;2330;935.8;M;20010530;20010706;148000;A;R;RESIDENCE;;AA;AC;;7803184;
C;012;299603;28;20011109 09:32;2//852020;
D;012;299603;28;20011109 09:32;P;;;;;;
D;012;299603;28;20011109 09:32;V;;;;;;
D;012;299603;28;20011109 09:32;V;;;;;;
B;012;299802;29;20011109 09:32;;;10;MARSHALL AVE;SINGLETON HEIGHTS;2330;774.1;M;20010531;20010705;138000;A;R;RESIDENCE;;AA;AC;;7788899;
C;012;299802;29;20011109 09:32;48//251251;
D;012;299802;29;20011109 09:32;P;;;;;;
D;012;299802;29;20011109 09:32;P;;;;;;
D;012;299802;29;20011109 09:32;V;;;;;;
