A;008;20011109 09:27;CDIXON;
B;008;201484;1;20011109 09:27;;;16;ABEL ST;MAYFIELD;2304;;;20010521;20010629;120500;A;R;RESIDENCE;;JD;AC;;7789072;
C;008;201484;1;20011109 09:27;8/C/2235;
D;008;201484;1;20011109 09:27;P;;;;;;
D;008;201484;1;20011109 09:27;V;;;;;;
B;008;201683;2;20011109 09:27;;;17;ACKERON ST;MAYFIELD;2304;;;20010516;20010530;140000;A;R;RESIDENCE;;JX;AC;;7739517;
C;008;201683;2;20011109 09:27;364//986916;
D;008;201683;2;20011109 09:27;P;;;;;;
D;008;201683;2;20011109 09:27;V;;;;;;
B;008;201785;3;20011109 09:27;;;38;ADDISON RD;NEW LAMBTON;2305;556.4;M;20010629;20010629;115000;A;R;RESIDENCE;;FG;AC;;7747520;
C;008;201785;3;20011109 09:27;16//15207;
D;008;201785;3;20011109 09:27;P;;;;;;
D;008;201785;3;20011109 09:27;V;;;;;;
D;008;201785;3;20011109 09:27;V;;;;;;
B;008;201910;4;20011109 09:27;;;4;ADELAIDE ST;BERESFIELD;2322;701.9;M;20010608;20010713;112000;A;R;RESIDENCE;;DB;AC;;7792402;
C;008;201910;4;20011109 09:27;87//215852;
D;008;201910;4;20011109 09:27;P;;;;;;
D;008;201910;4;20011109 09:27;V;;;;;;
B;008;202320;5;20011109 09:27;;;25;ALEXANDER ST;HAMILTON SOUTH;2303;585.2;M;20010518;20010628;445000;A;R;RESIDENCE;;FV;AC;;7751114;
C;008;202320;5;20011109 09:27;1//780505;
D;008;202320;5;20011109 09:27;P;;;;;;
D;008;202320;5;20011109 09:27;P;;;;;;
D;008;202320;5;20011109 09:27;V;;;;;;
D;008;202320;5;20011109 09:27;V;;;;;;
B;008;202355;6;20011109 09:27;;;25;ALFRED ST;NEWCASTLE EAST;2300;91.7;M;20010427;20010606;145000;A;R;RESIDENCE;;KF;AC;;7727689;
C;008;202355;6;20011109 09:27;101//618373;
D;008;202355;6;20011109 09:27;P;;;;;;
D;008;202355;6;20011109 09:27;P;;;;;;
D;008;202355;6;20011109 09:27;V;;;;;;
B;008;202472;7;20011109 09:27;;;58;ALKOO CRES;MARYLAND;2287;504.4;M;20010529;20010710;58000;A;V;VACANT LAND;;AA;AV;;7770649;
C;008;202472;7;20011109 09:27;8063//842686;
D;008;202472;7;20011109 09:27;P;;;;;;
D;008;202472;7;20011109 09:27;P;;;;;;
D;008;202472;7;20011109 09:27;V;;;;;;
D;008;202472;7;20011109 09:27;V;;;;;;
B;008;202529;8;20011109 09:27;;;67;ALISTER ST;SHORTLAND;2307;478.8;M;20010612;20010713;35000;A;V;VACANT LAND;;JM;AV;;7814221;
C;008;202529;8;20011109 09:27;262//864326;
D;008;202529;8;20011109 09:27;P;;;;;;
D;008;202529;8;20011109 09:27;P;;;;;;
D;008;202529;8;20011109 09:27;V;;;;;;
B;008;202672;9;20011109 09:27;;;19;ALLENDALE ST;BERESFIELD;2322;;;20010525;20010622;140000;A;R;RESIDENCE;;DA;AC;;7751363;
C;008;202672;9;20011109 09:27;60//29481;
D;008;202672;9;20011109 09:27;P;;;;;;
D;008;202672;9;20011109 09:27;V;;;;;;
B;008;202718;10;20011109 09:27;;;72;ALLOWAH ST;WARATAH WEST;2298;569.1;M;20010606;20010622;170000;A;R;RESIDENCE;;JP;AC;;7806177;
C;008;202718;10;20011109 09:27;2742//553457;
D;008;202718;10;20011109 09:27;P;;;;;;
D;008;202718;10;20011109 09:27;P;;;;;;
D;008;202718;10;20011109 09:27;V;;;;;;
B;008;203003;11;20011109 09:27;;3;127;ANDERSON DR;TARRO;2322;;;20010518;20010703;90000;;R;RESIDENCE;3;;;;7783909;
C;008;203003;11;20011109 09:27;3//SP 53271;
D;008;203003;11;20011109 09:27;P;;;;;;
D;008;203003;11;20011109 09:27;P;;;;;;
D;008;203003;11;20011109 09:27;V;;;;;;
B;008;203186;12;20011109 09:27;;;1;ANDRETTA AVE;ELERMORE VALE;2287;904.9;M;20010507;20010615;300000;A;R;RESIDENCE;;AJ;AC;;7814464;
C;008;203186;12;20011109 09:27;347//258508;
D;008;203186;12;20011109 09:27;P;;;;;;
D;008;203186;12;20011109 09:27;P;;;;;;
D;008;203186;12;20011109 09:27;V;;;;;;
B;008;203299;13;20011109 09:27;;;;ANGOPHORA DR;WARABROOK;2304;600.1;M;20010605;20010629;245000;A;R;RESIDENCE;;JW;AC;;7769638;
C;008;203299;13;20011109 09:27;1//830800;
D;008;203299;13;20011109 09:27;P;;;;;;
D;008;203299;13;20011109 09:27;P;;;;;;
D;008;203299;13;20011109 09:27;V;;;;;;
D;008;203299;13;20011109 09:27;V;;;;;;
B;008;203519;14;20011109 09:27;;;18;ANTILL ST;MAYFIELD;2304;;;20010612;20010717;129000;A;R;RESIDENCE;;JD;AC;;7813315;
C;008;203519;14;20011109 09:27;27//37394;
D;008;203519;14;20011109 09:27;P;;;;;;
D;008;203519;14;20011109 09:27;P;;;;;;
D;008;203519;14;20011109 09:27;V;;;;;;
B;008;203567;15;20011109 09:27;;;7;ANZAC PDE;THE HILL;2300;620.7;M;20010530;20010628;634700;A;R;RESIDENCE;;KD;AC;;7762412;
C;008;203567;15;20011109 09:27;45//862557;
D;008;203567;15;20011109 09:27;P;;;;;;
D;008;203567;15;20011109 09:27;P;;;;;;
D;008;203567;15;20011109 09:27;V;;;;;;
D;008;203567;15;20011109 09:27;V;;;;;;
B;008;203616;16;20011109 09:27;;;11;ARCHER CRES;MARYLAND;2287;660.9;M;20010528;20010709;255000;A;R;RESIDENCE;;AA;AC;;7785014;
C;008;203616;16;20011109 09:27;87//805266;
D;008;203616;16;20011109 09:27;P;;;;;;
D;008;203616;16;20011109 09:27;P;;;;;;
D;008;203616;16;20011109 09:27;V;;;;;;
D;008;203616;16;20011109 09:27;V;;;;;;
B;008;203776;17;20011109 09:27;;;184;ARIES WAY;ELERMORE VALE;2287;931;M;20010530;20010705;252000;A;R;RESIDENCE;;AL;AC;;7801594;
C;008;203776;17;20011109 09:27;4//261198;
D;008;203776;17;20011109 09:27;P;;;;;;
D;008;203776;17;20011109 09:27;P;;;;;;
D;008;203776;17;20011109 09:27;V;;;;;;
B;008;203891;18;20011109 09:27;;;21;ARNOLD ST;MAYFIELD;2304;;;20010621;20010716;133500;A;R;RESIDENCE;;JD;AC;;7793321;
C;008;203891;18;20011109 09:27;34/C/2235;
D;008;203891;18;20011109 09:27;P;;;;;;
D;008;203891;18;20011109 09:27;V;;;;;;
B;008;203983;19;20011109 09:27;;;28 A;ARTHUR ST;LAMBTON;2299;280.4;M;20010525;20010706;187500;A;R;RESIDENCE;;JJ;AC;;7788078;
C;008;203983;19;20011109 09:27;46//873288;
D;008;203983;19;20011109 09:27;P;;;;;;
D;008;203983;19;20011109 09:27;V;;;;;;
D;008;203983;19;20011109 09:27;V;;;;;;
B;008;204066;20;20011109 09:27;;;20;ASHER ST;GEORGETOWN;2298;518.5;M;20010530;20010704;146500;A;R;RESIDENCE;;JS;AC;;7780860;
C;008;204066;20;20011109 09:27;12//37432;
D;008;204066;20;20011109 09:27;P;;;;;;
D;008;204066;20;20011109 09:27;P;;;;;;
D;008;204066;20;20011109 09:27;V;;;;;;
B;008;204278;21;20011109 09:27;;;2;ATKINSON ST;BIRMINGHAM GARDENS;2287;;;20010605;20010713;164000;A;R;RESIDENCE;;JA;AC;;7810342;
C;008;204278;21;20011109 09:27;151//12691;
D;008;204278;21;20011109 09:27;P;;;;;;
D;008;204278;21;20011109 09:27;P;;;;;;
D;008;204278;21;20011109 09:27;V;;;;;;
D;008;204278;21;20011109 09:27;V;;;;;;
B;008;204314;22;20011109 09:27;;;13;AVON ST;MAYFIELD;2304;;;20010528;20010627;145000;A;R;RESIDENCE;;JD;AC;;7737044;
C;008;204314;22;20011109 09:27;54/B/16844;
D;008;204314;22;20011109 09:27;P;;;;;;
D;008;204314;22;20011109 09:27;V;;;;;;
B;008;204345;23;20011109 09:27;;;44;AVON ST;MAYFIELD;2304;;;20010313;20010522;150000;A;R;RESIDENCE;;JD;AC;;7813162;
C;008;204345;23;20011109 09:27;29/B/16844;
D;008;204345;23;20011109 09:27;P;;;;;;
D;008;204345;23;20011109 09:27;V;;;;;;
B;008;204389;24;20011109 09:27;;;3;AYRFIELD CL;WALLSEND;2287;1521;M;20010603;20010710;92000;A;V;VACANT LAND;;AJ;AV;;7770560;
C;008;204389;24;20011109 09:27;7005//857623;
D;008;204389;24;20011109 09:27;P;;;;;;
D;008;204389;24;20011109 09:27;P;;;;;;
D;008;204389;24;20011109 09:27;V;;;;;;
D;008;204389;24;20011109 09:27;V;;;;;;
B;008;204586;25;20011109 09:27;;;11;BAKER ST;MAYFIELD;2304;;;20010523;20010622;157000;A;R;RESIDENCE;;JX;AC;;7734216;
C;008;204586;25;20011109 09:27;12/B/1550;
D;008;204586;25;20011109 09:27;P;;;;;;
D;008;204586;25;20011109 09:27;P;;;;;;
D;008;204586;25;20011109 09:27;V;;;;;;
D;008;204586;25;20011109 09:27;V;;;;;;
B;008;204691;26;20011109 09:27;;;7;BALARANG ST;MARYLAND;2287;442.2;M;20010502;20010504;145000;A;R;RESIDENCE;;AA;AC;;7603648;
C;008;204691;26;20011109 09:27;12//860691;
D;008;204691;26;20011109 09:27;P;;;;;;
D;008;204691;26;20011109 09:27;P;;;;;;
D;008;204691;26;20011109 09:27;V;;;;;;
D;008;204691;26;20011109 09:27;V;;;;;;
B;008;204900;27;20011109 09:27;;;10;BARDIA RD;SHORTLAND;2307;746.1;M;20010605;20010710;140000;A;R;RESIDENCE;;JM;AC;;7766930;
C;008;204900;27;20011109 09:27;8//26927;
D;008;204900;27;20011109 09:27;P;;;;;;
D;008;204900;27;20011109 09:27;P;;;;;;
D;008;204900;27;20011109 09:27;V;;;;;;
D;008;204900;27;20011109 09:27;V;;;;;;
B;008;205124;28;20011109 09:27;;;59;BARTON ST;MAYFIELD;2304;303.5;M;20010531;20010628;178666;A;R;RESIDENCE;;JD;AC;;7740597;
C;008;205124;28;20011109 09:27;67//738549;
D;008;205124;28;20011109 09:27;P;;;;;;
D;008;205124;28;20011109 09:27;P;;;;;;
D;008;205124;28;20011109 09:27;V;;;;;;
D;008;205124;28;20011109 09:27;V;;;;;;
B;008;205249;29;20011109 09:27;;;20;BASSWOOD CRES;FLETCHER;2287;614.7;M;20010601;20010703;73000;A;V;VACANT LAND;;AP;AV;;7776976;
C;008;205249;29;20011109 09:27;524//1004420;
D;008;205249;29;20011109 09:27;P;;;;;;
D;008;205249;29;20011109 09:27;P;;;;;;
D;008;205249;29;20011109 09:27;V;;;;;;
B;008;205485;30;20011109 09:27;;;15;BEAUMONT ST;ISLINGTON;2296;194;M;20010530;20010629;148250;B;R;RESIDENCE;;CQ;AC;;7750583;
