A;007;20011109 09:31;CDIXON;
B;007;194916;1;20011109 09:31;;;;EDDERTON RD;MUSWELLBROOK;2333;1058.4;H;20010522;20010621;1688000;R;V;VACANT LAND;;RB;MC;;7748337;
C;007;194916;1;20011109 09:31;1//1004725 Enclosure Permit 45256;
D;007;194916;1;20011109 09:31;P;;;;;;
D;007;194916;1;20011109 09:31;V;;;;;;
B;007;195064;2;20011109 09:31;;;;;MUSWELLBROOK;2333;7.698;H;20010503;20010606;278000;P;R;RESIDENCE;;PN;RR;;7780387;
C;007;195064;2;20011109 09:31;2//249566;
D;007;195064;2;20011109 09:31;P;;;;;;
D;007;195064;2;20011109 09:31;P;;;;;;
D;007;195064;2;20011109 09:31;V;;;;;;
D;007;195064;2;20011109 09:31;V;;;;;;
B;007;195455;3;20011109 09:31;;;;;MUSWELLBROOK;2333;40.12;H;20010517;20010128;115000;R;R;RESIDENCE;;RL;RR;;7743643;
C;007;195455;3;20011109 09:31;13//706122;
D;007;195455;3;20011109 09:31;P;;;;;;
D;007;195455;3;20011109 09:31;V;;;;;;
D;007;195455;3;20011109 09:31;V;;;;;;
B;007;195596;4;20011109 09:31;;;2;BRIGHT ST;DENMAN;2328;1475;M;20010415;20010525;67500;A;R;RESIDENCE;;DG;AC;;7771881;
C;007;195596;4;20011109 09:31;21, 22//610347;
D;007;195596;4;20011109 09:31;P;;;;;;
D;007;195596;4;20011109 09:31;P;;;;;;
D;007;195596;4;20011109 09:31;V;;;;;;
D;007;195596;4;20011109 09:31;V;;;;;;
B;007;195640;5;20011109 09:31;;;11;FANTANA WAY;DENMAN;2328;773.4;M;20010628;20010719;95000;A;R;RESIDENCE;;DG;AC;;7798052;
C;007;195640;5;20011109 09:31;14//264521;
D;007;195640;5;20011109 09:31;P;;;;;;
D;007;195640;5;20011109 09:31;P;;;;;;
D;007;195640;5;20011109 09:31;V;;;;;;
B;007;195923;6;20011109 09:31;;;2;PALACE ST;DENMAN;2328;1010;M;20010523;20010709;17000;A;V;VACANT LAND;;DG;AV;;7793078;
C;007;195923;6;20011109 09:31;21//631575;
D;007;195923;6;20011109 09:31;P;;;;;;
D;007;195923;6;20011109 09:31;V;;;;;;
B;007;196641;7;20011109 09:31;;;;;MUSWELLBROOK;2333;14.97;H;20010523;20010704;115000;R;3;FARM RURAL ;;RL;MC;;7785530;
