A;008;20010822 12:46;CDIXON;
D;008;204584;20;20010822 12:46;P;;;;;;
D;008;204584;20;20010822 12:46;P;;;;;;
D;008;204584;20;20010822 12:46;V;;;;;;
B;008;204694;21;20010822 12:46;;;3 A;BALARANG ST;MARYLAND;2287;473.9;M;20010326;20010503;152500;A;R;;;AA;;;7647878;
C;008;204694;21;20010822 12:46;9//860691;
D;008;204694;21;20010822 12:46;P;;;;;;
D;008;204694;21;20010822 12:46;P;;;;;;
D;008;204694;21;20010822 12:46;V;;;;;;
D;008;204694;21;20010822 12:46;V;;;;;;
B;008;204762;22;20010822 12:46;;;15 A;BAMBARA CL;LAMBTON;2299;374.1;M;20010316;20010424;153000;A;R;;;FK;;;7577184;
C;008;204762;22;20010822 12:46;2//849077;
D;008;204762;22;20010822 12:46;P;;;;;;
D;008;204762;22;20010822 12:46;P;;;;;;
D;008;204762;22;20010822 12:46;V;;;;;;
B;008;204870;23;20010822 12:46;;;18;BARBER ST;MAYFIELD;2304;297.2;M;20010323;20010501;140000;A;R;;;JD;;;7590760;
C;008;204870;23;20010822 12:46;1//799774;
D;008;204870;23;20010822 12:46;P;;;;;;
D;008;204870;23;20010822 12:46;P;;;;;;
D;008;204870;23;20010822 12:46;V;;;;;;
D;008;204870;23;20010822 12:46;V;;;;;;
B;008;205190;24;20010822 12:46;;;56;BARTON ST;MAYFIELD;2304;297;M;20010304;20010517;130000;A;R;;;JD;;;7649279;
C;008;205190;24;20010822 12:46;1//197988;
D;008;205190;24;20010822 12:46;P;;;;;;
D;008;205190;24;20010822 12:46;P;;;;;;
D;008;205190;24;20010822 12:46;V;;;;;;
B;008;205246;25;20010822 12:46;;;28;BASSWOOD CRES;FLETCHER;2287;680;M;20010227;20010329;71000;A;R;;;AP;;;7580238;
C;008;205246;25;20010822 12:46;519//1004420;
D;008;205246;25;20010822 12:46;P;;;;;;
D;008;205246;25;20010822 12:46;V;;;;;;
B;008;205290;26;20010822 12:46;;;3;BEACH ST;NEWCASTLE EAST;2300;82.2;M;20010515;20010515;0;A;R;;;KF;;;7650208;
C;008;205290;26;20010822 12:46;1//656942;
D;008;205290;26;20010822 12:46;P;;;;;;
D;008;205290;26;20010822 12:46;V;;;;;;
D;008;205290;26;20010822 12:46;V;;;;;;
B;008;205463;27;20010822 12:46;;;7;BEAUMONT ST;HAMILTON;2303;749.2;M;20010305;20010508;548900;B;3;OFFICE ;;CG;;;7604046;
C;008;205463;27;20010822 12:46;1//195437;
D;008;205463;27;20010822 12:46;P;;;;;;
D;008;205463;27;20010822 12:46;V;;;;;;
B;008;205627;28;20010822 12:46;;;47;BELFORD ST;BROADMEADOW;2292;221.3;M;20010122;20010427;110000;B;R;;;CB;;;7652401;
C;008;205627;28;20010822 12:46;3//214606;
D;008;205627;28;20010822 12:46;P;;;;;;
D;008;205627;28;20010822 12:46;P;;;;;;
D;008;205627;28;20010822 12:46;P;;;;;;
D;008;205627;28;20010822 12:46;V;;;;;;
B;008;205810;29;20010822 12:46;;3;50;BELMORE ST;ADAMSTOWN;2289;;;20010402;20010511;66950;;R;;3;;;;7654022;
C;008;205810;29;20010822 12:46;3//22342;
D;008;205810;29;20010822 12:46;P;;;;;;
D;008;205810;29;20010822 12:46;V;;;;;;
B;008;205880;30;20010822 12:46;;;30;BENJAMIN DR;MARYLAND;2287;640.3;M;20010302;20010406;129000;A;3;NULL;;AN;;;7609625;
C;008;205880;30;20010822 12:46;304//833961;
D;008;205880;30;20010822 12:46;P;;;;;;
D;008;205880;30;20010822 12:46;V;;;;;;
B;008;205885;31;20010822 12:46;;;44;BENJAMIN DR;MARYLAND;2287;632;M;20010424;20010523;157000;A;R;;;AN;;;7642881;
C;008;205885;31;20010822 12:46;318//833961;
D;008;205885;31;20010822 12:46;P;;;;;;
D;008;205885;31;20010822 12:46;V;;;;;;
D;008;205885;31;20010822 12:46;V;;;;;;
B;008;205963;32;20010822 12:46;;;107;BERESFORD AVE;BERESFIELD;2322;;;20010316;20010330;85000;A;R;;;DA;;;7572887;
C;008;205963;32;20010822 12:46;149/A/12628;
D;008;205963;32;20010822 12:46;P;;;;;;
D;008;205963;32;20010822 12:46;P;;;;;;
D;008;205963;32;20010822 12:46;V;;;;;;
D;008;205963;32;20010822 12:46;V;;;;;;
B;008;206056;33;20010822 12:46;;;90;BERESFORD AVE;BERESFIELD;2322;;;20010329;20010426;93000;A;R;;;DA;;;7584241;
C;008;206056;33;20010822 12:46;19/B/12628;
D;008;206056;33;20010822 12:46;P;;;;;;
D;008;206056;33;20010822 12:46;P;;;;;;
D;008;206056;33;20010822 12:46;V;;;;;;
B;008;206130;34;20010822 12:46;;4;21;BERNER ST;MEREWETHER;2291;;;20010220;20010326;149000;;R;;4;;;;7578456;
C;008;206130;34;20010822 12:46;4//11300;
D;008;206130;34;20010822 12:46;P;;;;;;
D;008;206130;34;20010822 12:46;V;;;;;;
B;008;206130;35;20010822 12:46;;5;21;BERNER ST;MEREWETHER;2291;;;20010226;20010406;186000;;R;;5;;;;7578399;
C;008;206130;35;20010822 12:46;5//11300;
D;008;206130;35;20010822 12:46;P;;;;;;
D;008;206130;35;20010822 12:46;V;;;;;;
B;008;206163;36;20010822 12:46;;1;69;BERNER ST;MEREWETHER;2291;;;20010315;20010412;225000;;R;;1;;;;7580264;
C;008;206163;36;20010822 12:46;1//SP 19879;
D;008;206163;36;20010822 12:46;P;;;;;;
D;008;206163;36;20010822 12:46;V;;;;;;
B;008;206227;37;20010822 12:46;;3;22;BERNER ST;MEREWETHER;2291;;;20010321;20010426;410000;;R;;3;;;;7592990;
C;008;206227;37;20010822 12:46;3//48280;
D;008;206227;37;20010822 12:46;P;;;;;;
D;008;206227;37;20010822 12:46;V;;;;;;
B;008;206382;38;20010822 12:46;;;8;BERSHIRE AVE;MEREWETHER HEIGHTS;2291;575.4;M;20010219;20010402;202000;A;R;;;HM;;;7570985;
C;008;206382;38;20010822 12:46;40//208911;
D;008;206382;38;20010822 12:46;P;;;;;;
D;008;206382;38;20010822 12:46;P;;;;;;
D;008;206382;38;20010822 12:46;V;;;;;;
D;008;206382;38;20010822 12:46;V;;;;;;
B;008;206400;39;20010822 12:46;;;44;BERSHIRE AVE;MEREWETHER HEIGHTS;2291;550.1;M;20010523;20010523;0;A;R;;;HM;;;7654101;
C;008;206400;39;20010822 12:46;58//208911;
D;008;206400;39;20010822 12:46;P;;;;;;
D;008;206400;39;20010822 12:46;V;;;;;;
D;008;206400;39;20010822 12:46;V;;;;;;
B;008;206690;40;20010822 12:46;;;;BIRCHGROVE DR;WALLSEND;2287;958.5;M;20010402;20010402;93000;A;V;;;AJ;;;7650175;
C;008;206690;40;20010822 12:46;5001//835015;
D;008;206690;40;20010822 12:46;P;;;;;;
D;008;206690;40;20010822 12:46;P;;;;;;
D;008;206690;40;20010822 12:46;V;;;;;;
B;008;206710;41;20010822 12:46;;;44;BIRCHGROVE DR;WALLSEND;2287;829.9;M;20010406;20010504;219000;A;R;;;AS;;;7643482;
C;008;206710;41;20010822 12:46;4012//837912;
D;008;206710;41;20010822 12:46;P;;;;;;
D;008;206710;41;20010822 12:46;V;;;;;;
B;008;206938;42;20010822 12:46;;;26;BLACKALL ST;HAMILTON;2303;;;20001205;20001221;290000;A;3;;;FR;AC;;7322157;
C;008;206938;42;20010822 12:46;64/B/978701;
D;008;206938;42;20010822 12:46;P;;;;;;
D;008;206938;42;20010822 12:46;V;;;;;;
B;008;206954;43;20010822 12:46;;;60;BLACKALL ST;BROADMEADOW;2292;;;20010517;20010517;0;A;R;;;FT;;;7655949;
C;008;206954;43;20010822 12:46;183/F/95332;
D;008;206954;43;20010822 12:46;P;;;;;;
D;008;206954;43;20010822 12:46;P;;;;;;
D;008;206954;43;20010822 12:46;V;;;;;;
B;008;206971;44;20010822 12:46;;;11;BLACKALL ST;HAMILTON;2303;;;20010323;20010427;262000;A;R;;;FR;;;7598526;
C;008;206971;44;20010822 12:46;35/C/978702;
D;008;206971;44;20010822 12:46;P;;;;;;
D;008;206971;44;20010822 12:46;P;;;;;;
D;008;206971;44;20010822 12:46;V;;;;;;
B;008;207039;45;20010822 12:46;;;65;BLANCH ST;SHORTLAND;2307;600.7;M;20010508;20010508;0;A;R;;;JM;;;7634621;
C;008;207039;45;20010822 12:46;47//206758;
D;008;207039;45;20010822 12:46;P;;;;;;
D;008;207039;45;20010822 12:46;V;;;;;;
B;008;207234;46;20010822 12:46;;;10;BOOTH ST;STOCKTON;2295;543.6;M;20010308;20010412;305000;A;R;;;HN;;;7570279;
C;008;207234;46;20010822 12:46;6/39/35474;
D;008;207234;46;20010822 12:46;P;;;;;;
D;008;207234;46;20010822 12:46;V;;;;;;
B;008;207283;47;20010822 12:46;;;15;BOREAS RD;HAMILTON NORTH;2292;550.1;M;20010309;20010423;230000;A;R;;;FQ;;;7583241;
C;008;207283;47;20010822 12:46;2341//669380;
D;008;207283;47;20010822 12:46;P;;;;;;
