A;001;20030619 08:52;PDANN;
B;001;55;1;20030619 08:52;;;94;ABERDARE RD;ABERDARE;2325;1012;M;20030307;20030307;70000;A;R;RESIDENCE;;GA;AC;0;9460522;
C;001;55;1;20030619 08:52;19/38/758002;
D;001;55;1;20030619 08:52;P;;;;;;
D;001;55;1;20030619 08:52;V;;;;;;
B;001;68;2;20030619 08:52;;;66;ABERDARE RD;ABERDARE;2325;506;M;20021220;20030204;115000;A;R;RESIDENCE;;GA;AC;0;9424212;
C;001;68;2;20030619 08:52;2//383096;
D;001;68;2;20030619 08:52;P;;;;;;
D;001;68;2;20030619 08:52;V;;;;;;
B;001;221;3;20030619 08:52;;;27;BRIDGE ST;CESSNOCK;2325;;;20030131;20030307;180000;A;R;RESIDENCE;;GB;AV;0;9479996;
C;001;221;3;20030619 08:52;8/D/4269;
D;001;221;3;20030619 08:52;P;;;;;;
D;001;221;3;20030619 08:52;V;;;;;;
D;001;221;3;20030619 08:52;V;;;;;;
B;001;841;4;20030619 08:52;;;61;GRETA ST;ABERDARE;2325;1012;M;20030219;20030314;170000;A;R;RESIDENCE;;GA;AC;0;9475029;
C;001;841;4;20030619 08:52;3/46/758002;
D;001;841;4;20030619 08:52;P;;;;;;
D;001;841;4;20030619 08:52;P;;;;;;
D;001;841;4;20030619 08:52;V;;;;;;
D;001;841;4;20030619 08:52;V;;;;;;
B;001;1158;5;20030619 08:52;;;44;MAYFIELD ST;CESSNOCK;2325;;;20030221;20030314;167000;A;R;RESIDENCE;;GB;AC;0;9461717;
C;001;1158;5;20030619 08:52;15/F/4269;
D;001;1158;5;20030619 08:52;P;;;;;;
D;001;1158;5;20030619 08:52;P;;;;;;
D;001;1158;5;20030619 08:52;V;;;;;;
D;001;1158;5;20030619 08:52;V;;;;;;
B;001;1342;6;20030619 08:52;;;42;NORTHCOTE ST;ABERDARE;2325;1012;M;20030224;20030317;145000;A;R;RESIDENCE;;GA;AC;0;9464826;
C;001;1342;6;20030619 08:52;12/26/758002;
D;001;1342;6;20030619 08:52;P;;;;;;
D;001;1342;6;20030619 08:52;P;;;;;;
D;001;1342;6;20030619 08:52;V;;;;;;
B;001;1812;7;20030619 08:52;;;246;VINCENT ST;CESSNOCK;2325;474.2;M;20021206;20030108;125000;A;R;RESIDENCE;;GB;AC;0;9475930;
C;001;1812;7;20030619 08:52;11//517933;
D;001;1812;7;20030619 08:52;P;;;;;;
D;001;1812;7;20030619 08:52;P;;;;;;
D;001;1812;7;20030619 08:52;V;;;;;;
B;001;1870;8;20030619 08:52;;;52;VINCENT ST;CESSNOCK;2325;;;20020220;20030311;495000;B;3;SHOP;;CA;BS;0;9448460;
C;001;1870;8;20030619 08:52;B//435490;
D;001;1870;8;20030619 08:52;P;;;;;;
D;001;1870;8;20030619 08:52;V;;;;;;
D;001;1870;8;20030619 08:52;V;;;;;;
B;001;3015;9;20030619 08:52;;;19;MULBRING ST;ELLALONG;2325;1900;M;20030203;20030303;119000;A;R;RESIDENCE;;FD;AC;0;9431854;
