A;002;20030619 08:52;PDANN;
B;002;20953;1;20030619 08:52;;;;GREY ST;CLARENCE TOWN;2421;1.012;H;20030212;20030318;355000;R;R;RESIDENCE;;RB;;0;9480905;
C;002;20953;1;20030619 08:52;7, 8/12/758250;
D;002;20953;1;20030619 08:52;P;;;;;;
D;002;20953;1;20030619 08:52;P;;;;;;
D;002;20953;1;20030619 08:52;V;;;;;;
D;002;20953;1;20030619 08:52;V;;;;;;
B;002;21549;2;20030619 08:52;;;223;DOWLING ST;DUNGOG;2420;1340;M;20030124;20030307;572000;B;3;SHOP;;BA;;0;9476690;
C;002;21549;2;20030619 08:52;3, 4//10216;
D;002;21549;2;20030619 08:52;P;;;;;;
D;002;21549;2;20030619 08:52;V;;;;;;
B;002;22238;3;20030619 08:52;;;8;WILKERSON PL;DUNGOG;2420;911.1;M;20030210;20030317;40000;A;V;VACANT LAND;;AD;;0;9472904;
C;002;22238;3;20030619 08:52;57//817159;
D;002;22238;3;20030619 08:52;P;;;;;;
D;002;22238;3;20030619 08:52;V;;;;;;
B;002;22284;4;20030619 08:52;;;;COUNT ST;PATERSON;2421;8541;M;20020903;20030314;90000;R;R;RESIDENCE;;RG;;0;9468584;
C;002;22284;4;20030619 08:52;341//834072;
D;002;22284;4;20030619 08:52;P;;;;;;
D;002;22284;4;20030619 08:52;V;;;;;;
B;002;23476;5;20030619 08:52;;;868;ALISON RD;ALISON;2420;37.67;H;20021011;20030117;590000;R;3;FARM;;RQ;;0;9475259;
C;002;23476;5;20030619 08:52;7//1047245;
D;002;23476;5;20030619 08:52;P;;;;;;
D;002;23476;5;20030619 08:52;V;;;;;;
B;002;23478;6;20030619 08:52;;;853;ALISON RD;ALISON;2420;17.81;H;20021011;20030117;590000;R;3;FARM;;RC;;0;9475258;
C;002;23478;6;20030619 08:52;38//6253;
D;002;23478;6;20030619 08:52;P;;;;;;
D;002;23478;6;20030619 08:52;V;;;;;;
B;002;23654;7;20030619 08:52;;;1007;GRESFORD RD;VACY;2421;3.269;H;20021223;20030313;148000;R;3;FARM;;RH;RV;50;9458535;
C;002;23654;7;20030619 08:52;121//706044;
D;002;23654;7;20030619 08:52;P;;;;;;
D;002;23654;7;20030619 08:52;P;;;;;;
D;002;23654;7;20030619 08:52;V;;;;;;
B;002;24257;8;20030619 08:52;;;916;CHICHESTER DAM RD;DUNGOG;2420;55.45;H;20030207;20030207;500000;R;3;FARM;;RR;;0;9379195;
C;002;24257;8;20030619 08:52;94//858193;
D;002;24257;8;20030619 08:52;P;;;;;;
D;002;24257;8;20030619 08:52;P;;;;;;
D;002;24257;8;20030619 08:52;V;;;;;;
B;002;24615;9;20030619 08:52;;;13;BRENTWOOD DR;CLARENCE TOWN;2421;4.976;H;20030131;20030307;499000;R;R;RESIDENCE;;RB;RR;0;9454531;
C;002;24615;9;20030619 08:52;22//859686;
D;002;24615;9;20030619 08:52;P;;;;;;
D;002;24615;9;20030619 08:52;P;;;;;;
D;002;24615;9;20030619 08:52;V;;;;;;
D;002;24615;9;20030619 08:52;V;;;;;;
B;002;24632;10;20030619 08:52;;;12;BRENTWOOD DR;CLARENCE TOWN;2421;2.718;H;20030206;20030311;259000;R;R;RESIDENCE;;RB;RR;0;9460035;
C;002;24632;10;20030619 08:52;24//859686;
D;002;24632;10;20030619 08:52;P;;;;;;
D;002;24632;10;20030619 08:52;P;;;;;;
D;002;24632;10;20030619 08:52;V;;;;;;
D;002;24632;10;20030619 08:52;V;;;;;;
B;002;24714;11;20030619 08:52;;;105;GLEN WILLIAM RD;CLARENCE TOWN;2421;3;H;20030108;20030212;215000;R;R;RESIDENCE;;RB;;0;9472581;
C;002;24714;11;20030619 08:52;11//632769;
D;002;24714;11;20030619 08:52;P;;;;;;
D;002;24714;11;20030619 08:52;P;;;;;;
D;002;24714;11;20030619 08:52;V;;;;;;
B;002;25036;12;20030619 08:52;;;270;WALLAROBBA RD;BROOKFIELD;2420;3.887;H;20030304;20030314;295000;R;R;RESIDENCE;;RB;RR;0;9461432;
C;002;25036;12;20030619 08:52;311//839189;
D;002;25036;12;20030619 08:52;P;;;;;;
D;002;25036;12;20030619 08:52;V;;;;;;
D;002;25036;12;20030619 08:52;V;;;;;;
B;002;2914856;13;20030619 08:52;;;;SALISBURY RD;MUNNI;2420;19.6;H;20021216;20021217;58118;R;V;VACANT LAND;;RC;;0;9472496;
C;002;2914856;13;20030619 08:52;7//1041108;
D;002;2914856;13;20030619 08:52;P;;;;;;
D;002;2914856;13;20030619 08:52;V;;;;;;
D;002;2914856;13;20030619 08:52;V;;;;;;
D;002;2914856;13;20030619 08:52;V;;;;;;
D;002;2914856;13;20030619 08:52;V;;;;;;
B;002;2952010;14;20030619 08:52;;;424;WALLAROBBA RD;DUNGOG;2420;109.6;H;20021223;20030203;420000;R;3;RURAL LAND;;RE;RG;0;9397624;
C;002;2952010;14;20030619 08:52;32//1043077;
D;002;2952010;14;20030619 08:52;P;;;;;;
D;002;2952010;14;20030619 08:52;V;;;;;;
B;002;2977054;15;20030619 08:52;;;;CHICHESTER DAM RD;DUNGOG;2420;73.34;H;20030207;20030207;500000;R;3;FARM;;RD;RGI;0;9379195;
C;002;2977054;15;20030619 08:52;154//1042925;
D;002;2977054;15;20030619 08:52;P;;;;;;
D;002;2977054;15;20030619 08:52;P;;;;;;
D;002;2977054;15;20030619 08:52;V;;;;;;
Z;76;15;15;44;
