A;007;20030619 08:54;PDANN;
B;007;194986;1;20030619 08:54;;;;'GOLDEN GROVE' BYLONG VALLEY W;BAERAMI VIA DENMAN;2328;87.91;H;20030211;20030317;200000;P;R;RESIDENCE;;PJ;RG;0;9463015;
C;007;194986;1;20030619 08:54;36//753768 3//790485;
D;007;194986;1;20030619 08:54;P;;;;;;
D;007;194986;1;20030619 08:54;V;;;;;;
B;007;195019;2;20030619 08:54;;;;'GOLDEN GROVE' BYLONG VALLEY W;BAERAMI VIA DENMAN;2328;15.13;H;20030211;20030317;200000;P;R;RESIDENCE;;PL;RR;0;9463014;
C;007;195019;2;20030619 08:54;2//790485;
D;007;195019;2;20030619 08:54;P;;;;;;
D;007;195019;2;20030619 08:54;V;;;;;;
B;007;195457;3;20030619 08:54;;;;GOLDEN HIGHWAY;DENMAN;2328;40.08;H;20020830;20030317;2500;R;V;VACANT LAND;;RL;;0;9473685;
C;007;195457;3;20030619 08:54;15//706122;
D;007;195457;3;20030619 08:54;P;;;;;;
D;007;195457;3;20030619 08:54;V;;;;;;
D;007;195457;3;20030619 08:54;V;;;;;;
B;007;196145;4;20030619 08:54;;;38;VIRGINIA ST;DENMAN;2328;626.1;M;20030210;20030225;78950;A;R;RESIDENCE;;DF;;0;9466885;
C;007;196145;4;20030619 08:54;1//42571;
D;007;196145;4;20030619 08:54;P;;;;;;
D;007;196145;4;20030619 08:54;P;;;;;;
D;007;196145;4;20030619 08:54;V;;;;;;
B;007;196146;5;20030619 08:54;;;36;VIRGINIA ST;DENMAN;2328;708.2;M;20030210;20030225;78950;A;R;RESIDENCE;;DF;;0;9466887;
C;007;196146;5;20030619 08:54;2//42571;
D;007;196146;5;20030619 08:54;P;;;;;;
D;007;196146;5;20030619 08:54;P;;;;;;
D;007;196146;5;20030619 08:54;V;;;;;;
B;007;196686;6;20030619 08:54;;;LOT37;DOLAHENTY ROAD;MCCULLYS GAP;2333;6.04;H;20030124;20030228;310000;R;R;RESIDENCE;;RH;RR;0;9459172;
C;007;196686;6;20030619 08:54;37//830005;
D;007;196686;6;20030619 08:54;P;;;;;;
D;007;196686;6;20030619 08:54;P;;;;;;
D;007;196686;6;20030619 08:54;V;;;;;;
D;007;196686;6;20030619 08:54;V;;;;;;
B;007;196783;7;20030619 08:54;;;130;GIANTS CREEK RD;SANDY HOLLOW;2333;16.19;H;20030129;20030305;85000;P;R;RESIDENCE;;PL;;0;9465363;
C;007;196783;7;20030619 08:54;129//750963;
D;007;196783;7;20030619 08:54;P;;;;;;
D;007;196783;7;20030619 08:54;P;;;;;;
D;007;196783;7;20030619 08:54;V;;;;;;
B;007;196789;8;20030619 08:54;;;;MERRIWA RD;MUSWELLBROOK;2333;2.415;H;20030117;20030228;90000;P;3;SHED;;PP;RR;0;9452410;
C;007;196789;8;20030619 08:54;200//1005305;
D;007;196789;8;20030619 08:54;P;;;;;;
D;007;196789;8;20030619 08:54;V;;;;;;
B;007;197096;9;20030619 08:54;;;48;ACACIA DR;MUSWELLBROOK;2333;600;M;20030214;20030312;128000;A;R;RESIDENCE;;AL;AC;0;9464920;
C;007;197096;9;20030619 08:54;1089//262816;
D;007;197096;9;20030619 08:54;P;;;;;;
D;007;197096;9;20030619 08:54;V;;;;;;
B;007;197225;10;20030619 08:54;;;5;ALMERIA GLEN;MUSWELLBROOK;2333;1218;M;20030205;20030311;230000;A;R;RESIDENCE;;AM;AC;0;9454286;
C;007;197225;10;20030619 08:54;277//263863;
D;007;197225;10;20030619 08:54;P;;;;;;
D;007;197225;10;20030619 08:54;P;;;;;;
D;007;197225;10;20030619 08:54;V;;;;;;
D;007;197225;10;20030619 08:54;V;;;;;;
B;007;197483;11;20030619 08:54;;;2;BLIGH ST;MUSWELLBROOK;2333;695.7;M;20021223;20030210;225000;A;R;RESIDENCE;;AT;AC;0;9458731;
C;007;197483;11;20030619 08:54;31//631228;
D;007;197483;11;20030619 08:54;P;;;;;;
D;007;197483;11;20030619 08:54;V;;;;;;
D;007;197483;11;20030619 08:54;V;;;;;;
B;007;197754;12;20030619 08:54;;;90;BROOK ST;MUSWELLBROOK;2333;1347;M;20030203;20030317;310000;A;R;RESIDENCE;;AT;;0;9487233;
C;007;197754;12;20030619 08:54;11//1044726;
D;007;197754;12;20030619 08:54;P;;;;;;
D;007;197754;12;20030619 08:54;V;;;;;;
B;007;197763;13;20030619 08:54;;;62;BROOK ST;MUSWELLBROOK;2333;1095;M;19980917;20021104;35000;B;V;VACANT LAND;;BA;AV;0;9117532;
C;007;197763;13;20030619 08:54;83//1044217;
D;007;197763;13;20030619 08:54;P;;;;;;
D;007;197763;13;20030619 08:54;V;;;;;;
B;007;198054;14;20030619 08:54;;;23;CHABLIS CL;MUSWELLBROOK;2333;1112;M;20020925;20021107;45000;A;V;VACANT LAND;;AM;AV;0;9468096;
C;007;198054;14;20030619 08:54;203//263254;
D;007;198054;14;20030619 08:54;P;;;;;;
D;007;198054;14;20030619 08:54;P;;;;;;
D;007;198054;14;20030619 08:54;V;;;;;;
B;007;198066;15;20030619 08:54;;;18;CHARDONNAY ST;MUSWELLBROOK;2333;;;20030217;20030226;188000;A;R;RESIDENCE;;AW;AC;0;9448938;
C;007;198066;15;20030619 08:54;93//261832;
D;007;198066;15;20030619 08:54;P;;;;;;
D;007;198066;15;20030619 08:54;P;;;;;;
D;007;198066;15;20030619 08:54;V;;;;;;
D;007;198066;15;20030619 08:54;V;;;;;;
B;007;198456;16;20030619 08:54;;;12;EDINGLASSIE DR;MUSWELLBROOK;2333;1061;M;20030128;20030310;58000;A;V;VACANT LAND;;AB;AV;0;9455968;
C;007;198456;16;20030619 08:54;7//1001348;
D;007;198456;16;20030619 08:54;P;;;;;;
D;007;198456;16;20030619 08:54;P;;;;;;
D;007;198456;16;20030619 08:54;V;;;;;;
B;007;198560;17;20030619 08:54;;;22;FOLEY ST;MUSWELLBROOK;2333;929.5;M;20030210;20030314;80000;A;R;RESIDENCE;;AT;AC;0;9461480;
C;007;198560;17;20030619 08:54;92//540609;
D;007;198560;17;20030619 08:54;P;;;;;;
D;007;198560;17;20030619 08:54;V;;;;;;
D;007;198560;17;20030619 08:54;V;;;;;;
B;007;199216;18;20030619 08:54;;;58;KING ST;MUSWELLBROOK;2333;;;20030123;20030210;155000;A;R;RESIDENCE;;AT;AC;0;9441876;
C;007;199216;18;20030619 08:54;A//357825;
D;007;199216;18;20030619 08:54;P;;;;;;
D;007;199216;18;20030619 08:54;V;;;;;;
D;007;199216;18;20030619 08:54;V;;;;;;
B;007;199316;19;20030619 08:54;;;3;LEXIA ST;MUSWELLBROOK;2333;1143;M;20021213;20030303;36000;A;V;VACANT LAND;;AM;;0;9467094;
C;007;199316;19;20030619 08:54;190//263254;
D;007;199316;19;20030619 08:54;P;;;;;;
D;007;199316;19;20030619 08:54;P;;;;;;
D;007;199316;19;20030619 08:54;V;;;;;;
D;007;199316;19;20030619 08:54;V;;;;;;
B;007;199331;20;20030619 08:54;;;34;LORNE ST;MUSWELLBROOK;2333;720.8;M;20030116;20030214;135000;A;R;RESIDENCE;;AS;;0;9479376;
C;007;199331;20;20030619 08:54;4//21683;
D;007;199331;20;20030619 08:54;P;;;;;;
D;007;199331;20;20030619 08:54;P;;;;;;
D;007;199331;20;20030619 08:54;V;;;;;;
D;007;199331;20;20030619 08:54;V;;;;;;
B;007;199409;21;20030619 08:54;;;2;MCCLINTOCK DR;MUSWELLBROOK;2333;989;M;20030218;20030321;145000;A;R;RESIDENCE;;AC;;0;9483754;
C;007;199409;21;20030619 08:54;22//258770;
D;007;199409;21;20030619 08:54;P;;;;;;
D;007;199409;21;20030619 08:54;P;;;;;;
D;007;199409;21;20030619 08:54;V;;;;;;
B;007;199690;22;20030619 08:54;;;12;MITCHELL ST;MUSWELLBROOK;2333;910.5;M;20021218;20030218;195000;A;R;RESIDENCE;;AF;;0;9485570;
C;007;199690;22;20030619 08:54;4//3179 1//711071;
D;007;199690;22;20030619 08:54;P;;;;;;
D;007;199690;22;20030619 08:54;P;;;;;;
D;007;199690;22;20030619 08:54;V;;;;;;
D;007;199690;22;20030619 08:54;V;;;;;;
B;007;199991;23;20030619 08:54;;;67;QUEEN ST;MUSWELLBROOK;2333;1976;M;20030110;20030221;230000;A;R;RESIDENCE;;AM;AC;0;9459400;
C;007;199991;23;20030619 08:54;540//819739;
D;007;199991;23;20030619 08:54;P;;;;;;
