A;004;20030619 08:54;PDANN;
B;004;95948;1;20030619 08:54;;;11;ALEXANDER PDE;ARCADIA VALE;2283;956.9;M;20030124;20030321;720000;A;R;RESIDENCE;;MB;;0;9484477;
C;004;95948;1;20030619 08:54;6//13129 Licence 348865;
D;004;95948;1;20030619 08:54;P;;;;;;
D;004;95948;1;20030619 08:54;P;;;;;;
D;004;95948;1;20030619 08:54;V;;;;;;
B;004;96100;2;20030619 08:54;;;71;DONNELLY RD;ARCADIA VALE;2283;841;M;20030122;20030319;79000;A;V;VACANT LAND;;ME;;0;9480776;
C;004;96100;2;20030619 08:54;447//13129;
D;004;96100;2;20030619 08:54;P;;;;;;
D;004;96100;2;20030619 08:54;P;;;;;;
D;004;96100;2;20030619 08:54;V;;;;;;
D;004;96100;2;20030619 08:54;V;;;;;;
B;004;96421;3;20030619 08:54;;;16;ELIZABETH ST;ARGENTON;2284;794.2;M;20030128;20030228;185000;A;R;RESIDENCE;;CB;AC;0;9453055;
C;004;96421;3;20030619 08:54;16/2/12348;
D;004;96421;3;20030619 08:54;P;;;;;;
D;004;96421;3;20030619 08:54;V;;;;;;
D;004;96421;3;20030619 08:54;V;;;;;;
B;004;97127;4;20030619 08:54;;;32;AVONDALE RD;COORANBONG;2265;916.9;M;20020422;20020614;170000;A;R;RESIDENCE;;NJ;AC;0;9340323;
C;004;97127;4;20030619 08:54;4//3533;
D;004;97127;4;20030619 08:54;P;;;;;;
D;004;97127;4;20030619 08:54;P;;;;;;
D;004;97127;4;20030619 08:54;V;;;;;;
D;004;97127;4;20030619 08:54;V;;;;;;
B;004;98101;5;20030619 08:54;;;6;AINSDALE CL;JEWELLS;2280;802.2;M;20030122;20030214;265000;A;R;RESIDENCE;;JF;;0;9470946;
C;004;98101;5;20030619 08:54;345//245257;
D;004;98101;5;20030619 08:54;P;;;;;;
D;004;98101;5;20030619 08:54;V;;;;;;
D;004;98101;5;20030619 08:54;V;;;;;;
B;004;99027;6;20030619 08:54;;;3;COTEMEDE CL;JEWELLS;2280;676.5;M;20030204;20030304;334000;A;3;;;JF;AC;0;9454545;
C;004;99027;6;20030619 08:54;56//255063;
D;004;99027;6;20030619 08:54;P;;;;;;
D;004;99027;6;20030619 08:54;P;;;;;;
D;004;99027;6;20030619 08:54;V;;;;;;
D;004;99027;6;20030619 08:54;V;;;;;;
B;004;99136;7;20030619 08:54;;;96;CROWN ST;BELMONT;2280;700;M;20030207;20030228;560000;A;R;RESIDENCE;;JB;;0;9480884;
C;004;99136;7;20030619 08:54;731//1001736;
D;004;99136;7;20030619 08:54;P;;;;;;
D;004;99136;7;20030619 08:54;P;;;;;;
D;004;99136;7;20030619 08:54;V;;;;;;
D;004;99136;7;20030619 08:54;V;;;;;;
B;004;99157;8;20030619 08:54;;;6;DALE CL;JEWELLS;2280;549.2;M;20030211;20030318;385000;A;R;RESIDENCE;;JF;;0;9482224;
C;004;99157;8;20030619 08:54;87//248136;
D;004;99157;8;20030619 08:54;P;;;;;;
D;004;99157;8;20030619 08:54;P;;;;;;
D;004;99157;8;20030619 08:54;V;;;;;;
D;004;99157;8;20030619 08:54;V;;;;;;
B;004;101775;9;20030619 08:54;;;26;MAUDE ST;BELMONT;2280;404.7;M;20021205;20030116;208000;B;R;RESIDENCE;;TA;AC;0;9335632;
C;004;101775;9;20030619 08:54;16/1/2374;
D;004;101775;9;20030619 08:54;P;;;;;;
D;004;101775;9;20030619 08:54;P;;;;;;
D;004;101775;9;20030619 08:54;V;;;;;;
B;004;102197;10;20030619 08:54;;;53;NTABA RD;JEWELLS;2280;650;M;20030203;20030228;325000;A;R;RESIDENCE;;JF;AC;0;9465844;
C;004;102197;10;20030619 08:54;97//255063;
D;004;102197;10;20030619 08:54;P;;;;;;
D;004;102197;10;20030619 08:54;V;;;;;;
D;004;102197;10;20030619 08:54;V;;;;;;
