A;005;20030619 08:54;PDANN;
B;005;171964;1;20030619 08:54;;;354;ABERGLASSLYN RD;ABERGLASSLYN;2320;1.783;H;20030128;20030228;312000;R;R;RESIDENCE;;DA;RR;0;9425528;
C;005;171964;1;20030619 08:54;6//526805;
D;005;171964;1;20030619 08:54;P;;;;;;
D;005;171964;1;20030619 08:54;P;;;;;;
D;005;171964;1;20030619 08:54;V;;;;;;
D;005;171964;1;20030619 08:54;V;;;;;;
B;005;172784;2;20030619 08:54;;;37;ARTHUR ST;RUTHERFORD;2320;556.4;M;20021205;20030307;164000;A;R;RESIDENCE;;EB;AC;0;9468569;
C;005;172784;2;20030619 08:54;11/1/21143;
D;005;172784;2;20030619 08:54;P;;;;;;
D;005;172784;2;20030619 08:54;V;;;;;;
B;005;173085;3;20030619 08:54;;;93;BANKS ST;EAST MAITLAND;2323;809.4;M;20021220;20030204;225000;A;R;RESIDENCE;;HG;AC;0;9444580;
C;005;173085;3;20030619 08:54;13/1/758374;
D;005;173085;3;20030619 08:54;P;;;;;;
D;005;173085;3;20030619 08:54;V;;;;;;
B;005;174170;4;20030619 08:54;;;43;BROOKS ST;TELARAH;2320;682.8;M;20021104;20021104;180000;A;R;RESIDENCE;;EA;AC;0;9462523;
C;005;174170;4;20030619 08:54;1, 2//1043602;
D;005;174170;4;20030619 08:54;P;;;;;;
D;005;174170;4;20030619 08:54;V;;;;;;
B;005;174246;5;20030619 08:54;;;7;BROUGHTON ST;RUTHERFORD;2320;619;M;20030114;20030317;200000;A;R;RESIDENCE;;EL;AC;0;9470366;
C;005;174246;5;20030619 08:54;23//246653;
D;005;174246;5;20030619 08:54;P;;;;;;
D;005;174246;5;20030619 08:54;P;;;;;;
D;005;174246;5;20030619 08:54;V;;;;;;
D;005;174246;5;20030619 08:54;V;;;;;;
B;005;174266;6;20030619 08:54;;;10;BROUGHTON ST;RUTHERFORD;2320;630.2;M;20030203;20030303;176000;A;R;RESIDENCE;;EL;AC;0;9477746;
C;005;174266;6;20030619 08:54;35//246653;
D;005;174266;6;20030619 08:54;P;;;;;;
D;005;174266;6;20030619 08:54;V;;;;;;
D;005;174266;6;20030619 08:54;V;;;;;;
B;005;174328;7;20030619 08:54;;;11;BRUNSWICK ST;EAST MAITLAND;2323;942.2;M;20021223;20030319;205000;A;R;RESIDENCE;;HF;AC;0;9480334;
C;005;174328;7;20030619 08:54;2//155432;
D;005;174328;7;20030619 08:54;P;;;;;;
D;005;174328;7;20030619 08:54;V;;;;;;
B;005;174662;8;20030619 08:54;;;6;BUNGAREE ST;TELARAH;2320;505.9;M;20021217;20030207;230000;A;R;RESIDENCE;;EA;AC;0;9453916;
C;005;174662;8;20030619 08:54;A//419754;
D;005;174662;8;20030619 08:54;P;;;;;;
D;005;174662;8;20030619 08:54;V;;;;;;
D;005;174662;8;20030619 08:54;V;;;;;;
B;005;174686;9;20030619 08:54;;;10;BUNNING AVE;RUTHERFORD;2320;556.4;M;20030204;20030204;70000;A;R;RESIDENCE;;EB;AC;50;9379528;
C;005;174686;9;20030619 08:54;4//517903;
D;005;174686;9;20030619 08:54;P;;;;;;
D;005;174686;9;20030619 08:54;P;;;;;;
D;005;174686;9;20030619 08:54;V;;;;;;
D;005;174686;9;20030619 08:54;V;;;;;;
D;005;174686;9;20030619 08:54;V;;;;;;
B;005;175333;10;20030619 08:54;;;28;CASUARINA CRES;METFORD;2323;500.7;M;20030129;20030312;170000;A;R;RESIDENCE;;HB;AC;0;9482494;
C;005;175333;10;20030619 08:54;353//834213;
D;005;175333;10;20030619 08:54;P;;;;;;
D;005;175333;10;20030619 08:54;P;;;;;;
D;005;175333;10;20030619 08:54;V;;;;;;
D;005;175333;10;20030619 08:54;V;;;;;;
B;005;175895;11;20030619 08:54;;;20;CHURCH ST;MAITLAND;2320;1380.4;M;20021217;20030131;1325000;B;3;COMERCIAL;;BD;BS;0;9483246;
C;005;175895;11;20030619 08:54;1//809072;
D;005;175895;11;20030619 08:54;P;;;;;;
D;005;175895;11;20030619 08:54;P;;;;;;
D;005;175895;11;20030619 08:54;P;;;;;;
D;005;175895;11;20030619 08:54;P;;;;;;
D;005;175895;11;20030619 08:54;V;;;;;;
B;005;176076;12;20030619 08:54;;;10;CLAYTON CRES;RUTHERFORD;2320;610.6;M;20030213;20030305;155000;A;R;RESIDENCE;;EG;AC;0;9436061;
C;005;176076;12;20030619 08:54;255//264378;
D;005;176076;12;20030619 08:54;P;;;;;;
D;005;176076;12;20030619 08:54;P;;;;;;
D;005;176076;12;20030619 08:54;V;;;;;;
B;005;176609;13;20030619 08:54;;;42;CUMBERLAND ST;EAST MAITLAND;2323;;;20030203;20030314;249000;A;R;RESIDENCE;;HE;AC;0;9471489;
C;005;176609;13;20030619 08:54;20//12773;
D;005;176609;13;20030619 08:54;P;;;;;;
D;005;176609;13;20030619 08:54;V;;;;;;
D;005;176609;13;20030619 08:54;V;;;;;;
B;005;177092;14;20030619 08:54;;;15;DENTON PARK DR;RUTHERFORD;2320;2500;M;20020121;20030304;225000;A;V;VACANT LAND;;EL;AV;0;9447433;
C;005;177092;14;20030619 08:54;301//817435;
D;005;177092;14;20030619 08:54;P;;;;;;
D;005;177092;14;20030619 08:54;V;;;;;;
