A;003;20030619 08:53;PDANN;
B;003;25419;1;20030619 08:53;;3;28;ADELAIDE ST;EAST GOSFORD;2250;;;20030128;20030311;253000;;R;RESIDENCE;3;;XA;0;9454058;
C;003;25419;1;20030619 08:53;3//SP 20429;
D;003;25419;1;20030619 08:53;P;;;;;;
D;003;25419;1;20030619 08:53;V;;;;;;
B;003;26201;2;20030619 08:53;;;46;ALBION ST;UMINA;2257;499.5;M;20030124;20030310;278000;A;R;RESIDENCE;;MA;AC;0;9458105;
C;003;26201;2;20030619 08:53;236//9103;
D;003;26201;2;20030619 08:53;P;;;;;;
D;003;26201;2;20030619 08:53;V;;;;;;
D;003;26201;2;20030619 08:53;V;;;;;;
B;003;26512;3;20030619 08:53;;;24;ALISON RD;SPRINGFIELD;2250;474.2;M;20030130;20030313;230000;A;R;RESIDENCE;;FG;AC;0;9469215;
C;003;26512;3;20030619 08:53;71//240190;
D;003;26512;3;20030619 08:53;P;;;;;;
D;003;26512;3;20030619 08:53;P;;;;;;
D;003;26512;3;20030619 08:53;V;;;;;;
B;003;26995;4;20030619 08:53;;;1;ANCHORAGE CRES;TERRIGAL;2260;556.4;M;20030131;20030214;418000;A;R;RESIDENCE;;FQ;AC;0;9459343;
C;003;26995;4;20030619 08:53;40//200508;
D;003;26995;4;20030619 08:53;P;;;;;;
D;003;26995;4;20030619 08:53;V;;;;;;
D;003;26995;4;20030619 08:53;V;;;;;;
B;003;27121;5;20030619 08:53;;;19;ANGUS AVE;WYOMING;2250;676.6;M;20030130;20030313;320000;A;R;RESIDENCE;;FB;AC;0;9483170;
C;003;27121;5;20030619 08:53;112//225928;
D;003;27121;5;20030619 08:53;P;;;;;;
D;003;27121;5;20030619 08:53;P;;;;;;
D;003;27121;5;20030619 08:53;V;;;;;;
B;003;27240;6;20030619 08:53;;;62;ANNIVERSARY AVE;TERRIGAL;2260;619.7;M;20030131;20030314;335000;A;V;VACANT LAND;;FQ;AV;0;9473500;
C;003;27240;6;20030619 08:53;23//239102;
D;003;27240;6;20030619 08:53;P;;;;;;
D;003;27240;6;20030619 08:53;V;;;;;;
B;003;27625;7;20030619 08:53;;;4;ARTHUR PL;FORRESTERS BEACH;2260;1239;M;20021128;20030213;535000;A;R;RESIDENCE;;FP;AC;0;9487983;
C;003;27625;7;20030619 08:53;91//223884;
D;003;27625;7;20030619 08:53;P;;;;;;
D;003;27625;7;20030619 08:53;P;;;;;;
D;003;27625;7;20030619 08:53;V;;;;;;
B;003;28361;8;20030619 08:53;;;2;AVIA AVE;ERINA;2250;600.4;M;20030111;20030312;470000;A;R;RESIDENCE;;GU;AC;0;9478839;
C;003;28361;8;20030619 08:53;346//1013354;
D;003;28361;8;20030619 08:53;P;;;;;;
D;003;28361;8;20030619 08:53;V;;;;;;
D;003;28361;8;20030619 08:53;V;;;;;;
B;003;28473;9;20030619 08:53;;;303;AVOCA DR;GREEN POINT;2251;663.9;M;20030131;20030314;349000;A;R;RESIDENCE;;FJ;AC;0;9477552;
C;003;28473;9;20030619 08:53;2//500949;
D;003;28473;9;20030619 08:53;P;;;;;;
D;003;28473;9;20030619 08:53;P;;;;;;
D;003;28473;9;20030619 08:53;V;;;;;;
B;003;28673;10;20030619 08:53;;20;166;AVOCA DR;KINCUMBER;2251;;;20030124;20030307;236000;;3;HOME UNIT;20;;XA;0;9467420;
C;003;28673;10;20030619 08:53;20//SP 45031;
D;003;28673;10;20030619 08:53;P;;;;;;
D;003;28673;10;20030619 08:53;V;;;;;;
D;003;28673;10;20030619 08:53;V;;;;;;
B;003;28729;11;20030619 08:53;;;137 A;AVOCA DR;KINCUMBER;2251;2196;M;20021212;20030321;447000;A;R;RESIDENCE;;FK;AC;0;9480634;
C;003;28729;11;20030619 08:53;3//599701;
D;003;28729;11;20030619 08:53;P;;;;;;
D;003;28729;11;20030619 08:53;P;;;;;;
D;003;28729;11;20030619 08:53;V;;;;;;
B;003;28980;12;20030619 08:53;;;106;AVOCA DR;AVOCA BEACH;2251;600.7;M;20030124;20030307;1250000;A;R;RESIDENCE;;MB;AC;0;9469256;
C;003;28980;12;20030619 08:53;1//101618;
D;003;28980;12;20030619 08:53;P;;;;;;
D;003;28980;12;20030619 08:53;V;;;;;;
B;003;29050;13;20030619 08:53;;3;18;AVOCA DR;AVOCA BEACH;2251;;;20030206;20030320;725000;;R;RESIDENCE;3;;XA;0;9487376;
C;003;29050;13;20030619 08:53;3//SP 64720;
D;003;29050;13;20030619 08:53;P;;;;;;
D;003;29050;13;20030619 08:53;V;;;;;;
B;003;29862;14;20030619 08:53;;;9;BARDO RD;KINCUMBER;2251;335.1;M;20030120;20030129;2750;A;R;RESIDENCE;;FK;ACI;0;9482479;
C;003;29862;14;20030619 08:53;5/C/1765;
D;003;29862;14;20030619 08:53;P;;;;;;
D;003;29862;14;20030619 08:53;V;;;;;;
D;003;29862;14;20030619 08:53;V;;;;;;
B;003;30154;15;20030619 08:53;;;41;BAROOGA RD;WAMBERAL;2260;594.4;M;20020921;20020921;380000;A;R;RESIDENCE;;GT;AC;0;9472954;
C;003;30154;15;20030619 08:53;185//234210;
D;003;30154;15;20030619 08:53;P;;;;;;
D;003;30154;15;20030619 08:53;P;;;;;;
D;003;30154;15;20030619 08:53;V;;;;;;
B;003;30249;16;20030619 08:53;;3;24;BARRALONG RD;ERINA;2250;;;20030213;20030319;280000;;3;COMMERCIAL;3;;XF;0;9472177;
C;003;30249;16;20030619 08:53;3//SP 15876;
D;003;30249;16;20030619 08:53;P;;;;;;
D;003;30249;16;20030619 08:53;V;;;;;;
B;003;30465;17;20030619 08:53;;;81;BARRENJOEY RD;ETTALONG BEACH;2257;455.3;M;20030213;20030318;335000;A;R;RESIDENCE;;MA;AC;0;9484108;
C;003;30465;17;20030619 08:53;26/L/9391;
D;003;30465;17;20030619 08:53;P;;;;;;
D;003;30465;17;20030619 08:53;P;;;;;;
D;003;30465;17;20030619 08:53;V;;;;;;
B;003;30891;18;20030619 08:53;;;32;BEACH ST;ETTALONG BEACH;2257;581.7;M;20030131;20030314;359000;A;R;RESIDENCE;;MA;AC;0;9469352;
C;003;30891;18;20030619 08:53;132//10057;
D;003;30891;18;20030619 08:53;P;;;;;;
D;003;30891;18;20030619 08:53;P;;;;;;
D;003;30891;18;20030619 08:53;V;;;;;;
B;003;31069;19;20030619 08:53;;;109;BEACHVIEW ESP;MACMASTERS BEACH;2251;834;M;20021218;20030123;475000;A;R;RESIDENCE;;GC;AC;0;9454535;
C;003;31069;19;20030619 08:53;7//262416;
D;003;31069;19;20030619 08:53;P;;;;;;
D;003;31069;19;20030619 08:53;P;;;;;;
D;003;31069;19;20030619 08:53;V;;;;;;
D;003;31069;19;20030619 08:53;V;;;;;;
B;003;31104;20;20030619 08:53;;;37;BEACHVIEW ESP;MACMASTERS BEACH;2251;569.1;M;20030122;20030305;640000;A;R;RESIDENCE;;GC;AC;0;9451151;
C;003;31104;20;20030619 08:53;85//29721;
