A;008;20030619 08:55;PDANN;
B;008;201411;1;20030619 08:55;;;42;ABBOTT ST;WALLSEND;2287;607;M;20030116;20030227;225500;A;R;RESIDENCE;;AE;AC;0;9458884;
C;008;201411;1;20030619 08:55;67//28241;
D;008;201411;1;20030619 08:55;P;;;;;;
D;008;201411;1;20030619 08:55;V;;;;;;
B;008;201956;2;20030619 08:55;;;1;AJAX CL;MARYLAND;2287;803.7;M;20030122;20030122;285000;A;R;RESIDENCE;;AB;AC;0;9461240;
C;008;201956;2;20030619 08:55;136//253833;
D;008;201956;2;20030619 08:55;P;;;;;;
D;008;201956;2;20030619 08:55;P;;;;;;
D;008;201956;2;20030619 08:55;V;;;;;;
D;008;201956;2;20030619 08:55;V;;;;;;
B;008;202919;3;20030619 08:55;;18;3;BRITANIA BVDE;FLETCHER;2287;807.1;M;20021121;20021213;352000;A;R;RESIDENCE;;AP;AC;0;9435212;
C;008;202919;3;20030619 08:55;18//869101;
D;008;202919;3;20030619 08:55;P;;;;;;
D;008;202919;3;20030619 08:55;P;;;;;;
D;008;202919;3;20030619 08:55;V;;;;;;
D;008;202919;3;20030619 08:55;V;;;;;;
B;008;202930;4;20030619 08:55;;29;3;BRITANIA BVDE;FLETCHER;2287;652.2;M;20030131;20030314;127000;A;V;VACANT LAND;;AP;;0;9471900;
C;008;202930;4;20030619 08:55;29//869101;
D;008;202930;4;20030619 08:55;P;;;;;;
D;008;202930;4;20030619 08:55;P;;;;;;
D;008;202930;4;20030619 08:55;V;;;;;;
D;008;202930;4;20030619 08:55;V;;;;;;
B;008;203064;5;20030619 08:55;;;258;ANDERSON DR;BERESFIELD;2322;765.1;M;20030207;20030307;170000;A;R;RESIDENCE;;DA;AC;0;9452234;
C;008;203064;5;20030619 08:55;12//39451;
D;008;203064;5;20030619 08:55;P;;;;;;
D;008;203064;5;20030619 08:55;P;;;;;;
D;008;203064;5;20030619 08:55;V;;;;;;
D;008;203064;5;20030619 08:55;V;;;;;;
B;008;203313;6;20030619 08:55;;;11;ANGOPHORA DR;WARABROOK;2304;887.6;M;20021129;20030204;380000;A;R;RESIDENCE;;JW;AC;0;9454817;
C;008;203313;6;20030619 08:55;4//807361;
D;008;203313;6;20030619 08:55;P;;;;;;
D;008;203313;6;20030619 08:55;V;;;;;;
D;008;203313;6;20030619 08:55;V;;;;;;
B;008;203924;7;20030619 08:55;;;3 A;ARTHUR ST;MAYFIELD;2304;410.8;M;20030131;20030228;232000;A;R;RESIDENCE;;JD;AC;0;9458571;
C;008;203924;7;20030619 08:55;8//883142;
D;008;203924;7;20030619 08:55;P;;;;;;
D;008;203924;7;20030619 08:55;P;;;;;;
D;008;203924;7;20030619 08:55;V;;;;;;
B;008;204740;8;20030619 08:55;;;7;BALOOK DR;BERESFIELD;2322;2315;M;20021022;20030303;115000;I;V;VACANT LAND;;GN;;0;9479072;
C;008;204740;8;20030619 08:55;212//876364;
D;008;204740;8;20030619 08:55;P;;;;;;
D;008;204740;8;20030619 08:55;V;;;;;;
D;008;204740;8;20030619 08:55;V;;;;;;
B;008;204880;9;20030619 08:55;;;4;BARCLAY ST;MAYFIELD;2304;303.5;M;20030107;20030207;190000;A;R;RESIDENCE;;JX;;0;9470943;
C;008;204880;9;20030619 08:55;13/C/2619;
D;008;204880;9;20030619 08:55;P;;;;;;
D;008;204880;9;20030619 08:55;P;;;;;;
D;008;204880;9;20030619 08:55;V;;;;;;
B;008;205322;10;20030619 08:55;;;2;BEAUFORD AVE;MARYLAND;2287;488.4;M;20021224;20030218;210000;A;R;RESIDENCE;;AB;;0;9483282;
C;008;205322;10;20030619 08:55;223//607587;
D;008;205322;10;20030619 08:55;P;;;;;;
D;008;205322;10;20030619 08:55;V;;;;;;
B;008;205423;11;20030619 08:55;;;105;BEAUMONT ST;HAMILTON;2303;271.9;M;20021211;20030228;810000;B;R;RESIDENCE;;CF;AC;0;9463626;
C;008;205423;11;20030619 08:55;1//782394;
D;008;205423;11;20030619 08:55;P;;;;;;
D;008;205423;11;20030619 08:55;P;;;;;;
D;008;205423;11;20030619 08:55;V;;;;;;
B;008;205719;12;20030619 08:55;;;15;BELL ST;MINMI;2287;735.3;M;20030130;20030221;260000;A;R;RESIDENCE;;DM;;0;9484533;
C;008;205719;12;20030619 08:55;134//840897;
D;008;205719;12;20030619 08:55;P;;;;;;
D;008;205719;12;20030619 08:55;P;;;;;;
D;008;205719;12;20030619 08:55;V;;;;;;
D;008;205719;12;20030619 08:55;V;;;;;;
B;008;206984;13;20030619 08:55;;;14;BLACKWOOD ST;BERESFIELD;2322;613.4;M;20030210;20030324;179000;A;R;RESIDENCE;;DB;;0;9483799;
C;008;206984;13;20030619 08:55;195//500907;
D;008;206984;13;20030619 08:55;P;;;;;;
D;008;206984;13;20030619 08:55;V;;;;;;
B;008;207292;14;20030619 08:55;;;9;BORONIA AVE;ADAMSTOWN HEIGHTS;2289;651.3;M;20030123;20030227;315000;A;R;RESIDENCE;;HA;AC;0;9467129;
C;008;207292;14;20030619 08:55;5//29069;
D;008;207292;14;20030619 08:55;P;;;;;;
D;008;207292;14;20030619 08:55;P;;;;;;
D;008;207292;14;20030619 08:55;V;;;;;;
D;008;207292;14;20030619 08:55;V;;;;;;
B;008;207436;15;20030619 08:55;;;6;BOUNDARY ST;KOTARA;2289;739.8;M;20030206;20030320;260500;A;R;RESIDENCE;;HA;;0;9484582;
C;008;207436;15;20030619 08:55;245//203473;
D;008;207436;15;20030619 08:55;P;;;;;;
D;008;207436;15;20030619 08:55;V;;;;;;
B;008;207828;16;20030619 08:55;;;16;BRAYE ST;MAYFIELD;2304;322.5;M;20021211;20030124;171000;A;R;RESIDENCE;;JX;AC;0;4377233;
C;008;207828;16;20030619 08:55;352//515683;
D;008;207828;16;20030619 08:55;P;;;;;;
D;008;207828;16;20030619 08:55;V;;;;;;
B;008;208723;17;20030619 08:55;;;10;BROWN RD;BROADMEADOW;2292;;;20030207;20030310;160000;A;R;RESIDENCE;;FP;AC;0;9452566;
C;008;208723;17;20030619 08:55;B//373323;
D;008;208723;17;20030619 08:55;P;;;;;;
D;008;208723;17;20030619 08:55;V;;;;;;
D;008;208723;17;20030619 08:55;V;;;;;;
B;008;208897;18;20030619 08:55;;;206;BRUCE ST;THE JUNCTION;2291;;;20021231;20030129;575000;A;R;RESIDENCE;;KA;AC;0;9459001;
C;008;208897;18;20030619 08:55;67//32682;
D;008;208897;18;20030619 08:55;P;;;;;;
D;008;208897;18;20030619 08:55;P;;;;;;
D;008;208897;18;20030619 08:55;V;;;;;;
D;008;208897;18;20030619 08:55;V;;;;;;
B;008;209119;19;20030619 08:55;;;39;BRUNKER RD;BROADMEADOW;2292;;;20030124;20030219;190000;A;R;RESIDENCE;;HB;AC;0;9400765;
C;008;209119;19;20030619 08:55;B//435357;
D;008;209119;19;20030619 08:55;P;;;;;;
D;008;209119;19;20030619 08:55;V;;;;;;
B;008;210054;20;20030619 08:55;;;5;BUXTON ST;ADAMSTOWN;2289;1194;M;20021122;20021213;375000;A;R;RESIDENCE;;HB;AC;0;9457151;
C;008;210054;20;20030619 08:55;21//717147;
D;008;210054;20;20030619 08:55;P;;;;;;
D;008;210054;20;20030619 08:55;V;;;;;;
D;008;210054;20;20030619 08:55;V;;;;;;
D;008;210054;20;20030619 08:55;V;;;;;;
B;008;210137;21;20030619 08:55;;1;9;CALDWELL ST;MEREWETHER;2291;;;20021207;20030305;350000;;3;UNIT;1;;XA;0;9452500;
C;008;210137;21;20030619 08:55;1//SP 37243;
D;008;210137;21;20030619 08:55;P;;;;;;
D;008;210137;21;20030619 08:55;P;;;;;;
D;008;210137;21;20030619 08:55;V;;;;;;
D;008;210137;21;20030619 08:55;V;;;;;;
D;008;210137;21;20030619 08:55;V;;;;;;
B;008;210206;22;20030619 08:55;;;9;CALLAN AVE;MARYLAND;2287;665.2;M;20021224;20030218;290000;A;R;RESIDENCE;;AA;;0;9483307;
C;008;210206;22;20030619 08:55;5084//816415;
D;008;210206;22;20030619 08:55;P;;;;;;
D;008;210206;22;20030619 08:55;V;;;;;;
D;008;210206;22;20030619 08:55;V;;;;;;
B;008;211988;23;20030619 08:55;;;20;CHERYL CL;ELERMORE VALE;2287;695.6;M;20030210;20030307;225000;A;R;RESIDENCE;;AM;AC;0;9451368;
C;008;211988;23;20030619 08:55;34//237253;
D;008;211988;23;20030619 08:55;P;;;;;;
D;008;211988;23;20030619 08:55;P;;;;;;
D;008;211988;23;20030619 08:55;V;;;;;;
B;008;212055;24;20030619 08:55;;;24;CHEVIOT CL;ELERMORE VALE;2287;524.3;M;20030204;20030318;187000;A;R;RESIDENCE;;AM;;0;9468943;
C;008;212055;24;20030619 08:55;26//245011;
D;008;212055;24;20030619 08:55;P;;;;;;
D;008;212055;24;20030619 08:55;P;;;;;;
D;008;212055;24;20030619 08:55;V;;;;;;
D;008;212055;24;20030619 08:55;V;;;;;;
B;008;212528;25;20030619 08:55;;;201;CHRISTO RD;WARATAH;2298;607;M;20030108;20030219;212000;A;R;RESIDENCE;;JT;AC;0;9451550;
C;008;212528;25;20030619 08:55;C//339482;
D;008;212528;25;20030619 08:55;P;;;;;;
D;008;212528;25;20030619 08:55;P;;;;;;
D;008;212528;25;20030619 08:55;V;;;;;;
B;008;213059;26;20030619 08:55;;;8;CLARA ST;MAYFIELD;2304;;;20030207;20030318;183500;A;R;RESIDENCE;;JE;;0;9483435;
C;008;213059;26;20030619 08:55;21/A/2703;
D;008;213059;26;20030619 08:55;P;;;;;;
D;008;213059;26;20030619 08:55;P;;;;;;
D;008;213059;26;20030619 08:55;V;;;;;;
B;008;214277;27;20030619 08:55;;;41;CORLETTE ST;COOKS HILL;2300;109.7;M;20021220;20030207;295000;A;R;RESIDENCE;;KA;;0;9483532;
C;008;214277;27;20030619 08:55;1//260246;
D;008;214277;27;20030619 08:55;P;;;;;;
D;008;214277;27;20030619 08:55;P;;;;;;
D;008;214277;27;20030619 08:55;V;;;;;;
D;008;214277;27;20030619 08:55;V;;;;;;
B;008;214291;28;20030619 08:55;;10;;CORLETTE ST HOUSE NO: 59/61;COOKS HILL;2300;;;20030109;20030212;265000;;R;RESIDENCE;10;;XA;0;9456396;
C;008;214291;28;20030619 08:55;10//SP 17563;
D;008;214291;28;20030619 08:55;P;;;;;;
D;008;214291;28;20030619 08:55;P;;;;;;
D;008;214291;28;20030619 08:55;V;;;;;;
D;008;214291;28;20030619 08:55;V;;;;;;
B;008;214786;29;20030619 08:55;;;4;CRAIG CL;SHORTLAND;2307;689.2;M;20030212;20030320;230000;A;R;RESIDENCE;;JM;;0;9471892;
C;008;214786;29;20030619 08:55;8//237239;
D;008;214786;29;20030619 08:55;P;;;;;;
D;008;214786;29;20030619 08:55;P;;;;;;
D;008;214786;29;20030619 08:55;V;;;;;;
B;008;215059;30;20030619 08:55;;;;CREEK RD;MARYLAND;2287;16.21;H;20020701;20020701;180000;P;3;AIRPORT;;EP;;0;9472180;
C;008;215059;30;20030619 08:55;102//606506;
D;008;215059;30;20030619 08:55;P;;;;;;
D;008;215059;30;20030619 08:55;V;;;;;;
D;008;215059;30;20030619 08:55;V;;;;;;
B;008;215570;31;20030619 08:55;;;6;CROUDACE RD;ELERMORE VALE;2287;777.8;M;20021025;20021206;150000;A;R;RESIDENCE;;AE;;0;9469124;
C;008;215570;31;20030619 08:55;A//364076;
D;008;215570;31;20030619 08:55;P;;;;;;
D;008;215570;31;20030619 08:55;P;;;;;;
D;008;215570;31;20030619 08:55;V;;;;;;
B;008;215671;32;20030619 08:55;;;144;CROUDACE ST;NEW LAMBTON;2305;;;20030131;20030312;370000;A;R;RESIDENCE;;FK;;0;9468402;
C;008;215671;32;20030619 08:55;1//338662;
D;008;215671;32;20030619 08:55;P;;;;;;
D;008;215671;32;20030619 08:55;P;;;;;;
D;008;215671;32;20030619 08:55;V;;;;;;
D;008;215671;32;20030619 08:55;V;;;;;;
B;008;216258;33;20030619 08:55;;;59;DANGERFIELD DR;ELERMORE VALE;2287;688.4;M;20030119;20030311;500000;A;R;RESIDENCE;;AJ;AC;0;9461007;
C;008;216258;33;20030619 08:55;328//786552;
D;008;216258;33;20030619 08:55;P;;;;;;
D;008;216258;33;20030619 08:55;P;;;;;;
D;008;216258;33;20030619 08:55;V;;;;;;
D;008;216258;33;20030619 08:55;V;;;;;;
B;008;216670;34;20030619 08:55;;;21;DARLING ST;HAMILTON SOUTH;2303;417.3;M;20030128;20030318;460000;A;R;RESIDENCE;;FT;AC;0;9463135;
C;008;216670;34;20030619 08:55;1//745107;
D;008;216670;34;20030619 08:55;P;;;;;;
D;008;216670;34;20030619 08:55;P;;;;;;
D;008;216670;34;20030619 08:55;V;;;;;;
B;008;216678;35;20030619 08:55;;;39;DARLING ST;HAMILTON SOUTH;2303;;;20021217;20030127;330000;A;R;RESIDENCE;;FT;AC;0;9338758;
C;008;216678;35;20030619 08:55;72/J/978555;
D;008;216678;35;20030619 08:55;P;;;;;;
D;008;216678;35;20030619 08:55;P;;;;;;
D;008;216678;35;20030619 08:55;V;;;;;;
D;008;216678;35;20030619 08:55;V;;;;;;
B;008;217179;36;20030619 08:55;;;3 A;DAWSON ST;WARATAH;2298;430.2;M;20021025;20021129;300000;A;R;RESIDENCE;;JR;AC;0;9467843;
C;008;217179;36;20030619 08:55;1//780743;
D;008;217179;36;20030619 08:55;P;;;;;;
D;008;217179;36;20030619 08:55;P;;;;;;
D;008;217179;36;20030619 08:55;P;;;;;;
D;008;217179;36;20030619 08:55;V;;;;;;
B;008;217540;37;20030619 08:55;;;215;DENISON ST;BROADMEADOW;2292;;;20030102;20030207;328000;A;R;RESIDENCE;;FT;AC;0;9442223;
C;008;217540;37;20030619 08:55;1//36910;
D;008;217540;37;20030619 08:55;P;;;;;;
D;008;217540;37;20030619 08:55;P;;;;;;
D;008;217540;37;20030619 08:55;V;;;;;;
B;008;218011;38;20030619 08:55;;;6;DERNA RD;SHORTLAND;2307;543.8;M;20030206;20030313;188000;A;R;RESIDENCE;;JM;AC;0;9460094;
C;008;218011;38;20030619 08:55;93//26927;
D;008;218011;38;20030619 08:55;P;;;;;;
D;008;218011;38;20030619 08:55;V;;;;;;
D;008;218011;38;20030619 08:55;V;;;;;;
D;008;218011;38;20030619 08:55;V;;;;;;
B;008;218957;39;20030619 08:55;;;35;DRYDON ST;WALLSEND;2287;739.8;M;20030207;20030307;215000;A;R;RESIDENCE;;AE;AC;0;9460440;
C;008;218957;39;20030619 08:55;18//29899;
D;008;218957;39;20030619 08:55;P;;;;;;
D;008;218957;39;20030619 08:55;P;;;;;;
D;008;218957;39;20030619 08:55;V;;;;;;
B;008;219344;40;20030619 08:55;;;43;DUNBAR ST;STOCKTON;2295;;;20021223;20030207;350000;A;R;RESIDENCE;;HN;;0;9475654;
C;008;219344;40;20030619 08:55;A//370995;
D;008;219344;40;20030619 08:55;P;;;;;;
D;008;219344;40;20030619 08:55;V;;;;;;
D;008;219344;40;20030619 08:55;V;;;;;;
B;008;219348;41;20030619 08:55;;;51;DUNBAR ST;STOCKTON;2295;550.1;M;20030109;20030212;265000;A;R;RESIDENCE;;HN;AC;0;9442227;
C;008;219348;41;20030619 08:55;15//666923;
D;008;219348;41;20030619 08:55;P;;;;;;
D;008;219348;41;20030619 08:55;P;;;;;;
D;008;219348;41;20030619 08:55;V;;;;;;
B;008;219515;42;20030619 08:55;;;118;DURHAM RD;LAMBTON;2299;467.9;M;20030205;20030306;250000;A;R;RESIDENCE;;FK;AC;0;9452540;
C;008;219515;42;20030619 08:55;A//387987;
D;008;219515;42;20030619 08:55;P;;;;;;
D;008;219515;42;20030619 08:55;V;;;;;;
B;008;219678;43;20030619 08:55;;;27;EBONY CL;FLETCHER;2287;722.4;M;20030204;20030304;287500;A;R;RESIDENCE;;AP;AC;0;9454262;
C;008;219678;43;20030619 08:55;359//868047;
D;008;219678;43;20030619 08:55;P;;;;;;
D;008;219678;43;20030619 08:55;V;;;;;;
B;008;219954;44;20030619 08:55;;;5;ELATA WAY;WARABROOK;2304;383;M;20020919;20021004;232000;A;R;RESIDENCE;;JW;AC;0;9451831;
C;008;219954;44;20030619 08:55;201//854236;
D;008;219954;44;20030619 08:55;P;;;;;;
D;008;219954;44;20030619 08:55;P;;;;;;
D;008;219954;44;20030619 08:55;V;;;;;;
D;008;219954;44;20030619 08:55;V;;;;;;
B;008;220298;45;20030619 08:55;;;21;ELIZABETH ST;MAYFIELD;2304;265.6;M;20030207;20030314;247500;A;R;RESIDENCE;;JD;AC;0;9466195;
C;008;220298;45;20030619 08:55;1//799825;
D;008;220298;45;20030619 08:55;P;;;;;;
D;008;220298;45;20030619 08:55;V;;;;;;
B;008;220404;46;20030619 08:55;;;26;ELLA ST;ADAMSTOWN;2289;;;20021218;20030131;447500;A;R;RESIDENCE;;HB;AC;0;9385614;
C;008;220404;46;20030619 08:55;51/E/37521;
D;008;220404;46;20030619 08:55;P;;;;;;
D;008;220404;46;20030619 08:55;V;;;;;;
B;008;221651;47;20030619 08:55;;;65;FERN ST;ISLINGTON;2296;233.9;M;20030210;20030310;97000;I;V;VACANT LAND;;GT;;0;9475801;
C;008;221651;47;20030619 08:55;34//1024559;
D;008;221651;47;20030619 08:55;P;;;;;;
D;008;221651;47;20030619 08:55;V;;;;;;
B;008;221798;48;20030619 08:55;;;8;FERRY RD;SANDGATE;2304;8607;M;20021224;20030220;75000;I;V;VACANT LAND;;GC;AV;0;4379233;
C;008;221798;48;20030619 08:55;20//159346;
D;008;221798;48;20030619 08:55;P;;;;;;
D;008;221798;48;20030619 08:55;V;;;;;;
D;008;221798;48;20030619 08:55;V;;;;;;
B;008;221836;49;20030619 08:55;;;16;FIFTH ST;NORTH LAMBTON;2299;;;20021120;20030131;249950;A;R;RESIDENCE;;JH;AC;0;9464537;
C;008;221836;49;20030619 08:55;32//21187;
D;008;221836;49;20030619 08:55;P;;;;;;
D;008;221836;49;20030619 08:55;V;;;;;;
B;008;221952;50;20030619 08:55;;;42;FITZROY ST;MAYFIELD;2304;670.3;M;20030123;20030219;258000;A;R;RESIDENCE;;JX;;0;9469496;
C;008;221952;50;20030619 08:55;5//12236;
D;008;221952;50;20030619 08:55;P;;;;;;
D;008;221952;50;20030619 08:55;P;;;;;;
D;008;221952;50;20030619 08:55;V;;;;;;
D;008;221952;50;20030619 08:55;V;;;;;;
B;008;222217;51;20030619 08:55;;;14;FLETCHER ST;ADAMSTOWN;2289;;;20030202;20030307;100000;A;R;RESIDENCE;;HB;;0;9473706;
C;008;222217;51;20030619 08:55;4//33013;
D;008;222217;51;20030619 08:55;P;;;;;;
D;008;222217;51;20030619 08:55;P;;;;;;
D;008;222217;51;20030619 08:55;V;;;;;;
B;008;223115;52;20030619 08:55;;7;74;FREDERICK ST;MEREWETHER;2291;;;20030212;20030319;205000;;R;RESIDENCE;7;;;0;9487647;
C;008;223115;52;20030619 08:55;7//SP 17041;
D;008;223115;52;20030619 08:55;P;;;;;;
D;008;223115;52;20030619 08:55;P;;;;;;
D;008;223115;52;20030619 08:55;V;;;;;;
B;008;223797;53;20030619 08:55;;;27;GAVEY ST;MAYFIELD;2304;;;20030106;20030218;175000;A;R;RESIDENCE;;JX;AC;0;9387829;
C;008;223797;53;20030619 08:55;24/G/37220;
D;008;223797;53;20030619 08:55;P;;;;;;
D;008;223797;53;20030619 08:55;P;;;;;;
D;008;223797;53;20030619 08:55;V;;;;;;
B;008;224758;54;20030619 08:55;;;7;GLOAMING CL;MARYLAND;2287;550.8;M;20030123;20030228;205000;A;R;RESIDENCE;;AB;AC;0;9453738;
C;008;224758;54;20030619 08:55;47//251420;
D;008;224758;54;20030619 08:55;P;;;;;;
D;008;224758;54;20030619 08:55;P;;;;;;
D;008;224758;54;20030619 08:55;V;;;;;;
B;008;224873;55;20030619 08:55;;;114;GORDON AVE;HAMILTON SOUTH;2303;;;20021220;20030314;517500;A;R;RESIDENCE;;FT;AC;0;9463279;
C;008;224873;55;20030619 08:55;41//111629;
D;008;224873;55;20030619 08:55;P;;;;;;
D;008;224873;55;20030619 08:55;P;;;;;;
D;008;224873;55;20030619 08:55;V;;;;;;
D;008;224873;55;20030619 08:55;V;;;;;;
B;008;225024;56;20030619 08:55;;;70;GOSFORD RD;BROADMEADOW;2292;379.4;M;20030120;20030303;220000;A;R;RESIDENCE;;HB;AC;0;9452854;
C;008;225024;56;20030619 08:55;11//19588;
D;008;225024;56;20030619 08:55;P;;;;;;
D;008;225024;56;20030619 08:55;P;;;;;;
D;008;225024;56;20030619 08:55;V;;;;;;
D;008;225024;56;20030619 08:55;V;;;;;;
B;008;225085;57;20030619 08:55;;;240;GOSFORD RD;ADAMSTOWN;2289;;;20030214;20030314;745000;A;R;RESIDENCE;;HB;AC;0;9462597;
C;008;225085;57;20030619 08:55;1//906813;
D;008;225085;57;20030619 08:55;P;;;;;;
D;008;225085;57;20030619 08:55;P;;;;;;
D;008;225085;57;20030619 08:55;V;;;;;;
B;008;225100;58;20030619 08:55;;9;199;GOSFORD RD;ADAMSTOWN;2289;;;20030114;20030225;160000;;R;RESIDENCE;9;;XA;0;9463947;
C;008;225100;58;20030619 08:55;9//SP 10716;
D;008;225100;58;20030619 08:55;P;;;;;;
D;008;225100;58;20030619 08:55;V;;;;;;
B;008;226245;59;20030619 08:55;;;44;GULLIVER ST;HAMILTON;2303;;;20030110;20030221;237000;A;R;RESIDENCE;;FR;AC;0;9467362;
C;008;226245;59;20030619 08:55;1//197570;
D;008;226245;59;20030619 08:55;P;;;;;;
D;008;226245;59;20030619 08:55;P;;;;;;
D;008;226245;59;20030619 08:55;V;;;;;;
B;008;226832;60;20030619 08:55;;;46;HANNAH ST;WALLSEND;2287;569.1;M;20030204;20030318;185000;A;R;RESIDENCE;;AD;;0;9475244;
C;008;226832;60;20030619 08:55;22//216193;
D;008;226832;60;20030619 08:55;P;;;;;;
D;008;226832;60;20030619 08:55;V;;;;;;
B;008;226906;61;20030619 08:55;;;212;HANNELL ST;MARYVILLE;2293;88.5;M;20030109;20030227;210000;I;R;RESIDENCE;;GH;;0;9471148;
C;008;226906;61;20030619 08:55;8//26652;
D;008;226906;61;20030619 08:55;P;;;;;;
D;008;226906;61;20030619 08:55;P;;;;;;
D;008;226906;61;20030619 08:55;V;;;;;;
B;008;227138;62;20030619 08:55;;;53;HARRIET ST;WARATAH;2298;;;20030108;20030131;230000;A;R;RESIDENCE;;JR;;0;9475068;
C;008;227138;62;20030619 08:55;2//308842;
D;008;227138;62;20030619 08:55;P;;;;;;
D;008;227138;62;20030619 08:55;V;;;;;;
B;008;227321;63;20030619 08:55;;;15;HAVELOCK ST;MAYFIELD;2304;;;20020904;20021004;195000;A;R;RESIDENCE;;JD;AC;0;9454965;
C;008;227321;63;20030619 08:55;58/L/3626;
D;008;227321;63;20030619 08:55;P;;;;;;
D;008;227321;63;20030619 08:55;P;;;;;;
D;008;227321;63;20030619 08:55;V;;;;;;
B;008;227598;64;20030619 08:55;;;12;HEBRIDES RD;FLETCHER;2287;709.4;M;20030205;20030319;349500;A;R;RESIDENCE;;AP;AC;0;9467110;
C;008;227598;64;20030619 08:55;2403//1008132;
