A;010;20030619 08:55;PDANN;
D;010;266932;17;20030619 08:55;P;;;;;;
D;010;266932;17;20030619 08:55;V;;;;;;
D;010;266932;17;20030619 08:55;V;;;;;;
B;010;267273;18;20030619 08:55;;;10;AMAROO CRES;FINGAL BAY;2315;759.8;M;20030205;20030319;535000;A;R;RESIDENCE;;FX;AC;0;9469107;
C;010;267273;18;20030619 08:55;26//709578;
D;010;267273;18;20030619 08:55;P;;;;;;
D;010;267273;18;20030619 08:55;V;;;;;;
D;010;267273;18;20030619 08:55;V;;;;;;
B;010;267337;19;20030619 08:55;;;3 A;BOMBORA PL;FINGAL BAY;2315;363.9;M;20030206;20030306;375000;A;R;RESIDENCE;;FX;AC;0;9474213;
C;010;267337;19;20030619 08:55;701//853411;
D;010;267337;19;20030619 08:55;P;;;;;;
D;010;267337;19;20030619 08:55;V;;;;;;
D;010;267337;19;20030619 08:55;V;;;;;;
B;010;268257;20;20030619 08:55;;;6;PACIFIC ST;FISHERMANS BAY;2316;277.2;M;20030213;20030319;635000;A;R;RESIDENCE;;GB;AC;0;9474782;
C;010;268257;20;20030619 08:55;2752//1014570;
D;010;268257;20;20030619 08:55;P;;;;;;
D;010;268257;20;20030619 08:55;V;;;;;;
D;010;268257;20;20030619 08:55;V;;;;;;
B;010;268359;21;20030619 08:55;;;26;PATERSON ST;HINTON;2321;613.4;M;20021104;20021210;92500;A;R;RESIDENCE;;HH;AC;0;9473068;
C;010;268359;21;20030619 08:55;70//1045778;
D;010;268359;21;20030619 08:55;P;;;;;;
D;010;268359;21;20030619 08:55;P;;;;;;
D;010;268359;21;20030619 08:55;V;;;;;;
D;010;268359;21;20030619 08:55;V;;;;;;
B;010;268884;22;20030619 08:55;;12;12;BLANCH ST;LEMON TREE PASSAGE;2319;;;20030124;20030311;180000;;R;RESIDENCE;12;;XA;0;9451980;
C;010;268884;22;20030619 08:55;12//SP 54719;
D;010;268884;22;20030619 08:55;P;;;;;;
D;010;268884;22;20030619 08:55;V;;;;;;
B;010;268982;23;20030619 08:55;;;14;COOK PDE;LEMON TREE PASSAGE;2319;132.4;M;20021213;20030220;1000000;B;3;COMMERCIAL BL;;BX;BS;0;9420255;
C;010;268982;23;20030619 08:55;13, 14, 15, 16//15682 Permissive Occupancy 58/2 Permissive Occupancy 8;
C;010;268982;23;20030619 08:55;3/37;
D;010;268982;23;20030619 08:55;P;;;;;;
D;010;268982;23;20030619 08:55;V;;;;;;
B;010;269101;24;20030619 08:55;;;61;DEAN PDE;LEMON TREE PASSAGE;2319;790.4;M;20030120;20030306;275000;A;R;RESIDENCE;;FL;AC;0;9486493;
C;010;269101;24;20030619 08:55;115//221189;
D;010;269101;24;20030619 08:55;P;;;;;;
D;010;269101;24;20030619 08:55;P;;;;;;
D;010;269101;24;20030619 08:55;V;;;;;;
D;010;269101;24;20030619 08:55;V;;;;;;
B;010;269230;25;20030619 08:55;;;105;FRANCIS AVE;LEMON TREE PASSAGE;2319;663.9;M;20030212;20030219;115000;A;R;RESIDENCE;;FL;AC;50;9463640;
C;010;269230;25;20030619 08:55;56//214619;
D;010;269230;25;20030619 08:55;P;;;;;;
D;010;269230;25;20030619 08:55;V;;;;;;
B;010;269780;26;20030619 08:55;;;18;MARINE DR;LEMON TREE PASSAGE;2319;581.7;M;20030226;20030317;215000;A;R;RESIDENCE;;FL;AC;0;9462095;
C;010;269780;26;20030619 08:55;65//217567;
D;010;269780;26;20030619 08:55;P;;;;;;
D;010;269780;26;20030619 08:55;P;;;;;;
D;010;269780;26;20030619 08:55;V;;;;;;
D;010;269780;26;20030619 08:55;V;;;;;;
B;010;269892;27;20030619 08:55;;;24;NORTHUMBERLAND AVE;LEMON TREE PASSAGE;2319;556.4;M;20030120;20030312;150000;A;R;RESIDENCE;;FL;AC;0;9470078;
C;010;269892;27;20030619 08:55;35//229011;
D;010;269892;27;20030619 08:55;P;;;;;;
D;010;269892;27;20030619 08:55;V;;;;;;
B;010;270258;28;20030619 08:55;;;29;FAIRLANDS RD;MALLABULA;2319;878.9;M;20021223;20030307;325000;A;R;RESIDENCE;;FM;AC;0;9459045;
C;010;270258;28;20030619 08:55;168//11392;
D;010;270258;28;20030619 08:55;P;;;;;;
D;010;270258;28;20030619 08:55;P;;;;;;
D;010;270258;28;20030619 08:55;V;;;;;;
