A;011;20030619 08:55;PDANN;
B;011;291582;1;20030619 08:55;;;4;CAMP ST;GUNDY;2337;2023;M;20030131;20030311;80000;A;R;RESIDENCE;;VG;;0;9486847;
C;011;291582;1;20030619 08:55;3/4/758490;
D;011;291582;1;20030619 08:55;P;;;;;;
D;011;291582;1;20030619 08:55;P;;;;;;
D;011;291582;1;20030619 08:55;V;;;;;;
B;011;291611;2;20030619 08:55;;;20;DUKE ST;GUNDY;2337;1771;M;20030305;20030314;142000;A;R;RESIDENCE;;VG;;0;9475325;
C;011;291611;2;20030619 08:55;1/12/758490;
D;011;291611;2;20030619 08:55;P;;;;;;
D;011;291611;2;20030619 08:55;P;;;;;;
D;011;291611;2;20030619 08:55;V;;;;;;
B;011;291656;3;20030619 08:55;;;;UPPER DARTBROOK RD;SCONE;2337;597.3;H;20021029;20021210;1000000;R;3;FARM/RURAL;;GK;RG;0;9431987;
C;011;291656;3;20030619 08:55;1, 2, 3//244804 13, 49, 50, 89, 120, 122//750914;
D;011;291656;3;20030619 08:55;P;;;;;;
D;011;291656;3;20030619 08:55;P;;;;;;
D;011;291656;3;20030619 08:55;V;;;;;;
B;011;291677;4;20030619 08:55;;;;BRAWBOY RD;SCONE;2337;2.021;H;20030228;20030312;50000;R;R;RESIDENCE;;HF;RR;0;9457349;
C;011;291677;4;20030619 08:55;174//750914;
D;011;291677;4;20030619 08:55;P;;;;;;
D;011;291677;4;20030619 08:55;V;;;;;;
D;011;291677;4;20030619 08:55;V;;;;;;
B;011;292585;5;20030619 08:55;;;109;BEDFORD ST;ABERDEEN;2336;836;M;20030218;20030320;165000;A;R;RESIDENCE;;AA;;0;9482298;
C;011;292585;5;20030619 08:55;16//261048;
D;011;292585;5;20030619 08:55;P;;;;;;
D;011;292585;5;20030619 08:55;P;;;;;;
D;011;292585;5;20030619 08:55;V;;;;;;
D;011;292585;5;20030619 08:55;V;;;;;;
B;011;292686;6;20030619 08:55;;;29;GORDON ST;ABERDEEN;2336;1562;M;20030113;20030213;22500;A;V;VACANT LAND;;AA;AV;0;9452833;
C;011;292686;6;20030619 08:55;;
